uid,movement
C2402,7
C2401,7
C2409,1
C2408,1
C2407,1
C2406,1
C2405,2
C2404,1
C2403,6
C2410,2
C2413,1
C2412,1
C2419,1
C2418,1
C2414,1
C2417,1
C2424,1
C2423,8
C2425,1
C2429,1
C2431,1
C2434,1
C2437,1
C2439,1
C2449,1
C2443,1
C2458,3
C2466,2
C2493,1
C2498,8
C2497,2
C2496,2
C2494,4
C1010,830
C1009,22
C1006,60
C1007,2832
C1004,22
C1005,51
C1002,438
C1003,28
C1001,1252
C1102,31
C1101,10
C1103,14
U36103,1
U44007,1
C1210,12
C1214,10
C1213,5
C1212,17
C1211,4
C1218,8
C1217,85
C1216,6
C1215,12
C1201,1
C1203,1
C1202,1
C1209,60
C1208,5
C1205,1
C1204,1
C1207,5
C1206,4
C1314,2
C1315,22
C1312,1
C1313,1
C1310,5
C1311,1
C1302,1
C1301,4
C1304,1
C1303,2
C1306,2
C1305,4
C1308,3
C1307,13
C1309,4
U23029,1
U23031,1
U23019,5
U23017,1
U23027,1
U23025,1
U23021,1
U23009,2
U23011,2
U23013,1
U23015,1
U23001,1
U23005,3
U23003,3
U09003,1
U25005,1
U25001,1
U25009,3
U25017,3
U33017,1
U33011,1
U33015,2
U25027,1
U25025,2
U25023,1
U25021,1
