uid,error
13099,1.09861228867
17007,-0.69314718056
17031,0.310154928304
17043,-1.38629436112
17089,0.510825623766
17097,-1.60943791243
17111,-0.287682072452
17177,-0.69314718056
17197,-0.69314718056
17201,-0.510825623766
18167,1.09861228867
19005,-0.69314718056
19061,-0.69314718056
19103,3.13549421593
19113,-0.69314718056
21091,1.38629436112
23011,1.79175946923
24047,1.60943791243
26043,-0.69314718056
26081,-0.69314718056
26103,0.69314718056
26105,-0.69314718056
26109,-0.69314718056
26121,-1.09861228867
26125,-0.69314718056
26139,-1.09861228867
26161,1.09861228867
26163,-0.69314718056
27003,0.405465108108
27017,1.09861228867
27037,-1.38629436112
27045,-0.69314718056
27053,0.916290731874
27055,-0.69314718056
27061,3.04452243772
27109,1.67397643357
27123,0.69314718056
27145,1.60943791243
27157,-0.69314718056
27163,-1.09861228867
27169,-1.09861228867
29095,1.09861228867
36047,1.79175946923
39011,1.38629436112
41017,3.09104245336
53033,2.07944154168
55001,-1.08401348925
55003,1.94591014906
55005,0.69314718056
55009,0.251314428281
55011,-0.69314718056
55015,0.0909717782057
55017,-0.336472236621
55019,0.432864082296
55023,-0.69314718056
55025,0.96855916042
55027,0.287682072452
55029,-0.69314718056
55031,1.38629436112
55033,-1.09861228867
55035,0.405465108108
55037,2.83321334406
55039,-1.46633706879
55041,-0.69314718056
55043,-1.09861228867
55045,-0.69314718056
55047,0.624154309073
55049,2.56494935746
55053,0.287682072452
55055,0.510825623766
55057,-0.660357357737
55059,-0.69314718056
55061,-0.69314718056
55063,-1.33500106673
55067,0.0645385211376
55069,1.76509122215
55071,-0.182321556794
55073,0.626570284099
55075,0.287682072452
55077,-0.76546784214
55078,-1.60943791243
55079,0.374693449441
55081,0.298492988556
55083,-2.56494935746
55085,0.485507815782
55087,-0.273113656623
55089,0.810930216216
55093,-0.69314718056
55099,0.847297860387
55103,-1.38629436112
55105,0.405465108108
55107,-0.69314718056
55109,-0.69314718056
55111,-0.955511445027
55113,-0.69314718056
55115,-1.6582280766
55117,-0.405465108108
55119,-0.470003629246
55121,-1.60943791243
55123,-1.60943791243
55125,2.25129179861
55127,0.559615787935
55129,1.94591014906
55131,-0.510825623766
55133,0.664976303593
55135,-1.02053845219
55137,0.31287232128
55139,-0.916290731874
55141,0.59165778439
