uid,population,distance,radiusPopulation
C1001,242875,3119.2229916691913,406495657
C1002,24371,3025.331900166589,406070091
C1003,19370,2879.018944398075,400965341
C1004,22162,2781.1051840509185,387060510
C1005,40466,2887.5537257753003,401486885
C1006,36208,2944.00864385432,403196143
C1007,37335,3178.2979598857796,406738532
C1008,42188,3117.3668489066426,406423124
C1009,20091,3080.9244609904686,406306902
C1010,27864,3191.588185542673,406775867
C1101,19180,2433.5942726368535,353358806
C1102,71619,2386.9225789247394,346111161
C1103,44495,2343.7297446481352,340241161
C1201,16231,2158.586649066634,282997676
C1202,26843,2125.8014475977934,278059068
C1203,19548,2134.4368433442432,279717811
C1204,11723,2197.483954501601,292405393
C1205,21773,2188.8932612083477,289586497
C1206,47591,2242.609857843678,322320609
C1207,58866,2243.556067179288,322509827
C1208,40513,2299.673547874284,333013206
C1209,359183,2348.5058086179056,340714167
C1210,49307,2351.006979604215,341419902
C1211,32605,2299.1145417823222,332964646
C1212,46965,2406.091035442742,350562650
C1213,9827,2463.216609205419,355380077
C1214,19578,2463.0873353401885,355360499
C1215,19937,2542.8058283858363,364985893
C1216,10225,2561.4769834259496,368361336
C1217,109330,2607.1576596666637,379624628
C1218,7962,2598.350407869525,379482000
C1301,76407,2139.273502076905,280571246
C1302,27366,2059.826010900819,269134795
C1303,25776,2138.709612730199,280545470
C1304,11862,2160.4694311589724,283245434
C1305,64208,2170.9019474666875,286261803
C1306,26749,2250.2259096650605,323324680
C1307,124688,2274.969445341814,328235156
C1308,31383,2233.4413521326865,316337368
C1309,50817,2205.7677156692507,296550245
C1310,87212,2097.12827758357,272719883
C1311,27184,2069.8766164495887,269842885
C1312,21172,2097.5049007032585,272807095
C1313,35611,2051.623608996418,268248718
C1314,36134,2182.0525039134855,287977116
C1315,82929,2345.8180531373887,340490127
C2401,12824,2511.222868772148,361381024
C2402,19298,2404.1896377643798,350335167
C2403,18545,2381.3041604143637,345852818
C2404,12722,2288.8719208225943,331228399
C2405,18267,2277.1822741116193,328712554
C2406,15268,2198.389630264256,292993222
C2407,19920,2146.0592415520928,281640892
C2408,22507,2174.7250921443415,286623950
C2409,19326,2125.412573577619,277992864
C2410,52289,2083.2910863126995,270709847
C2411,9848,2036.3423241705075,267220599
C2412,31826,1991.8762328433652,263691698
C2413,22420,2022.7463442345656,265430587
C2414,22494,1956.267923317041,262136517
C2415,16624,1956.9241298126258,262181792
C2416,13166,1910.8210721761238,259143517
C2417,19368,1900.6192022103469,258486240
C2418,23438,1880.523090804083,257261570
C2419,29570,1857.5255350046682,254504465
C2420,6779,1856.056583448085,254457623
C2421,20984,1854.6765069968617,254348232
C2422,26459,1814.008799180569,251319538
C2423,509950,1825.078002289668,252430212
C2424,51855,1830.9885460819523,253088189
C2425,78808,1817.1359407377843,251422132
C2426,25850,1826.6558953254407,253007688
C2427,18771,1825.7801096269977,252951890
C2428,17745,1858.1951977179663,254534035
C2429,47873,1831.476083553347,253157904
C2430,21830,1792.1802556611892,250830925
C2431,43247,1793.16459981718,250858675
C2432,24021,1768.0030854907866,249828933
C2433,26851,1768.9278528441525,249852954
C2434,44955,1775.8487229706952,250250379
C2435,12809,1703.4667333185873,247622290
C2436,64841,1708.5208437887432,247705878
C2437,138355,1730.0118098879916,248623699
C2438,19088,1720.9813998780573,247841069
C2439,64089,1728.770447439926,248550090
C2440,14535,1726.9986255382826,248526149
C2441,21394,1753.3798606747657,249684979
C2442,28176,1702.1492019655777,247587255
C2443,141212,1702.0061464569937,247446043
C2444,16595,1707.7565286435804,247689283
C2445,41871,1682.8595643423894,245354311
C2446,46165,1636.0464207306436,235307368
C2447,79175,1653.2037293217793,238421780
C2448,15167,1676.955809097677,245291894
C2449,87808,1690.612353850339,245854663
C2450,23496,1698.640647024983,247217818
C2451,23401,1685.458236425481,245465618
C2452,38347,1655.586240007543,238755148
C2453,50066,1662.6094545220592,242987246
C2454,78917,1651.8959855846433,238342863
C2455,29980,1632.482246437585,234748030
C2456,100753,1613.2434404699118,232832859
C2457,119993,1630.0177784565215,234492654
C2458,311838,1731.7681871797733,248984284
C2459,100263,1620.9323693123347,233301254
C2460,103977,1625.1512215169203,234313992
C2461,54167,1635.6217602203233,235253201
C2462,43177,1639.371874526517,236137612
C2463,38740,1613.6205083631512,232933612
C2464,110087,1609.3171585145947,232618289
C2465,343005,1591.2848436609138,228977079
C2466,1812723,1583.012224595921,226333957
C2467,138172,1588.7301868183451,228607034
C2468,22820,1581.823181725378,226278808
C2469,21851,1538.2777557960624,222398944
C2470,59137,1563.5824379826602,225522270
C2471,102100,1545.7896302728611,223136655
C2472,81417,1579.264951332428,226134768
C2473,130514,1590.20140969898,228846565
C2474,27330,1578.2111012923212,226107438
C2475,90419,1585.3482945961441,228208020
C2476,28931,1554.2316979344234,225021049
C2477,30866,1580.2096405635532,226244019
C2478,38433,1570.9617162533727,225945143
C2479,33456,1573.0116827037825,226063165
C2480,20367,1519.9960299737636,220320293
C2481,226696,1453.2005837178183,210649953
C2482,35188,1453.443414107537,210876649
C2483,18730,1503.747601736359,216695003
C2484,14565,1430.1623822176603,206637652
C2485,17504,1392.2021433450284,194937843
C2486,39621,1459.935821363343,211259441
C2487,21984,1503.6597178832005,216673019
C2488,24613,1540.3884063144526,222436850
C2489,42375,1587.3366745332933,228555316
C2490,15862,1734.073436114001,249528697
C2491,32839,1794.9624939979067,250901922
C2492,26900,1883.8295555364496,257636608
C2493,51760,1884.727566993855,257966782
C2494,166780,1962.5296374175073,262417910
C2495,12894,2073.835888562139,269939961
C2496,33620,2153.605200506297,282489691
C2497,38931,2349.8232921753165,341302396
C2498,12321,2610.270621399871,379733958
C2499,38575,2107.243986296883,276480600
C3501,109522,1486.753496396733,214686172
C3502,76446,1492.1269500746166,214948232
C3506,774072,1431.0843336718456,206656892
C3507,96606,1391.3907827263743,194831513
C3509,62495,1382.1098571437522,193519018
C3510,138606,1343.7726586752708,185990957
C3511,39461,1307.9302783913902,181923126
C3512,125915,1276.0735238408784,172042348
C3513,24901,1264.4852957939709,169734781
C3514,77497,1200.964909550682,161247485
C3515,125856,1228.4763536805576,165755347
C3516,69179,1185.7189809855354,159087426
C3518,506901,1146.0323640986855,153498392
C3519,729254,1113.483454544485,147668424
C3520,2481494,1105.4185805362317,143153726
C3521,988948,1072.9108251035839,136228947
C3522,51013,1071.6774701866257,136079981
C3523,187313,1037.665787610702,131118499
C3524,375229,1054.2737056712556,133219360
C3525,490268,1040.9795368155003,131859717
C3526,410574,1068.5166201840475,135334743
C3528,104670,976.3483150466717,121386665
C3529,118485,998.9574442699492,123559007
C3530,438515,1010.7790335652172,124289648
C3531,73675,978.9169928656042,121876612
C3532,99270,979.5075927117267,122086307
C3534,81553,929.0095763963906,116348322
C3536,107709,823.2572058320321,92279558
C3537,374975,776.6430985335817,82305102
C3538,126971,885.5453519993162,109262185
C3539,403185,916.5040575007099,114845873
C3540,59701,949.5354902028836,118539544
C3541,63892,1042.4633693032986,132349985
C3542,89073,1073.6063989574952,137240154
C3543,377050,1122.903613364988,150270689
C3544,53106,1202.1699244737322,161693960
C3546,15085,1250.7600039012846,168752962
C3547,95138,1368.0013634619645,190577278
C3548,82910,1295.6714309258368,180241920
C3549,39665,1212.5904779651412,162913687
C3551,12679,1094.7533156300208,140494945
C3552,22894,1265.8105439127576,169761311
C3553,155268,1218.9273800732196,163293514
C3554,34442,1363.9236026772471,189966741
C3556,85247,1517.619816742111,219745261
C3557,118567,1177.803954486134,158754153
C3558,150860,1303.3791553753772,181263334
C3559,22109,1259.8130936222124,169488223
C3560,61802,1823.4299683210547,252340413
C4601,16432,1417.8186442545507,205277257
C4602,50869,1420.653964739699,205522716
C4603,42184,1433.1765827854565,207510938
C4604,9942,1470.1840316552446,212481373
C4605,13848,1539.4475992933199,222423002
C4606,10110,1605.6669686459302,230219575
C4607,57148,1564.7844956326935,225617381
C4608,14603,1555.1496616085753,225118685
C4609,23322,1519.3756728438923,220258120
C4610,9464,1467.8564741058176,212471909
C4611,621451,1473.6349001350306,212504989
C4612,19251,1459.9696152296428,211299062
C4613,42183,1500.012784131379,215161410
C4614,17589,1514.946597466967,219722199
C4615,21914,1640.71687637168,236201015
C4616,10341,1735.2199197002435,249551564
C4617,22899,1689.793587357471,245831764
C4618,22593,1597.2509800903847,229427612
C4619,15805,1696.3856309106748,247180975
C4620,11013,1821.9353702683309,252329400
C4621,22556,1981.3407010916983,263202556
C4622,35077,1943.2600199220944,261476139
C4623,8989,2257.102036477633,324638339
C4701,30238,1657.1824652315834,238996630
C4702,21635,1739.9170031181097,249561905
C4703,14839,1870.4525738297095,256714106
C4704,11714,2070.4816290868584,269871211
C4705,32492,1740.8258665302887,249583540
C4706,219250,1841.4213094019929,253533069
