uid,population,distance,radiusPopulation
C1001,242875,4291.376526593641,406667170
C1002,24371,4206.291521700178,406634799
C1003,19370,4071.940956916348,406477663
C1004,22162,3986.272133124522,406404984
C1005,40466,4096.105169938804,406511103
C1006,36208,4147.11031230827,406598591
C1007,37335,4377.0217302608235,407000188
C1008,42188,4310.604596309465,406930136
C1009,20091,4307.5165114521515,406910045
C1010,27864,4371.235734923092,406972324
C1101,19180,3618.182174987683,405980889
C1102,71619,3575.6835489460495,405761858
C1103,44495,3541.875690280047,405634434
C1201,16231,3309.460257252499,403874196
C1202,26843,3280.2545220975817,403554967
C1203,19548,3297.1071512609956,403581810
C1204,11723,3353.7589153240856,404090827
C1205,21773,3359.9608804855498,404166758
C1206,47591,3404.5181735137035,404482347
C1207,58866,3414.5932807014483,404617608
C1208,40513,3469.767978163112,404874562
C1209,359183,3511.4082767210584,405213222
C1210,49307,3524.758169096433,405585127
C1211,32605,3480.541992879055,404980734
C1212,46965,3580.040020057572,405833477
C1213,9827,3629.230700524629,406032478
C1214,19578,3633.812943450574,406042305
C1215,19937,3723.023176653027,406135996
C1216,10225,3730.8134504920977,406155933
C1217,109330,3782.629766339825,406270056
C1218,7962,3782.179125912364,406262094
C1301,76407,3321.5850532639497,403976782
C1302,27366,3239.968983925767,403292651
C1303,25776,3333.990330213732,404053189
C1304,11862,3351.9226160266785,404078965
C1305,64208,3358.5817367208556,404102550
C1306,26749,3435.6549505550124,404723125
C1307,124688,3462.351479505396,404749874
C1308,31383,3431.835796744207,404691742
C1309,50817,3413.3153199914764,404566791
C1310,87212,3298.871030987718,403601358
C1311,27184,3276.3499094516546,403527783
C1312,21172,3311.3005217995724,403890427
C1313,35611,3275.627036401097,403492172
C1314,36134,3403.5141515255923,404446213
C1315,82929,3560.9655168792356,405678929
C2401,12824,3710.5631632687264,406123172
C2402,19298,3624.032154245351,406000069
C2403,18545,3608.4758923247837,405962344
C2404,12722,3523.2566570836925,405572405
C2405,18267,3497.4962150803176,405013339
C2406,15268,3424.120233859271,404676474
C2407,19920,3376.6405665990824,404392673
C2408,22507,3410.4442911125047,404529938
C2409,19326,3361.440783880443,404218876
C2410,52289,3318.6136848313095,403911599
C2411,9848,3270.4577235721604,403482324
C2412,31826,3225.16119552489,400884152
