uid,population,distance,radiusPopulation
C1001,242875,4638.284489591043,407388498
C1002,24371,4532.208332422228,407312743
C1003,19370,4368.6923246598,407215453
C1004,22162,4247.628374075359,407134122
C1005,40466,4338.924957572779,407174987
C1006,36208,4406.189658575146,407242208
C1007,37335,4638.642403912715,407631373
C1008,42188,4593.67883353122,407337114
C1009,20091,4464.78452243667,407278416
C1010,27864,4693.000625534573,407668708
C1101,19180,3966.5013899473443,406884012
C1102,71619,3914.7494136096675,406404352
C1103,44495,3855.0265518311103,406187135
C1201,16231,3761.541635243293,405364763
C1202,26843,3725.987708320581,405266497
C1203,19548,3722.6147512526236,405246949
C1204,11723,3790.824327508651,405641277
C1205,21773,3760.843810120644,405342990
C1206,47591,3825.1772247427357,405964777
C1207,58866,3812.0547499063973,405698294
C1208,40513,3866.17527588849,406264841
C1209,359183,3923.273001157658,406475971
C1210,49307,3908.3517123102724,406355045
C1211,32605,3846.4337393322053,406071690
C1212,46965,3959.7485820288343,406837047
C1213,9827,4026.537544460161,406962287
C1214,19578,4018.7735865327304,406930388
C1215,19937,4077.2433625413296,406973937
C1216,10225,4113.869648992522,407001683
C1217,109330,4146.461471833111,407019870
C1218,7962,4122.723258951737,407011908
C1301,76407,3695.7817863821883,405022397
C1302,27366,3625.6760573151446,404911679
C1303,25776,3670.736238749847,404996621
C1304,11862,3698.531749616864,405098804
C1305,64208,3715.440819933003,405174205
C1306,26749,3793.485124616912,405653000
C1307,124688,3812.8856199787247,405757160
C1308,31383,3752.0098561847,405311607
C1309,50817,3705.5949215629257,405123388
C1310,87212,3618.69222132757,404824467
C1311,27184,3582.9559843405896,404684558
C1312,21172,3590.38070207084,404741857
C1313,35611,3519.8025112827618,404557244
C1314,36134,3646.596789061717,404939045
C1315,82929,3815.437945119038,405881848
C2401,12824,4008.621836632764,406917564
C2402,19298,3855.946841033637,406231630
C2403,18545,3811.4403161082805,405679749
C2404,12722,3700.206593620724,405110666
C2405,18267,3737.3753867204855,405293340
C2406,15268,3648.316738828885,404975179
C2407,19920,3584.1504490520547,404711742
C2408,22507,3590.8553532100495,404763029
C2409,19326,3544.856392670676,404597671
C2410,52289,3509.50743225557,404453164
C2411,9848,3471.69543662536,404202039
C2412,31826,3434.638562878349,404064186
C2413,22420,3477.9936425177025,404211887
C2414,22494,3407.808573179983,404008076
C2415,16624,3400.433550652883,403810450
C2416,13166,3360.8848717497517,403125873
C2417,19368,3367.9028191035213,403404651
C2418,23438,3351.3988540634214,402873456
C2419,29570,3337.5601435906883,402136449
C2420,6779,3324.809038038065,401351496
C2421,20984,3300.9567505378386,398862388
C2422,26459,3274.148468168305,395568578
C2423,509950,3298.052931927678,398301790
C2424,51855,3307.2456345789697,399896472
C2425,78808,3294.202195581957,398179735
C2426,25850,3317.475981683999,401306875
C2427,18771,3324.7163541579575,401332725
C2428,17745,3358.2997207323197,403108128
C2429,47873,3341.7058393722427,402352761
C2430,21830,3317.463455321306,401285045
C2431,43247,3294.9767780235898,398258543
C2432,24021,3263.9806462011084,395544557
C2433,26851,3244.2557711828854,394867156
C2434,44955,3247.947879549431,394937502
C2435,12809,3143.8589294245767,387653652
C2436,64841,3176.6233743942803,389130616
C2437,138355,3206.2326332772627,392619569
C2438,19088,3203.6129163775827,392600481
C2439,64089,3232.4403378080574,393587647
C2440,14535,3238.261096078658,393910824
C2441,21394,3278.482977467497,396615360
C2442,28176,3222.43579023552,393418259
C2443,141212,3230.1538384119563,393446435
C2444,16595,3246.1164919953085,394894007
C2445,41871,3214.85687619098,393346686
C2446,46165,3167.9942050013256,388137052
C2447,79175,3174.4253976781024,389051441
C2448,15167,3191.7114521906606,392314209
C2449,87808,3193.804117054003,392329376
C2450,23496,3188.4967598028384,390871344
C2451,23401,3165.1709603252148,388113651
C2452,38347,3138.7554656656057,387458318
C2453,50066,3157.2496785957846,387906412
C2454,78917,3163.019595829745,388034734
C2455,29980,3149.904982320966,387876432
C2456,100753,3138.5327420630274,387357565
C2457,119993,3139.2022411488297,387496665
C2458,311838,3211.216510521795,392784201
C2459,100263,3126.8468723311626,386014714
C2460,103977,3122.6550826698535,385840708
C2461,54167,3123.8377285172005,385960547
C2462,43177,3085.4002053631007,372577352
C2463,38740,3105.2828819028223,384120937
C2464,110087,3107.89475038752,384159677
C2465,343005,3096.3880417880664,380047933
C2466,1812723,3092.8479016467145,376822666
C2467,138172,3104.2725564142484,383982765
C2468,22820,3108.415738396999,384269764
C2469,21851,3063.437832731742,368195772
C2470,59137,3081.8053023492494,372373495
C2471,102100,3055.322394168981,363628784
C2472,81417,3084.9587452209303,372495935
C2473,130514,3091.813564612661,376692152
C2474,27330,3077.4390121042425,371757441
C2475,90419,3077.6697195605225,372082441
C2476,28931,3047.569907830101,362306496
C2477,30866,3066.409214346089,368217623
C2478,38433,3042.2064150226897,361932913
C2479,33456,2995.7765330402085,353575799
C2480,20367,2998.409622911624,355534869
C2481,226696,2943.884466476896,346475169
C2482,35188,2932.3999847181726,345419516
C2483,18730,2917.506269901949,343271937
C2484,14565,2912.91714606955,342877362
C2485,17504,2712.3363535484723,309479458
C2486,39621,2745.645929888797,314584823
C2487,21984,2758.291804755469,315641297
C2488,24613,2831.11583744616,329098816
C2489,42375,2922.6721465084106,343681556
C2490,15862,3123.445074295634,385944685
C2491,32839,3159.7609020014966,388001895
C2492,26900,3247.415901638013,394910602
C2493,51760,3278.407600280825,396563600
C2494,166780,3356.0167987635978,402941348
C2495,12894,3451.6926476037374,404096012
C2496,33620,3549.311416554211,404616997
C2497,38931,3610.8262092673904,404785536
C2498,12321,4022.6791540024806,406949966
C2499,38575,3258.123337158949,395505982
C3501,109522,2999.766917061373,355837973
C3502,76446,2989.924878350418,352756714
C3506,774072,2931.2644152265607,344645444
C3507,96606,2918.7807243754773,343290667
C3509,62495,2888.117735818811,338747581
C3510,138606,2868.2587274188704,336077217
C3511,39461,2821.516866807037,324669201
C3512,125915,2781.341564363888,320485294
C3513,24901,2809.7473664904282,322496681
C3514,77497,2740.472432823017,313729625
C3515,125856,2740.1784957839786,313603769
C3516,69179,2683.417001731496,305233068
C3518,506901,2675.1862942899543,302127173
C3519,729254,2632.461468710003,294982885
C3520,2481494,2643.9873029242203,297437517
C3521,988948,2604.378212199764,290187509
C3522,51013,2576.046741848981,285528114
C3523,187313,2555.8169071196044,283300955
C3524,375229,2595.9963071926745,289212171
C3525,490268,2594.325988722822,288654789
C3526,410574,2638.968832515038,296580221
C3528,104670,2546.93134157022,281839956
C3529,118485,2552.886948456807,282736563
C3530,438515,2543.3586660104984,281016889
C3531,73675,2499.2814825496107,276408202
C3532,99270,2524.697742975112,279763835
C3534,81553,2499.3375061284614,276492220
C3536,107709,2409.761433620349,264279204
C3537,374975,2348.8901792236725,255390970
C3538,126971,2416.7546651577627,264874567
C3539,403185,2465.359984437174,273443855
C3540,59701,2451.296715042595,271532843
C3541,63892,2490.682765725175,275921045
C3542,89073,2546.041508694813,281698156
C3543,377050,2609.401375922434,291394068
C3544,53106,2657.783931903324,300656015
C3546,15085,2718.9177242650844,309883151
C3547,95138,2832.1509260896346,329128717
C3548,82910,2703.3605337469926,307372311
C3549,39665,2627.909677945444,294553703
C3551,12679,2448.6574987438935,270486626
C3552,22894,2521.9684676051043,279574217
C3553,155268,2554.773052341062,282996620
C3554,34442,2640.6924480428306,297181013
C3556,85247,2551.4566082234055,282616751
C3557,118567,2314.639744413017,246228718
C3558,150860,2184.4971541579666,203126748
C3559,22109,1860.6107031303557,147573917
C3560,61802,2452.8898271039693,271715785
C4601,16432,1747.7023927271666,137064789
C4602,50869,1672.7331660168354,126656199
C4603,42184,1618.1619355493388,120933681
C4604,9942,1554.7448622691516,105928705
C4605,13848,1499.115735334937,100270043
C4606,10110,1523.9527619122243,102468364
C4607,57148,1562.0385557081852,106656187
C4608,14603,1634.4742818686516,123053492
C4609,23322,1654.8638128148627,124388313
C4610,9464,1662.6473858026861,125814538
C4611,621451,1689.7771701975773,130382299
C4612,19251,1727.152172400071,134571577
C4613,42183,1739.8308452536235,136123030
C4614,17589,1708.4300688138792,133035890
C4615,21914,1605.183552870072,119575997
C4616,10341,1640.6061631052878,123525745
C4617,22899,1685.5817008368354,129970404
C4618,22593,1758.5490356424523,137750394
C4619,15805,1829.5112733875308,144838369
C4620,11013,1732.2585842199467,134996020
C4621,22556,1957.9689624213734,163859558
C4622,35077,2152.734436944126,198634570
C4623,8989,2398.7699833956717,263634953
C4701,30238,1446.3432599553266,93035609
C4702,21635,1421.2839817960491,90764466
C4703,14839,1372.192134075438,85455217
C4704,11714,1366.1822882551776,84522916
C4705,32492,1546.72562509682,105296981
C4706,219250,1507.9385923313405,100838031
C4707,46982,1456.5002776450149,94438842
C4708,30720,1472.788509355992,98609403
C4709,36895,1673.5934003392986,126781231
C4710,19365,1635.4633493820902,123202567
C4711,237629,1601.9648706350188,117463167
C4712,23697,1595.7955288352907,116035948
C4713,24054,1596.5769737510218,116153329
C4714,39476,1794.60656076946,141084213
C4715,80668,1760.3697042577853,138062955
C4716,37663,1743.8694603468996,136460663
C4717,39587,1801.4342007363816,142571355
C4718,32029,2145.3920450184196,198124884
C4801,67402,1372.7891772953194,85569890
C4802,133913,1364.3276474672064,84389003
C4803,37580,1344.6128239942748,81695939
C4804,11300,1505.220919431218,100811904
C4805,47606,1519.273329519609,102264105
C4806,1021060,1530.4437413413684,102898625
C4807,40407,1675.9992259068774,128865939
C4808,153049,1658.4626716293574,125479850
C4809,19573,1695.7308958804251,132193980
C4810,83061,1755.670869684733,137255997
C4811,975477,1793.5355229901224,140084420
C4812,58362,1895.0829853188652,151537024
C4813,63954,1884.2459258563283,149607363
C4814,26871,1846.9466621153106,146243535
C4815,34068,1560.6965670468708,106448046
C4816,42971,2349.7605812635043,255837609
C4817,57508,2294.5378366861414,239266126
C4818,14346,2000.679797685777,174579232
C4819,86299,2098.475223966974,189839772
C5901,56291,1469.75329611737,96210451
C5903,57019,1495.2070448429467,100147790
C5905,31843,1472.0898997053412,96840526
C5907,76635,1560.244105932021,106281425
C5909,237550,1642.091140177009,123573759
C5915,1986965,1675.7725089832868,126878974
C5917,325754,1657.6416957140104,124536413
C5919,71998,1687.9035169885758,130227031
C5921,127016,1741.090376247577,136220808
C5923,30345,1783.8073167134744,139121156
C5925,96131,1804.613177631878,142687905
C5927,19765,1812.966658258754,143238587
C5929,25599,1750.7707104294284,137099044
C5931,33011,1765.3930623754009,138222418
C5933,119222,1650.620154814287,124059027
C5935,147739,1576.3745396923157,107562239
C5937,73227,1584.4376497450771,111955043
C5939,48219,1677.370180792624,128923451
C5941,65659,1956.781718238455,163704865
C5943,13111,2057.971680022634,182775174
C5945,3781,2086.786251075381,187279442
C5947,21693,2441.1124339898606,269823548
C5949,40876,2586.61836537548,287588358
C5951,40856,2257.608105896396,219355550
C5953,95317,2026.5189886835199,177651382
C5955,55080,2316.101782270342,246550878
C5957,1316,2745.5925935818746,314583507
C5959,5720,2553.6801813934735,282961209
C6001,28674,3400.9917673829186,403827074
C6106,28824,2779.431347752859,320132562
C6107,8536,3720.2272113764902,405238413
C6204,14372,4007.1964993144447,406903192
C6205,7557,3040.5521639223534,361925356
C6208,4816,3523.956179472322,404592855
M01001,643419,1892.8474139351824,150825138
M01002,37763,1863.474825897582,147759824
M01003,51291,1881.4179724308538,148845084
M01004,12619,1842.3685224103135,145736828
M01005,64097,1882.5468214998277,149450956
M01006,34296,1866.1425702621018,147883964
M01007,41655,1855.645568885402,146989551
M01008,7244,1860.7869294256561,147596026
M01009,16508,1862.0118879210165,147671983
M01010,15327,1901.3825605050924,152045667
M01011,20066,1873.2841144341487,148158682
M02001,370730,951.3690022716454,45592068
M02002,764602,755.4323767245969,21754550
M02003,77795,838.8432424051656,27475412
M02004,1210820,869.2299952083648,40654478
M02005,63420,884.7225585447343,42981186
M03001,63864,1411.7113171896033,89748602
M03002,45989,1167.1403655405086,65020473
M03003,196907,1500.2529441074807,100439215
M03008,105469,1619.6659295231652,121113290
M03009,11812,1299.6499244170561,77300587
M04001,46899,2702.8154159283827,307317591
M04002,216897,2716.105361880519,309610464
M04003,172076,2738.7251936728003,313356018
M04004,70554,2746.0169085219345,314624444
M04005,24889,2713.9606487762208,309497637
M04006,31214,2770.3836914496196,316551441
M04007,8401,2757.8877969853766,315584398
M04008,8400,2719.547569749719,309902569
M04009,50563,2810.884095588993,322716859
M04010,23115,2906.8192373362654,342633105
M04011,37681,2828.771824663903,327159295
M05001,1126,1400.4854652811796,89201741
M05002,110487,1234.8540977566643,68034520
M05003,20943,1324.9415105509718,80026916
M05004,19374,1595.9886243396231,116068855
M05005,1677,1473.1983802280643,98640123
M05006,22530,1437.8770122286437,91673211
M05007,12154,1386.8435889362454,88404401
M05008,2784,1396.2336213293145,88995867
M05009,46452,1453.9130300519805,93616215
