uid,population,distance,radiusPopulation
C1001,242875,3101.693991542929,403004634
C1002,24371,2994.820388953263,397670448
C1003,19370,2830.504556904669,376990533
C1004,22162,2708.634859870447,342004235
C1005,40466,2799.7057192895263,360143002
C1006,36208,2866.988743520792,386073431
C1007,37335,3099.4424591203533,402886850
C1008,42188,3054.5822341851012,400352639
C1009,20091,2929.923227362136,393235157
C1010,27864,3154.8025814020284,405784293
C1101,19180,2435.9309086134926,316318797
C1102,71619,2383.7096670598694,309218372
C1103,44495,2321.728238387854,286183727
C1201,16231,2255.368137516756,276734333
C1202,26843,2219.376013376384,271835231
C1203,19548,2211.184966605979,270741133
C1204,11723,2280.0667935812708,278928081
C1205,21773,2242.949425312388,272980320
C1206,47591,2309.7721560779496,285337811
C1207,58866,2292.227217719509,282598561
C1208,40513,2344.926964349004,288241175
C1209,359183,2403.712467621249,313430269
C1210,49307,2383.96993667939,309289991
C1211,32605,2320.304696710457,286151122
C1212,46965,2433.795510610291,315855349
C1213,9827,2502.2849587357387,326028295
C1214,19578,2492.646935865679,324750648
C1215,19937,2545.9787757413665,329712633
C1216,10225,2585.969438064388,332399609
C1217,109330,2615.5368297536884,333461807
C1218,7962,2589.3965625057067,332498498
C1301,76407,2174.257776815248,264643320
C1302,27366,2108.2543204407443,257703536
C1303,25776,2143.348815278963,260025928
C1304,11862,2172.1494788868013,264611093
C1305,64208,2190.3956275461483,269124621
C1306,26749,2267.0574324415065,277315182
C1307,124688,2284.987751725763,281598876
C1308,31383,2220.9069487652846,271869350
C1309,50817,2171.88876091811,264560276
C1310,87212,2089.7594373081292,256419749
C1311,27184,2052.8105039897287,250323553
C1312,21172,2056.7622844215994,250395566
C1313,35611,1983.7287128027363,242606097
C1314,36134,2109.3277307976555,257737305
C1315,82929,2277.7276219842224,278845152
C2401,12824,2472.461612805612,323008971
C2402,19298,2317.127178480387,286004891
C2403,18545,2272.224292121075,278583274
C2404,12722,2161.034099484904,262372951
C2405,18267,2199.3481553230913,269916589
C2406,15268,2110.0269050580177,257775685
C2407,19920,2045.498739034494,249883661
C2408,22507,2051.64502375708,250285657
C2409,19326,2005.7283656221005,243286833
C2410,52289,1970.6190040002189,242138484
C2411,9848,1933.328650827471,240485139
C2412,31826,1896.9187649249104,239243711
C2413,22420,1940.9839195218613,240770270
C2414,22494,1870.9773792219635,237294285
C2415,16624,1862.9818432862771,236814231
C2416,13166,1824.290415899346,232344537
C2417,19368,1833.138209916071,232720834
C2418,23438,1817.2899428365076,231656951
C2419,29570,1804.9605974662034,229014918
C2420,6779,1790.72979172298,226844745
C2421,20984,1764.5194336940697,223292339
C2422,26459,1739.5484178129636,218320185
C2423,509950,1764.915404793716,223313323
C2424,51855,1774.477417820209,225440554
C2425,78808,1761.7429659446727,222869583
C2426,25850,1786.9927616741995,226767367
C2427,18771,1795.6540492287322,228288960
