uid,population,distance,radiusPopulation
C1001,242875,4108.919545338737,407310894
C1002,24371,3998.052248400588,407207000
C1003,19370,3829.281842235703,407115107
C1004,22162,3697.7710132625357,406299760
C1005,40466,3774.216405296334,407023568
C1006,36208,3845.6210122528328,407134477
C1007,37335,4066.55010309983,407273559
C1008,42188,4034.5705221167177,407231371
C1009,20091,3851.5387962594705,407170685
C1010,27864,4147.955144650263,407553769
C1101,19180,3481.132001954113,401950361
C1102,71619,3428.448191077406,400339466
C1103,44495,3359.699384811259,396191949
C1201,16231,3349.423855566755,395497721
C1202,26843,3313.5172944685464,390829854
C1203,19548,3299.243797539213,390375418
C1204,11723,3367.824003578239,396628665
C1205,21773,3320.5577274875845,391122896
C1206,47591,3390.206619241694,398240181
C1207,58866,3365.5099382625276,396401855
C1208,40513,3414.5562471155536,399360525
C1209,359183,3475.440413890462,401545952
C1210,49307,3446.390731126769,400745378
C1211,32605,3379.9320990689116,397601927
C1212,46965,3491.6635561741614,402293786
C1213,9827,3562.8273172478157,405017801
C1214,19578,3549.0112449891863,404314557
C1215,19937,3586.815861586306,405352895
C1216,10225,3636.128170546337,405830209
C1217,109330,3656.218163983602,405968917
C1218,7962,3621.8744371025714,405585833
C1301,76407,3246.6725033941284,384109120
C1302,27366,3189.282503452768,381814366
C1303,25776,3203.5708181296272,382279266
C1304,11862,3234.2158031302756,383660975
C1305,64208,3255.174644970267,385132964
C1306,26749,3327.0343190676313,392247625
C1307,124688,3340.892760614665,392571248
C1308,31383,3268.8738860811422,387128951
C1309,50817,3211.5820531512286,382563978
C1310,87212,3147.123066231959,377622440
C1311,27184,3107.581057370164,371323265
C1312,21172,3099.5814446642626,370497118
C1313,35611,3017.0086241377862,342674965
C1314,36134,3131.7400793259094,376347940
C1315,82929,3292.5149565769725,388324550
C2401,12824,3493.704679574979,402348875
C2402,19298,3318.228782365849,390924907
C2403,18545,3262.3291607117458,386983516
C2404,12722,3146.6299088710102,377548030
C2405,18267,3213.166967865934,382618527
C2406,15268,3123.4382328284396,374013192
C2407,19920,3056.1861664028324,352641897
C2408,22507,3048.246892095875,350302865
C2409,19326,3007.871452880137,340708003
C2410,52289,2979.6342533637467,334787006
C2411,9848,2950.7858082429257,330142315
C2412,31826,2921.6523843707732,324544986
C2413,22420,2969.740860199874,332492282
C2414,22494,2902.9162691760257,321284222
C2415,16624,2890.8448256920988,318085588
C2416,13166,2859.085780239526,312251560
C2417,19368,2877.1091357455102,315581718
C2418,23438,2864.526366707668,313369387
C2419,29570,2858.273497765227,312148847
C2420,6779,2838.8585660923636,304754447
C2421,20984,2802.0689629681733,286995349
C2422,26459,2787.015581352471,280763930
C2423,509950,2817.4486678747685,293174777
C2424,51855,2828.0678920722416,302136627
C2425,78808,2816.784602291806,293083881
C2426,25850,2847.60323007235,309646275
C2427,18771,2860.014927403183,312293940
C2428,17745,2891.4722412123133,318102212
C2429,47873,2883.7496722212904,316911601
C2430,21830,2872.9426600886727,315134488
C2431,43247,2835.0514210213187,303554408
C2432,24021,2802.7190033468128,287051177
C2433,26851,2770.3343755566552,277554795
C2434,44955,2771.44738075892,277825020
C2435,12809,2656.569429487538,250220024
C2436,64841,2704.413642751753,262093106
C2437,138355,2736.6291047994437,270084913
C2438,19088,2738.720898531833,270433519
C2439,64089,2779.719162134485,279833350
C2440,14535,2790.53589394098,282855051
C2441,21394,2837.3477014252817,303762375
C2442,28176,2782.9230909325593,280192859
C2443,141212,2795.8396074730526,284973030
C2444,16595,2818.160547909529,293751184
C2445,41871,2784.9410637948067,280246457
C2446,46165,2742.610732469432,272100608
C2447,79175,2740.2976078343363,271147637
C2448,15167,2751.066419536428,273398673
C2449,87808,2744.4944260275984,272477097
C2450,23496,2730.178836303415,267934419
C2451,23401,2702.1032865492602,262016220
C2452,38347,2680.8081602948373,257363295
C2453,50066,2705.4726468678105,262218692
C2454,78917,2722.5573007243543,265467052
C2455,29980,2715.4115211603257,264578087
C2456,100753,2711.0683511092516,263248547
C2457,119993,2699.74574097651,261308629
C2458,311838,2743.358165569252,272146773
C2459,100263,2686.290774963984,259003067
C2460,103977,2676.491092492657,257129565
C2461,54167,2670.9775686480248,255691461
C2462,43177,2608.061727699353,241652961
C2463,38740,2656.8085621446844,250232833
C2464,110087,2664.0506205189686,254003337
C2465,343005,2658.4501713052373,250319090
C2466,1812723,2658.717068511975,250662095
C2467,138172,2673.107948389973,255822096
C2468,22820,2685.0381487289046,258842898
C2469,21851,2643.7672250608457,247629616
C2470,59137,2655.0031187460186,249754655
C2471,102100,2625.0330792625828,243549837
C2472,81417,2648.6701859984087,249042689
C2473,130514,2651.8529009548492,249183162
C2474,27330,2637.322374939795,245629316
