uid,population,distance,radiusPopulation
C1001,242875,2688.1944678236696,292470197
C1002,24371,2586.3667527920134,280023024
C1003,19370,2428.9836781924832,271417698
C1004,22162,2317.6409089339422,263218334
C1005,40466,2417.62448540379,268085306
C1006,36208,2480.0611555924547,276429504
C1007,37335,2715.717600769157,297246882
C1008,42188,2662.351965780853,288783451
C1009,20091,2583.4766077646727,279820078
C1010,27864,2750.827322395279,306554451
C1101,19180,2005.6719125763727,243955925
C1102,71619,1955.1603722459643,242768548
C1103,44495,1900.835074974532,239417517
C1201,16231,1783.9792092047371,234011640
C1202,26843,1748.5610881270936,231703726
C1203,19548,1746.5165272645947,231639556
C1204,11723,1814.3363086894612,235367747
C1205,21773,1787.7023243127753,234406228
C1206,47591,1850.4342389810286,236405417
C1207,58866,1839.975452423429,236035803
C1208,40513,1894.9114487108955,238142306
C1209,359183,1950.5535732896317,242371756
C1210,49307,1939.658404162525,240545325
C1211,32605,1880.006174655661,237999890
C1212,46965,1992.449938561846,243697742
C1213,9827,2057.1339221461926,248818874
C1214,19578,2051.354285371184,248392321
C1215,19937,2116.8905006696077,253339140
C1216,10225,2148.092797856846,254010921
C1217,109330,2185.049668978103,254578422
C1218,7962,2166.3491273272653,254226807
C1301,76407,1725.613121026739,231066756
C1302,27366,1652.8426919808874,224115337
C1303,25776,1707.2116356631393,228562668
C1304,11862,1733.4395840579064,231339030
C1305,64208,1748.619538274737,231730569
C1306,26749,1827.766882840748,235742109
C1307,124688,1848.9731170856917,236280729
C1308,31383,1793.93827885671,234856920
C1309,50817,1754.0483999273667,231801016
C1310,87212,1657.9895243488788,224143432
C1311,27184,1624.7536454689443,222707606
C1312,21172,1640.0187395182181,223282282
C1313,35611,1578.976093904501,217271172
C1314,36134,1709.5687138890778,228702247
C1315,82929,1878.5633644018417,237916961
C2401,12824,2061.7812673815524,249683005
C2402,19298,1928.3557656585328,240216848
C2403,18545,1894.4643842384687,238123761
C2404,12722,1791.778315506487,234801466
C2405,18267,1803.847281043116,235151727
C2406,15268,1718.40711223407,230508586
C2407,19920,1659.1405828150232,224230644
C2408,22507,1677.7563065723339,227078134
C2409,19326,1629.0534627340792,222763263
C2410,52289,1589.3471214366602,217663946
C2411,9848,1545.9800091083266,215476636
C2412,31826,1504.4099598405044,212366551
C2413,22420,1542.470395951898,215364988
C2414,22494,1472.7202577876726,209077618
C2415,16624,1469.140565153013,208951488
C2416,13166,1425.558937129552,205353679
C2417,19368,1424.6956292090397,205329587
C2418,23438,1406.279003190853,203039478
C2419,29570,1388.2582175951525,201491166
C2420,6779,1380.0999974512504,198341885
C2421,20984,1366.1901874801108,197140375
C2422,26459,1332.2560855497197,191409360
C2423,509950,1350.969927929386,195352369
C2424,51855,1358.946172915241,196623320
C2425,78808,1345.3052307495518,193220724
C2426,25850,1363.4581704685886,197078141
C2427,18771,1367.7511861077762,197161359
C2428,17745,1401.471833938233,203020665
C2429,47873,1381.0107098784406,200786631
C2430,21830,1351.612116425108,195881436
C2431,43247,1336.454077545333,191556247
C2432,24021,1307.032245450002,186756823
C2433,26851,1295.0789162663523,185286802
C2434,44955,1300.2143194591204,185794617
C2435,12809,1208.2516107070082,174237121
C2436,64841,1229.05431313649,176726168
C2437,138355,1255.8874873639036,180719033
C2438,19088,1250.6136826243085,180322505
C2439,64089,1272.1697151293474,183500466
C2440,14535,1275.5429062683797,183630454
C2441,21394,1312.1281786756024,188785712
C2442,28176,1256.6537294446973,180864148
C2443,141212,1262.2439714301506,181366785
C2444,16595,1275.777788348965,183644989
C2445,41871,1245.7050438224169,179873552
C2446,46165,1198.1994174271433,172348775
C2447,79175,1207.6146483715618,173989513
C2448,15167,1227.1075740977112,176514372
C2449,87808,1233.001550543169,177016683
C2450,23496,1232.3914071321672,176983918
C2451,23401,1212.526216331229,175326047
