uid,population,distance,radiusPopulation
C1001,242875,3907.814745212856,406578011
C1002,24371,3821.5810222578266,406553640
C1003,19370,3685.8107553021246,406423052
C1004,22162,3598.9426669802806,406304954
C1005,40466,3708.548926664539,406442422
C1006,36208,3760.0449540859518,406482888
C1007,37335,3990.496178285684,406987668
C1008,42188,3924.6036560910143,406840977
C1009,20091,3918.8678003101754,406820886
C1010,27864,3986.8224069333646,406959804
C1101,19180,3232.513755123354,405404666
C1102,71619,3189.556393068498,405097998
C1103,44495,3154.8612667326133,402593330
C1201,16231,2927.1171160965364,393298303
C1202,26843,2897.4248543394137,392715135
C1203,19548,2913.3625228922137,393181095
C1204,11723,2970.857815755034,395718985
C1205,21773,2975.392117705712,396058006
C1206,47591,3021.0479289275895,400257525
C1207,58866,3030.1093266687258,400585795
C1208,40513,3085.4689710364473,401709088
C1209,359183,3127.9980095904193,402172118
C1210,49307,3140.1307695251535,402544023
C1211,32605,3095.044345190619,401749601
C1212,46965,3195.463347513076,405241615
C1213,9827,3245.631400089502,405570160
C1214,19578,3249.67084545148,405579987
C1215,19937,3337.9270613536023,405772976
C1216,10225,3346.960761306694,405792913
C1217,109330,3398.1286495242134,406101346
C1218,7962,3396.7555130159226,406093384
C1301,76407,2935.806012013576,394040203
C1302,27366,2854.294640043689,390891715
C1303,25776,2947.0442043639555,394482985
C1304,11862,2965.3247083570895,395644743
C1305,64208,2972.3342897824095,395803935
C1306,26749,3049.706700429447,401065714
C1307,124688,3076.2433344125216,401584400
C1308,31383,3044.714083830746,400802362
C1309,50817,3025.485375014166,400534978
C1310,87212,2911.381656338667,393093883
C1311,27184,2888.5082920939326,391714045
C1312,21172,2923.027203125506,393210515
C1313,35611,2886.8915756371225,391646591
C1314,36134,3014.9018640461645,400148910
C1315,82929,3172.7215215678066,405015069
C2401,12824,3323.568793175585,405760152
C2402,19298,3235.555386428515,405423846
C2403,18545,3219.7034761355876,405321591
C2404,12722,3134.3652284182035,402531301
C2405,18267,3108.9601180006734,402113821
C2406,15268,3035.3608363751246,400648485
C2407,19920,2987.7704503338355,399144904
C2408,22507,3021.559768545095,400305116
C2409,19326,2972.561184787934,395868143
C2410,52289,2929.7293828623806,393975020
C2411,9848,2881.567799659517,391636743
C2412,31826,2836.2698918323267,390825821
C2413,22420,2862.770469593876,391174265
C2414,22494,2799.196457797131,390026584
C2415,16624,2802.052892689507,390188772
C2416,13166,2755.430988092111,388404165
C2417,19368,2740.55567259454,388161093
C2418,23438,2719.97431904909,386721995
C2419,29570,2694.829323177396,385603279
C2420,6779,2696.8967147754283,385688029
C2421,20984,2701.889175734898,385732471
C2422,26459,2658.6259438826683,383682219
C2423,509950,2665.6018481659708,383866344
C2424,51855,2670.319691503699,384376294
C2425,78808,2656.6557463646004,383468895
C2426,25850,2661.4311823570265,383800876
C2427,18771,2657.800995811788,383582780
C2428,17745,2688.7046771439504,385566730
C2429,47873,2659.2094637853475,383716100
C2430,21830,2615.50159178095,379414436
C2431,43247,2625.2972366279805,379576375
C2432,24021,2603.0259864434233,377606431
C2433,26851,2610.5237282914586,379358118
C2434,44955,2618.189070007283,379471201
C2435,12809,2556.4864753111656,373610042
C2436,64841,2554.1708437843477,373528460
C2437,138355,2572.605285051052,374919208
C2438,19088,2561.9279178147412,373910300
C2439,64089,2562.5316499925366,374579549
C2440,14535,2558.1157544475736,373622851
C2441,21394,2578.238194653199,375369401
C2442,28176,2530.8408056000867,372658584
C2443,141212,2527.6419628384137,372406102
C2444,16595,2528.9692477294457,372641989
C2445,41871,2507.710686279841,371253879
C2446,46165,2462.8186458323494,368632119
C2447,79175,2483.444379261712,370808298
C2448,15167,2508.6759388309115,371295750
C2449,87808,2525.9231072252383,371978808
C2450,23496,2538.0835034641673,372733118
C2451,23401,2528.4901708766615,372587868
C2452,38347,2498.599326588331,371121800
C2453,50066,2501.787866503514,371203813
C2454,78917,2485.880678882326,370999706
C2455,29980,2464.9477601639196,369110399
C2456,100753,2443.5416280711515,367545402
C2457,119993,2465.519403873082,369863798
C2458,311838,2573.330416075829,375057563
C2459,100263,2457.905901045349,368288382
C2460,103977,2464.7626863420364,369006422
C2461,54167,2477.793681595942,370661944
C2462,43177,2492.932729723321,371078623
C2463,38740,2455.511544854449,368249642
C2464,110087,2449.165720899757,368118977
C2465,343005,2429.6625529941234,365545797
C2466,1812723,2420.1051300284316,362244346
C2467,138172,2423.6023507984673,364909896
C2468,22820,2412.9138969159376,359493400
C2469,21851,2371.719663540292,357001852
C2470,59137,2398.506602411125,358669585
C2471,102100,2384.4502903590483,358017654
C2472,81417,2417.906957106389,359975349
C2473,130514,2429.777150746133,365888802
C2474,27330,2419.0140149685926,361559057
C2475,90419,2428.0646930029816,365439272
C2476,28931,2397.7846171075084,358640654
C2477,30866,2424.970451709029,365048068
C2478,38433,2420.2904673482,364057069
C2479,33456,2433.575892431732,366474790
C2480,20367,2369.1409630434605,356206540
C2481,226696,2301.3546177241037,351673500
C2482,35188,2304.8356094405035,351900196
C2483,18730,2367.8722608300955,356187810
C2484,14565,2281.393032092468,350529710
C2485,17504,2269.252486705211,349133692
C2486,39621,2338.0300881364255,354551779
C2487,21984,2382.429483709492,357854521
C2488,24613,2417.556063132631,359950736
C2489,42375,2460.4455295192815,368493942
C2490,15862,2596.8416508476707,376284257
C2491,32839,2660.4949664762357,383768037
C2492,26900,2747.782596400515,388296255
C2493,51760,2743.2484485540044,388196889
C2494,166780,2819.334463346904,390353622
C2495,12894,2931.3913132240946,394027309
C2496,33620,3005.7469942555904,399477237
C2497,38931,3220.4742300926614,405340136
C2498,12321,3448.8200782512486,406210676
C2499,38575,2986.117631430905,399106329
C3501,109522,2326.623903200798,353781657
C3502,76446,2336.6703286672946,354475333
C3506,774072,2277.305069773006,349620685
C3507,96606,2230.4173172014266,336393738
C3509,62495,2228.5585827389696,336331243
C3510,138606,2185.9553914111707,331469681
C3511,39461,2155.2313960564284,326660038
C3512,125915,2127.223058498154,315501081
C3513,24901,2103.119419030065,308952402
C3514,77497,2044.8966565852386,300907632
C3515,125856,2079.867068787656,304808992
C3516,69179,2042.7502468087603,300829394
C3518,506901,1996.1056209067826,291896018
C3519,729254,1968.12031796675,288219739
C3520,2481494,1954.6048543702216,284555303
C3521,988948,1925.9666800179527,281567349
C3522,51013,1932.0039798524906,282737610
C3523,187313,1896.145337390318,277609760
C3524,375229,1905.1781166582782,278111071
C3525,490268,1888.8128189403137,276637517
C3526,410574,1908.4191751079038,278728386
C3528,104670,1821.950632027379,269891762
C3529,118485,1849.019761623223,271979210
C3530,438515,1866.7148911246904,273606162
C3531,73675,1839.6724865626334,271350842
C3532,99270,1833.445202360553,271144806
C3534,81553,1777.7289428220604,263429007
C3536,107709,1673.3201749084176,249698684
C3537,374975,1634.7149647248405,240293524
C3538,126971,1748.3347784279797,260451211
C3539,403185,1772.91833837105,262059154
C3540,59701,1815.7674036672236,267568507
C3541,63892,1914.250780511981,279563632
C3542,89073,1940.530963005405,283698315
C3543,377050,1985.1448672829395,290659010
C3544,53106,2067.697258241819,304292478
C3546,15085,2112.111883081795,310741195
C3547,95138,2226.0967792292495,336224212
C3548,82910,2166.114682779432,328461048
C3549,39665,2084.09614994679,307457306
C3551,12679,1973.2406636447886,289874671
C3552,22894,2144.6898614688944,321874792
C3553,155268,2096.9987342748464,308749906
C3554,34442,2242.8044211753636,336924990
C3556,85247,2385.702485146122,358119754
C3557,118567,2047.080022020389,300985990
C3558,150860,2137.3250815915253,317634950
C3559,22109,2016.432105829492,296577978
C3560,61802,2636.963017960916,381537766
C4601,16432,2110.062055669331,310722786
C4602,50869,2086.2830648484096,307794461
C4603,42184,2076.780521914974,304665894
C4604,9942,2083.3075150273567,305737930
C4605,13848,2118.1702951431707,311419836
C4606,10110,2180.7752315398184,331444968
C4607,57148,2162.4576656817744,328342224
C4608,14603,2181.4351673130604,331455078
C4609,23322,2160.0097994544826,328318902
C4610,9464,2121.1131854324162,311435926
C4611,621451,2135.433416289345,316944058
C4612,19251,2137.368298438905,317785810
C4613,42183,2174.1962878017166,330171228
C4614,17589,2175.401317393347,330213411
C4615,21914,2239.0064850954122,336839982
C4616,10341,2326.364498959701,353771316
C4617,22899,2306.872417373863,351935384
C4618,22593,2258.8223161830197,339557793
C4619,15805,2361.6357552312893,356004915
C4620,11013,2426.679616667416,365294660
C4621,22556,2626.5489502210685,379657202
C4622,35077,2657.545045487463,383547703
C4623,8989,2974.5669414634885,395956069
C4701,30238,2191.7774418739477,331611186
C4702,21635,2246.939599609406,337105987
C4703,14839,2327.7926661726815,353891179
C4704,11714,2473.089088502399,370110099
C4705,32492,2295.9754756026855,351573363
C4706,219250,2358.9439125960353,355785665
C4707,46982,2414.6841016545563,359522913
C4708,30720,2528.685374796415,372611269
C4709,36895,2418.7955637235646,361522162
C4710,19365,2440.959388905969,367502804
C4711,237629,2523.6645685886215,371741179
C4712,23697,2587.072138435888,376192099
C4713,24054,2654.048286476053,383426004
C4714,39476,2570.984471303172,374780473
C4715,80668,2658.590089027697,383601551
C4716,37663,2698.8093594962656,385694808
C4717,39587,2816.1113320879717,390314035
C4718,32029,3007.4903716108765,399510857
C4801,67402,2539.7594653891097,372916797
C4802,133913,2586.548231408916,375954393
C4803,37580,2626.243216251556,379619622
C4804,11300,2649.0232810798284,383042873
C4805,47606,2746.4288013195905,388248649
C4806,1021060,2777.918712183957,388843923
C4807,40407,2800.049870554435,390135343
C4808,153049,2866.814353037808,391279746
C4809,19573,2952.531375199993,394508761
C4810,83061,2865.2277909330696,391196685
C4811,975477,2962.346459700036,394669266
C4812,58362,2984.880573553883,399047967
C4813,63954,3053.073963297867,401092463
C4814,26871,3103.9797999826005,402086950
C4815,34068,2844.7312993558858,390857647
C4816,42971,3379.4188684237624,406050413
C4817,57508,3450.3303153807046,406222997
C4818,14346,3257.6773972525466,405599565
C4819,86299,3348.204464542098,405803138
C5901,56291,2791.9390333974575,389949350
C5903,57019,2868.7905281426174,391432795
C5905,31843,2886.987002800079,391682202
C5907,76635,2995.502434482218,399356123
C5909,237550,3102.3650974123198,401849400
C5915,1986965,3160.7542917871865,402702350
C5917,325754,3170.657292130768,404689315
C5919,71998,3194.9271029247698,405169617
C5921,127016,3240.158502912105,405443144
C5923,30345,3303.9716207941897,405729807
C5925,96131,3300.3032691589965,405633676
C5927,19765,3295.345793032879,405613911
C5929,25599,3231.714802286478,405379067
C5931,33011,3212.9743721524287,405288580
C5933,119222,3075.697278067032,401465178
C5935,147739,2989.7004076467747,399164824
C5937,73227,2971.804830395453,395730708
C5939,48219,3017.4530219267854,400185044
C5941,65659,3368.9872629359347,405889437
C5943,13111,3560.1755980997955,406284286
C5945,3781,3553.721483564422,406280505
C5947,21693,3926.321457333424,406883165
C5949,40876,3977.875222509428,406918928
C5951,40856,3637.509276388895,406382196
C5953,95317,3371.481528251907,405955096
C5955,55080,3624.252450109212,406327116
C5957,1316,4095.3150693477032,407031149
C5959,5720,3809.36552173654,406547920
C6001,28674,4664.268214836766,407103711
C6106,28824,3805.2579223554994,406519096
C6107,8536,4882.797409946889,407133193
C6204,14372,4455.55230608268,407089339
C6205,7557,3566.4099802099877,406297397
C6208,4816,4262.749349815721,407039149
M01001,643419,1264.5427632896221,106349010
M01002,37763,1219.6200415176165,95271819
M01003,51291,1293.7543135933113,116153423
M01004,12619,1221.491859171253,96512447
M01005,64097,1259.9366213213304,105163887
M01006,34296,1239.4368969934592,100225213
M01007,41655,1234.7566941044083,98944200
M01008,7244,1248.0809406160652,102231236
M01009,16508,1225.872752934268,97171122
M01010,15327,1240.4708233701003,100336570
M01011,20066,1245.1638334455013,101692109
M02001,370730,1958.5703381022745,287098707
M02002,764602,2003.2006453500112,293930942
M02003,77795,2113.0657881026314,311278821
M02004,1210820,2150.92806642734,325384756
M02005,63420,2152.5205912381234,326595576
M03001,63864,1813.0380883115954,267309886
M03002,45989,1778.5507541325264,263510560
M03003,196907,1734.2846346418248,259225777
M03008,105469,1742.8426584659787,260035186
M03009,11812,1740.1062980095628,260017617
M04001,46899,1234.70910701073,98897301
M04002,216897,1275.177106433618,109782235
M04003,172076,1372.9437522456135,161052859
M04004,70554,1321.7562871336365,127359639
M04005,24889,1252.5571808974541,103451983
M04006,31214,1307.9957787903625,121958388
M04007,8401,1410.8577734060948,178972227
M04008,8400,1263.9499078025476,106326800
M04009,50563,1401.759818676554,175123319
M04010,23115,1453.6365588685237,198104098
M04011,37681,1439.604382483721,191918063
M05001,1126,793.1234989130533,41061274
M05002,110487,651.2271535389663,34284004
M05003,20943,681.7302324181685,35745670
M05004,19374,867.5845167791948,48585462
M05005,1677,752.2329612266103,38456396
M05006,22530,817.9731664691484,45135299
M05007,12154,858.5858956937288,47915595
M05008,2784,788.8687557190697,40710755
M05009,46452,1032.6980124078477,66991884
M05010,66579,810.3718542556154,43590005
M05011,11316,918.7041591696616,53261279
M05012,2050,641.7986829393506,32816186
M05013,1441,627.5248132711773,31920167
M05014,9724,635.4041053900613,32497759
M05015,1610,709.5133063795676,36746935
M05016,1781,831.8219901392971,46564380
M05017,92029,1044.882077564126,68581606
M05018,193744,809.377173162038,43325491
M05019,7263,682.0266109973821,35766613
M05020,62773,762.8567586677331,38890887
M05021,5946,816.0172314993541,45063663
M05022,23019,670.7569933975825,35055883
M05023,12053,868.9697034260196,48746733
M05024,43339,967.7553484693798,59266055
M05025,128130,636.3677117436162,32507483
M05026,3608,741.6585731998446,37878754
M05027,39853,867.5789724208996,48545609
M05028,52379,729.8914338160923,37493749
M05029,2006,828.6239577994107,46494120
M05030,578046,879.5489825020775,49355965
M05031,20046,810.5721105336165,43680703
M05032,40138,741.830231705154,37885798
M05033,88343,1009.9546197446211,64915564
M05034,6023,985.3159805634132,61168274
M05035,529512,1061.239034550263,69176297
M05036,18969,1023.5751520021522,66555414
M05037,6159,676.3652232354416,35548149
M05038,12664,680.8153442935742,35718268
M06001,28574,1631.8590678515397,239948766
M06002,129958,1589.6218574412405,229906846
M06003,19384,1584.3036442494617,227323323
M06004,18756,1598.6156094383718,230982487
M06005,26771,1574.2801710597803,225639849
M06006,5478,1612.5367786082293,233689582
M06007,125143,1642.327582181978,241452760
M06008,8466,1595.8785179171227,230766063
M06009,99289,1628.9053177472567,239099871
M06010,80808,1587.8702012098913,229175871
M07001,14189,1724.9696338605806,255542650
M07002,24754,1588.9227452341263,229787205
M07003,25154,1731.2332342226753,259001093
M07004,21948,1578.8657630741095,226449616
M07005,18778,1498.3032602730382,210980371
M07006,26094,1721.1582623460254,255093744
M07007,6559,1596.3338311309292,230781313
M07008,21848,1665.6270213486184,248100709
M07009,37989,1617.4546754586788,234719328
M07010,6673,1718.3003325760485,254829930
M07011,18205,1702.959862670537,253297748
M07012,28719,1557.9551920631625,221337220
M07013,22722,1539.4958655269832,217130703
M07014,14993,1533.8808473748954,216558409
M07015,39033,1769.6232588038863,261952108
M07016,15709,1470.4266043822379,201930315
M07017,64013,1566.8506942410656,224108992
M07018,7217,1522.0160438317605,214126736
M07019,105210,1630.8224973448928,239710396
M07020,39770,1638.84400540703,241268189
M07021,19298,1525.6941820298155,214718211
M07022,12256,1546.1570672075047,218391000
M07023,59005,1564.5545798522696,223598150
M07024,7568,1584.2869997154426,227315755
M07025,6965,1499.1613148814597,211005231
M07026,27331,1553.5381219751407,220191869
