uid,population,distance,radiusPopulation
C1001,242875,4593.101362737387,407265678
C1002,24371,4488.582967120749,407173031
C1003,19370,4327.052254956995,407092440
C1004,22162,4208.941109301508,407020180
C1005,40466,4303.052876985743,407051974
C1006,36208,4369.036133587731,407111810
C1007,37335,4602.944859117405,407508553
C1008,42188,4555.2635674117555,407223490
C1009,20091,4439.513801569121,407152940
C1010,27864,4650.988713147632,407545888
C1101,19180,3915.7276274838932,406316682
C1102,71619,3864.5034957182743,405830379
C1103,44495,3807.050067646769,405670592
C1201,16231,3697.5323030930895,405187314
C1202,26843,3662.300843517529,405129482
C1203,19548,3661.0683117371486,405045726
C1204,11723,3728.720422794549,405256701
C1205,21773,3702.3467641785746,405234928
C1206,47591,3765.180957228146,405488922
C1207,58866,3754.440993479908,405295173
C1208,40513,3809.2042889081686,405715087
C1209,359183,3865.16662580026,405901998
C1210,49307,3853.1774724431543,405781072
C1211,32605,3792.5927778978835,405637987
C1212,46965,3905.4793858103712,406269717
C1213,9827,3970.958419524212,406628547
C1214,19578,3964.470644566638,406608969
C1215,19937,4026.8257047179477,406792857
C1216,10225,4060.613957752938,406826707
C1217,109330,4095.5912865026157,406908957
C1218,7962,4074.2065241038326,406886623
C1301,76407,3639.5078407558162,404906640
C1302,27366,3567.4039192180962,404671137
C1303,25776,3618.2783114550944,404876048
C1304,11862,3645.2918409559347,404983047
C1305,64208,3661.260105834437,405065274
C1306,26749,3739.998546120857,405268424
C1307,124688,3760.3904416592636,405364234
C1308,31383,3702.2228959679105,405203545
C1309,50817,3658.391045987158,404994909
C1310,87212,3567.5206158717347,404698503
C1311,27184,3532.8353766750915,404551680
C1312,21172,3543.3736108592025,404578864
C1313,35611,3475.8471608977875,404429182
C1314,36134,3604.201331747289,404824646
C1315,82929,3773.5548801802606,405536513
C2401,12824,3963.770625397425,406596145
C2402,19298,3816.979821207685,405755600
C2403,18545,3775.2614278254478,405619442
C2404,12722,3665.785009193936,405156325
C2405,18267,3696.3108356980715,405169047
C2406,15268,3608.042311678412,404860780
C2407,19920,3545.0216836045583,404600036
C2408,22507,3554.838741160652,404619956
C2409,19326,3507.9747099912374,404464793
C2410,52289,3471.3729242537256,404376893
C2411,9848,3431.9513909308816,404073169
C2412,31826,3393.5225217626653,403935316
C2413,22420,3435.521639534106,404083017
C2414,22494,3365.2176452863173,403912822
C2415,16624,3358.891169935391,403862582
C2416,13166,3318.0527337968965,403450532
C2417,19368,3322.723288630637,403639998
C2418,23438,3305.5554034546985,403083326
C2419,29570,3290.2825101565163,402758677
C2420,6779,3279.012676668534,402704025
C2421,20984,3258.0525631814753,401835429
C2422,26459,3229.0572415675438,398055160
C2423,509950,3251.401565791344,400602060
C2424,51855,3260.2186342203827,401856413
C2425,78808,3246.9344755069797,400484677
C2426,25850,3268.4608409539405,402402920
C2427,18771,3274.588939608911,402685254
C2428,17745,3308.302743147826,403106764
C2429,47873,3290.0673663277653,402710804
C2430,21830,3263.3594110330178,401908268
C2431,43247,3244.1568602039006,400441430
C2432,24021,3213.716614026556,397813653
C2433,26851,3196.7397998137308,395427998
C2434,44955,3200.922541456944,396243541
C2435,12809,3100.05487873868,388604838
C2436,64841,3129.4115385439877,392275727
C2437,138355,3158.2029885220268,393050365
C2438,19088,3154.6553926404795,392772189
C2439,64089,3180.7603518896135,394683316
C2440,14535,3185.5289448949684,395128246
C2441,21394,3224.064706668231,398000655
C2442,28176,3168.225032600639,394432185
C2443,141212,3174.843214226705,394460361
C2444,16595,3189.405113216519,395281398
C2445,41871,3158.828289106712,393188720
C2446,46165,3111.536110496399,391721294
C2447,79175,3119.6195542613864,392001085
C2448,15167,3138.0223601501307,392505158
C2449,87808,3141.81578185692,392543821
C2450,23496,3138.362666773345,392520325
C2451,23401,3116.222477846023,391838994
C2452,38347,3089.041599026781,387712503
C2453,50066,3106.114643713395,389564463
C2454,78917,3109.5774567894714,391186149
C2455,29980,3095.4154637417255,388574858
C2456,100753,3082.7771088645,387329324
C2457,119993,3085.800070048754,387576648
C2458,311838,3162.7852033461522,393260293
C2459,100263,3073.787629362091,387098976
C2460,103977,3070.75099628097,386903838
C2461,54167,3073.256380789098,387044809
C2462,43177,3040.156462155365,384931346
C2463,38740,3054.01693176338,386430964
C2464,110087,3055.6813788399845,386469704
C2465,343005,3043.1245370479855,384983358
C2466,1812723,3038.8704420321974,382988109
C2467,138172,3049.593127552002,385387405
C2468,22820,3052.1683471002602,386408144
C2469,21851,3006.9381073731547,375882847
C2470,59137,3026.5042636374615,381217485
C2471,102100,3000.9852777806095,371778226
C2472,81417,3031.488909552886,381339716
C2473,130514,3038.9974895797745,384800832
C2474,27330,3024.8042942461257,381060885
C2475,90419,3026.008349016509,381127066
C2476,28931,2995.4290260362427,371021422
C2477,30866,3015.475134780189,379667362
C2478,38433,2993.0475308798686,370374014
C2479,33456,2952.4635951121304,363848159
C2480,20367,2947.74941123228,363106908
C2481,226696,2890.880321972964,355807399
C2482,35188,2880.843387547412,353257133
C2483,18730,2874.26837856558,352264336
C2484,14565,2860.597475108583,348915283
C2485,17504,2677.059861815557,323509044
C2486,39621,2714.996738726772,327875886
C2487,21984,2731.451402715991,330698217
C2488,24613,2801.445432220884,341869444
C2489,42375,2889.2182681568556,355450236
C2490,15862,3086.0808205646017,387696641
C2491,32839,3125.9831304431214,392242888
C2492,26900,3214.859029225342,397837674
C2493,51760,3242.315305019272,399699863
C2494,166780,3320.7909489496515,403473218
C2495,12894,3419.514933744697,404060275
C2496,33620,3515.701314917035,404484119
C2497,38931,3595.150437180438,404785715
C2498,12321,3990.5472130393687,406638374
C2499,38575,3251.3058940543974,400563485
C3501,109522,2944.317880072964,362997386
C3502,76446,2936.496960615574,362323687
C3506,774072,2876.7999014491324,352345450
C3507,96606,2860.3550387404166,348818677
C3509,62495,2832.311073143777,344837698
C3510,138606,2809.6337207298807,342279469
C3511,39461,2763.806414813156,336224652
C3512,125915,2724.2164922283096,329199328
C3513,24901,2747.4551558182884,334258978
C3514,77497,2678.0940498810155,323526548
C3515,125856,2681.603799956913,323874904
C3516,69179,2625.8527293303546,316090310
C3518,506901,2613.30945468624,313411125
C3519,729254,2571.2960961656577,304402138
C3520,2481494,2580.3698666137334,305913995
C3521,988948,2541.1094624841558,298146147
C3522,51013,2515.85765602982,294263939
C3523,187313,2493.5006348933593,289356317
C3524,375229,2531.220271408677,296459756
C3525,490268,2527.944555120924,295871135
C3526,410574,2570.846771398348,303696978
C3528,104670,2477.45348560477,287643154
C3529,118485,2485.7831984935847,288663203
C3530,438515,2478.946775974574,287904962
C3531,73675,2435.6818017114747,282192888
C3532,99270,2458.306659363532,284826620
C3534,81553,2429.14651945506,281046617
C3536,107709,2335.8730770659567,270732290
C3537,374975,2275.776480481163,264048288
C3538,126971,2350.216349177494,272726405
C3539,403185,2397.4618618627,278897940
C3540,59701,2389.1252081097973,278118143
C3541,63892,2435.839643565525,282266563
C3542,89073,2489.3401839335265,288953346
C3543,377050,2552.0725047591645,300521435
C3544,53106,2605.187935173727,311820004
C3546,15085,2665.7400314257698,321244474
C3547,95138,2781.199613390341,338670058
C3548,82910,2657.4839594998625,319978220
C3549,39665,2579.7381114897635,305828398
C3551,12679,2403.835514053875,279586399
C3552,22894,2489.865121579396,289056337
C3553,155268,2514.4568960439515,294013760
C3554,34442,2608.9620609477743,312219973
C3556,85247,2544.142996274027,299353112
C3557,118567,2289.5980731580607,266525930
C3558,150860,2181.4164278528524,244447670
C3559,22109,1871.247017058349,165985222
C3560,61802,2484.641973145158,288537730
C4601,16432,1780.8735254224418,146667794
C4602,50869,1709.72276826963,138147754
C4603,42184,1659.006503145304,130552064
C4604,9942,1602.6193791384926,123508228
C4605,13848,1557.5607068937816,115786507
C4606,10110,1589.0113050195264,120342894
C4607,57148,1620.5499333349976,124924119
C4608,14603,1688.4039068003149,135317559
