uid,population,distance,radiusPopulation
C1001,242875,2021.5263824423616,222559057
C1002,24371,1942.5736195443508,217663387
C1003,19370,1820.5706351685676,212630696
C1004,22162,1752.2222606540017,209494991
C1005,40466,1864.5373453109912,213766824
C1006,36208,1906.5150370807742,215442230
C1007,37335,2127.19288330597,231037901
C1008,42188,2055.9845561805837,229147607
C1009,20091,2105.2863366466286,230825417
C1010,27864,2105.096257323459,230797553
C1101,19180,1367.2929645712845,179921094
C1102,71619,1330.749061119521,176240842
C1103,44495,1311.0767322873887,175380807
C1201,16231,1038.7432336729714,147154321
C1202,26843,1012.0355494594654,139683970
C1203,19548,1034.1651413277284,146812400
C1204,11723,1085.314276124095,152169280
C1205,21773,1102.4579377466362,154298027
C1206,47591,1138.7337710371964,157433652
C1207,58866,1155.6422381752711,159028543
C1208,40513,1208.7496402916554,164970955
C1209,359183,1244.433962879982,168704732
C1210,49307,1265.6071767921148,170850055
C1211,32605,1229.9677146613888,166783297
C1212,46965,1319.90314732264,175729264
C1213,9827,1362.4605976303185,178821550
C1214,19578,1370.1822992361065,180020627
C1215,19937,1465.5220294729963,187023863
C1216,10225,1464.7731850376497,186944373
C1217,109330,1520.1778753265926,191865282
C1218,7962,1526.8957163617383,192837505
C1301,76407,1077.470525678163,151756951
C1302,27366,996.5746725186854,138244533
C1303,25776,1108.0321601642634,155019849
C1304,11862,1119.0364823497168,156178381
C1305,64208,1119.9761957816534,156190243
C1306,26749,1191.1522025008505,162574732
C1307,124688,1219.362300287112,165659354
C1308,31383,1206.1746632289496,164699512
C1309,50817,1205.6354270580584,164615048
C1310,87212,1086.5753529554866,152298945
C1311,27184,1075.3701059779314,151621756
C1312,21172,1124.8325885868394,156686709
C1313,35611,1121.4931817097565,156254451
C1314,36134,1230.36375765322,166831734
C1315,82929,1361.4276952494567,178631501
C2401,12824,1475.643285930599,187142532
C2402,19298,1432.2488332538553,183825181
C2403,18545,1437.7041051434035,184999174
C2404,12722,1383.2307087983038,181289764
C2405,18267,1314.4762133897245,175528811
C2406,15268,1262.1349539623207,170583273
C2407,19920,1235.2704961165007,166974118
C2408,22507,1285.8774335039545,173055218
C2409,19326,1243.1968149423737,167622726
C2410,52289,1202.0191959891292,163607568
C2411,9848,1154.2912506310734,158847993
C2412,31826,1111.05315026208,155160331
C2413,22420,1116.9379843810027,155950091
C2414,22494,1072.6571039879311,151373180
C2415,16624,1084.4756921477367,152127899
C2416,13166,1042.1615696269744,147203789
C2417,19368,1009.8391707289131,139619773
C2418,23438,990.2619518728277,137140192
C2419,29570,960.3433987666616,134598395
C2420,6779,976.3192436008579,135980817
C2421,20984,1008.9244202808258,139391890
C2422,26459,960.8986920559408,134670176
C2423,509950,948.6847779204228,132372759
C2424,51855,947.6881764219922,132297265
C2425,78808,937.0160461285273,131154985
C2426,25850,922.3016952622157,129220935
C2427,18771,909.107736023189,128097650
C2428,17745,930.3495221392691,129832055
C2429,47873,895.5724841823474,125844608
C2430,21830,843.7876838525791,120813959
C2431,43247,881.9828590644864,124981464
C2432,24021,874.334090335986,123995418
C2433,26851,907.833198402925,127484820
C2434,44955,917.395636211322,128864024
C2435,12809,923.2056366732741,129283484
C2436,64841,881.8101298556943,124916623
C2437,138355,881.769592400434,124778268
C2438,19088,865.7738605997488,122187991
C2439,64089,836.151188938866,119525531
C2440,14535,822.4166660856233,118110496
