uid,population,distance,radiusPopulation
M20152,2064,1836.440256256739,301162182
M20153,3959,1941.9738729203457,318003770
M20154,1938,1898.8859202053359,311634684
M20155,849,1893.4715574831794,311417734
M20156,3294,1781.6389938615978,285008474
M20157,8343,1824.7889893331526,298968951
M20158,2355,1906.208791040707,312140257
M20159,5227,1920.8712371792903,314927946
M20160,1895,1786.595498950788,285682624
M20161,2717,1805.1345328869177,295180718
M20162,1529,1861.3269535348247,304946887
M20163,1702,1716.4272642574924,263492951
M20164,3353,1812.4199721092816,297008000
M20165,1271,1777.5374743617992,282075973
M20166,9867,1716.877713011972,263631832
M20167,1892,1901.1419177023804,311725665
M20168,916,1952.3949037788905,319463954
M20169,4538,1700.1081296746154,259394941
M20170,3151,1889.8137946434829,311180059
M20171,19969,1711.864129979181,261013233
M20172,531,1823.202595735472,298344436
M20173,1572,1783.244304881522,285220111
M20174,2887,1835.0396533338399,300551370
M20175,1775,1781.0043919959815,284991275
M20176,3223,1776.9988171343562,282056911
M20177,9298,1756.892543837402,273915260
M20178,3499,1811.8556648487145,296794618
M20179,1236,1792.3895391704025,288110991
M20180,2286,1940.7342848518758,317494917
M20181,442,1762.8917660834484,274920158
M20182,2242,1738.5464197398169,268463390
M20183,1511,1825.0286698520235,299006833
M20184,133913,1700.610937335568,259501916
M20185,7514,1922.9365154644527,315590662
M20186,666,1798.8773462063475,291907820
M20187,2479,1724.0349995713868,264862639
M20188,8656,1931.692255849568,316954327
M20189,2338,1776.8408602800591,281992793
M20190,21679,1790.5727341030156,287968067
M20191,374,1796.821164853892,289047549
M20192,1338,1850.9863749663286,303870652
M20193,2285,1807.6467748196103,295525396
M20194,1350,1830.7738582026293,300141454
M20195,1468,1825.329943194073,299035249
M20196,422,1785.3954053043708,285651051
M20197,2914,1833.9078706350144,300464310
M20198,27399,1796.1413400042793,288488974
M20199,849,1810.789901225916,296706119
M20200,3588,1818.6967513596753,297708845
M20201,1830,1784.129021463779,285282419
M20202,4302,1936.2927423460246,317412377
M20203,3198,1872.8543679162863,306548509
M20204,675,1864.9566242751273,305426580
M20205,16775,1759.9154412175528,274112694
M20206,2466,1734.0136909148289,267186280
M20207,17090,1796.4589288812642,288910277
M20208,9543,1838.7718023640027,301391178
M20209,932,1899.761923396353,311666167
M20210,6750,1824.7430267527898,298962201
M20211,3125,1914.2861637084945,312760361
M20212,2551,1764.4996270306156,275051579
M20213,3889,1927.196343260946,315956700
M20214,2486,1766.150415284336,275969326
M20215,665,1804.3420636935655,295066695
M20216,1150,1786.8022030018524,285685056
M20217,3454,1833.2172220430598,300454747
M20218,572,1846.228029716006,303370773
M20219,2817,1838.362145794097,301360401
M20220,2974,1761.0246664219633,274187592
M20221,1448,1798.6951440061937,290257921
M20222,1605,1775.5232468828033,280919674
M20223,496,1775.417630717419,280898136
M20224,720,1797.5381304161638,289174374
M20225,5380,1935.9321055110438,317406997
M20226,2587,1830.4984203946838,300109560
M20227,9965,1822.979728106366,298322082
M20228,737,1712.1376932519465,261553261
M20229,5676,1893.488958091998,311418583
M20230,1202,1811.653606502785,296758733
M20231,3144,1812.3443430027223,297004856
M20232,20118,1711.4418123583712,260968982
M20233,1941,1837.6666005716659,301276153
M20234,7227,1719.4723965780647,264234363
M20235,3618,1893.079192231177,311412610
M20236,1741,1922.9467195435766,315598176
M20237,2303,1796.558371816268,288960188
M20238,757,1871.065467225829,306381612
M20239,1078,1820.9498015714476,297866519
M20240,2614,1848.654987103818,303448689
M20241,1200,1879.5468612767331,307568249
M20242,8877,1848.236959725063,303436777
M20243,1776,1848.5086722444503,303445654
M20244,3254,1728.2936134413267,266023403
M20245,1370,1794.9652325433326,288326419
M20246,642,1802.1180413181949,293449683
M20247,1391,1793.397557525916,288307090
M20248,10657,1875.782033999697,306768002
M20249,2913,1717.5480364642638,263785442
M20250,1108,1807.8094172492595,295527681
M20251,1150,1824.4518262351412,298900248
M20252,1838,1844.5203303154465,303246089
M20253,4148,1930.610706825079,316915618
M20254,3495,1918.2365090518106,314043729
M20255,1945,1854.0294597194252,304244075
M20256,250,1771.738899283601,279030439
M20257,1122,1791.094206053083,288015782
M20258,880,1826.7682558273682,299155087
M20259,2261,1818.899172944918,297717511
M20260,2621,1789.5692968373164,287851076
M20261,6143,1784.8647251436341,285572626
M20262,1089,1797.0992412171115,289083591
M20263,3134,1919.4714907255857,314113256
M20264,2276,1781.8710436677309,285016296
M20265,5947,1816.1293152333544,297434819
M20266,8584,1934.5739581629164,317361081
M20267,307,1795.4208633943952,288358878
M20268,884,1879.6781666968498,307569449
M20269,3635,1858.49710948325,304641734
M20270,1703,1769.1179960783913,276271200
M20271,2097,1865.233920385704,305430274
M20272,6705,1933.4717105999662,317203983
M20273,3205,1849.844066363367,303570217
M20274,1193,1851.026043994505,303880634
M20275,5332,1810.5586433963254,296699337
M20276,874,1738.7362730015645,268469271
M20277,12668,1893.7872052757434,311429843
M20278,36036,1692.2245840190385,257454060
M20279,2617,1924.1355980009105,315675737
M20280,2673,1781.7619080978925,285011768
M20281,268,1809.94777279105,295733373
M20282,821,1883.0788973444705,309352128
M20283,1038,1769.3455451295317,276295207
M20284,3160,1853.4974256757391,304131910
M20285,3115,1940.2675421854672,317487572
M20286,3525,1829.6175767759662,299779975
M20287,432,1778.2409562006615,282079992
M20288,601,1783.5379646177555,285228394
M20289,1131,1896.8675221476963,311552754
M20290,991,1800.6815108809192,292457729
M20291,4069,1919.1818081751933,314109187
M20292,1294,1841.3720422859756,301989506
M20293,7103,1820.0375921750879,297822891
M20294,5071,1809.7932276846284,295723780
M20295,8470,1855.1227751627328,304336159
M20296,1135,1772.1977607072874,279098784
M20297,2489,1857.3244569568699,304602219
M20298,10477,1832.1068237023665,300386925
M20299,1074,1804.3971614919271,295068760
M20300,5334,1916.3566956841235,313113441
M20301,1471,1862.5768541636435,305193822
M20302,3765,1929.835334663258,316863273
M20303,1204,1802.8846263530656,294961442
M20304,1050,1812.1196748947516,297003806
M20305,3634,1848.9225371481914,303456084
M20306,4735,1930.515696278788,316910883
M20307,9862,1910.890049413275,312417059
M20308,2588,1875.5682214381684,306765414
M20309,10854,1705.898478738591,260304157
M20310,3604,1830.4834125217471,300104928
M20311,677,1770.9564055154071,278874142
M20312,1298,1934.627576913821,317369665
M20313,1010,1764.0066898938444,275042765
M20314,1548,1915.7164164539483,312936540
M20315,1903,1861.4100911981618,304948416
M20316,821,1883.5258867871146,310291486
M20317,1555,1817.7931595006992,297626715
M20318,32471,1953.6882803868373,319551819
M20319,1312,1899.8960865161068,311667099
M20320,653,1850.019086399747,303573422
M20321,926,1776.126963554179,281853972
M20322,877,1714.4021415466295,262628365
M20323,1780,1814.7208677157882,297236297
M20324,36982,1961.4732796945211,320095057
M20325,9570,1838.4672756302934,301369542
M20326,4535,1744.3329004130578,270756923
M20327,13377,1844.2100587942105,303206337
M20328,1052,1867.76869305146,305599794
M20329,1428,1850.4189777885047,303574075
M20330,4173,1729.9841586009886,266358935
M20331,850,1819.177172097318,297723014
M20332,420,1807.9833746729885,295627679
M20333,2684,1857.7282674311627,304604708
M20334,42645,1954.7630918911698,319621284
M20335,991,1778.6981774660258,282169492
M20336,2546,1766.489420902063,276055593
M20337,5504,1813.2146681364206,297083059
M20338,7819,1814.5516326234713,297225726
M20339,3486,1805.0953880482007,295150236
M20340,2061,1755.8296669619913,273826114
M20341,246,1799.6685199355998,291915591
M20342,1584,1838.4171598840437,301367958
M20343,2029,1831.034191617285,300296186
M20344,2366,1922.7645681611214,315588296
M20345,3722,1929.9707149626179,316868106
M20346,1633,1811.381320622284,296740428
M20347,3288,1914.3978852958487,312763486
M20348,8671,1841.8762242069427,302036241
M20349,2062,1836.392716403865,301160120
M20350,15690,1826.4119485618637,299050046
M20351,2470,1897.7004214482456,311565728
M20352,2225,1790.6385116422066,287997314
M20353,1867,1904.7361199564186,311865097
M20354,524,1711.5750754816615,260989100
M20355,864,1731.8319388767954,266870217
M20356,2140,1827.4615537566015,299518421
M20357,993,1848.7805841570423,303451303
M20358,1990,1865.186634743063,305428284
M20359,1149,1788.547771002641,287472396
M20360,3415,1851.9827855423264,303983334
M20361,977,1894.1097311003466,311445792
M20362,1545,1905.7518966248042,311891128
M20363,2532,1801.1257187136257,292546464
M20364,14036,1933.2041591719117,317163176
M20365,1542,1798.2215588003419,290200417
M20366,4440,1934.9469395598935,317393458
M20367,4230,1940.6573760745825,317490687
M20368,1604,1854.7351858222892,304308833
M20369,1758,1847.7011728145444,303433844
M20370,725,1824.8401686488394,298977294
M20371,858,1852.9982543100264,304108451
M20372,1848,1862.7175766646897,305196230
M20373,573,1751.001714678085,271671126
M20374,1263,1715.5442018730057,263009555
M20375,6457,1826.893766946805,299155967
M20376,410,1824.6521741801923,298908175
M20377,10688,1878.0941463100341,306992946
M20378,3311,1861.313148656155,304943576
M20379,2672,1848.8645650919104,303452296
M20380,1833,1834.914667090379,300549537
M20381,2625,1796.3905907619392,288570503
M20382,1158,1867.6636144851027,305593556
M20383,567,1824.089536918844,298871335
M20384,4061,1904.784632738371,311866964
M20385,52806,1831.807979859793,300317699
M20386,15054,1908.3307577085645,312353227
M20387,3549,1859.6715905139722,304785702
M20388,2212,1846.8172158680566,303418746
M20389,1177,1856.0409137114566,304409795
