uid,movement
M07101,1
U37153,1
U37151,2
U37157,2
U37155,2
U37159,2
U37141,1
U37145,1
U37147,3
U17043,7
U37131,1
M15057,1
M15058,2
U37139,1
U37135,2
U37133,3
U37119,9
U41051,1
U37127,2
U37129,2
U37125,1
U37193,1
U47037,4
U37191,2
U17019,1
U37197,1
U37195,2
U21195,1
C2410,1
U21199,1
U47019,1
C2419,1
U37189,1
U37181,1
U37183,12
U47009,1
C2424,1
C2423,10
C2422,1
C2426,1
C2425,2
C2429,1
U37179,2
U17031,45
U47011,1
U17037,1
U37171,1
C2431,1
C2430,1
C2433,1
C2432,1
C2434,1
C2437,3
C2436,1
C2439,2
U37167,1
U37169,1
U37163,1
U47001,1
U37165,1
U37161,1
U48121,1
U12033,1
U12031,5
C2447,3
C2449,2
C2443,5
C2444,1
C2445,2
C2446,2
C2441,1
C2442,1
C2460,3
U13215,1
U48113,7
C2458,7
C2459,3
C2456,4
C2457,4
C2454,2
U21151,1
C2455,1
C2452,1
C2453,1
C2450,1
C2451,1
U13223,1
C2471,4
C2470,3
U12053,1
U06111,1
U12057,5
C2469,1
C2461,1
C2462,1
C2463,1
C2464,3
C2465,12
C2466,65
C2467,6
C2468,1
C2482,1
U12061,1
C2481,7
C2480,1
U12069,1
C2474,1
C2475,3
C2472,3
C2473,4
C2478,1
C2479,1
C2476,1
C2477,1
U13247,1
U13245,2
C2493,1
C2489,1
C2486,1
U12005,1
U12001,1
U21111,7
C2494,2
U12011,7
U12015,1
U21117,2
U12009,2
U12021,1
U21125,1
U12017,1
U12019,1
U32003,2
U51800,2
U06081,1
U51009,1
U51001,2
U51003,3
U06085,2
U06071,2
U06077,1
U06073,3
U06075,1
U12086,9
U12081,1
U48157,1
U12085,1
U12083,1
U29071,1
U29077,1
U19163,1
U48167,1
U12071,2
U12073,1
U19153,2
U48141,2
U29095,3
U12097,1
U29099,1
U12099,5
U12095,5
U12091,1
U51073,2
M11020,2
U51075,1
U47065,2
U47063,1
U51069,3
U51067,1
U51061,3
U51065,1
M11017,1
U47073,1
U51057,1
U51059,57
U51099,1
U51095,2
U51093,1
U28033,1
U51089,1
U51085,4
U47059,1
U51087,11
U28049,1
U51083,1
U28047,1
U51079,1
U37107,1
U37105,1
U37101,2
U28059,1
U51033,1
U51031,1
U51023,1
U51830,1
U37117,1
U37111,1
M15039,1
U51013,12
U51840,1
U51015,2
U51019,1
U37109,1
U51053,1
U51810,17
M15031,1
M15033,3
U51047,2
U47093,4
U51041,10
U51043,1
M15013,1
U51820,1
U51035,1
U34041,54
U34039,911
U34033,11
U34031,64445
U34037,106
U34035,210
U12103,4
U12101,2
U34029,165
U34025,335
U34027,497
U34021,175
U34023,495
M09002,1
M09003,1
M09005,2
M01001,1
U34017,3085
U34019,63
U34015,50
U34013,5265
U34011,23
M09007,3
M09006,1
U54003,4
M09015,1
M09016,1
M09013,1
M09014,1
U34009,14
M09012,1
U34007,110
M09010,1
M09017,1
U24510,58
C1001,1
U42077,93
U40027,1
U42079,67
U42073,3
U19103,1
U42075,17
U42071,69
U42069,51
U42089,65
U42087,4
U42085,4
U19113,1
U42083,2
U06001,1
U42081,14
U13113,1
U13115,1
U06013,1
U42095,122
U42097,13
U42099,4
U06019,1
U42091,213
U42093,3
U06029,1
U06037,10
U42033,5
U42035,3
U11001,36
U42031,2
U42029,74
U12127,2
U42025,17
U42027,10
U34001,47
U13139,1
U34005,130
U13153,1
U42045,111
U42043,31
U42041,19
U13151,1
