uid,movement
29510,1
21083,1
21145,1
47095,3
47097,19
47075,1
47069,1
47053,1
47047,1
47045,10
47037,1
47033,1
17163,1
47113,2
47131,1
47183,1
47157,88
47167,18
17077,1
29207,14
29201,2
29223,3
29023,47
29031,2
29035,3
28033,3
29091,1
29099,1
29069,163
29077,1
28093,1
29149,5
29143,11
29155,19
29181,18
29189,3
29187,1
05063,14
05065,1
05067,14
05075,53
05045,1
05049,3
05021,988
05023,1
05031,1254
05037,12
05035,15
05005,1
05085,1
05093,112
05119,3
05111,40
05123,1
05121,65
05135,15
05145,2
05147,2
