uid,movement
01059,2.5253114816804426E-6
01057,5.62413139884418E-7
01051,5.769254347556286E-7
01055,8.760918612095004E-6
01053,1.0645341269473145E-7
01045,1.7217000048962344E-7
16009,1.1640853148932798E-9
01047,2.8939983369151205E-7
01049,1.0313569275186435E-5
16005,1.0546338299033985E-8
16007,9.143577884553854E-10
16001,3.948129356270061E-8
29510,2.7396444127903564E-6
16003,4.546838612162975E-10
01041,5.847005907130391E-8
01043,6.860063343406542E-6
01079,4.37262039613487E-6
01077,1.5808332799342986E-5
01075,4.1547309890905864E-7
01073,2.593980650742702E-5
01071,2.371675228616897E-5
01067,5.829163363977675E-8
01069,2.526136162217663E-7
01063,8.316126384174984E-8
01065,1.4789804296568152E-7
01061,7.223590976675956E-8
19101,1.704508141636619E-8
19103,1.0042119749998832E-7
19105,1.7199958650674102E-8
01095,1.0492620931052762E-5
01093,1.9033833254896838E-6
01099,8.795057814238085E-8
01097,6.278562876539604E-7
19107,1.003900286197244E-8
19109,6.542026844217715E-9
01091,1.147593423910913E-7
19113,1.505235279777587E-7
19111,6.03376752417465E-8
19117,6.730257814115632E-9
19115,1.5819191389171652E-8
01089,1.1059230559081548E-4
01081,9.643029905835166E-7
01083,2.308248364753335E-5
01085,7.846360535025077E-8
01087,1.754262702456215E-7
19119,2.957385835028076E-9
21073,5.8889817904310314E-6
21075,5.905787273442064E-7
21071,1.285512264648882E-6
55021,3.437360470132784E-8
32019,4.145550494021704E-9
19141,4.579762908652557E-9
19145,8.45538525234049E-9
32013,2.0405692354544904E-9
55023,1.0056286344081712E-8
19143,2.039619356920345E-9
32011,2.1694058090381132E-10
55025,3.265632068706757E-7
19149,7.343228785027808E-9
21077,5.183423495336693E-7
32017,5.563263847184171E-10
55027,6.107575267193668E-8
19147,3.67795576362938E-9
21079,4.687967260469887E-6
32015,7.460274807317875E-10
55029,1.2613576812633442E-8
21063,2.0213417777359303E-7
21061,3.0948150164536414E-5
55031,9.06143841381282E-9
32029,3.7521405652337403E-10
19151,3.454801579256809E-9
19153,2.1708342863341127E-7
32021,6.248606088808974E-10
55035,3.5531368314655085E-8
19155,3.890963424013205E-8
21069,6.615797124635426E-7
32023,4.256285524422548E-9
55033,1.3038243061965761E-8
19157,1.3605581055660214E-8
21067,2.978723947692098E-5
55039,6.20022892065321E-8
19159,3.2936385260684433E-9
21065,1.5887788788302303E-6
32027,8.280611690574758E-10
55037,1.6456390771298195E-9
32031,3.74256610269847E-8
21051,3.0612348970239366E-6
21053,2.527921951954883E-5
19129,6.5577365342428226E-9
55009,1.147679715183209E-7
19127,2.348002519939655E-8
21055,2.716864719129144E-6
55005,1.3279373066044513E-8
19125,2.2471146433040727E-8
21057,2.71363627949778E-5
55007,3.150483127688492E-9
19123,1.7941166206612976E-8
21059,5.57597116044462E-5
55001,9.875854432074908E-9
19121,8.0172605041207E-9
32033,1.2263925475454227E-9
55003,3.725984172496111E-9
21041,7.889974838896388E-7
19131,4.992721090183092E-9
55019,1.3899696351113227E-8
21045,1.493223593533714E-5
55017,1.8520468621623E-8
19137,5.724903899386086E-9
21043,5.395467855489339E-7
55015,2.3274215888880613E-8
19139,4.534944802212307E-8
21049,3.225735701415948E-6
55013,3.5678545067323006E-9
19133,3.483943573161617E-9
21047,9.448149958931723E-5
55011,5.65886413832654E-9
19135,6.557185328080235E-9
01011,6.546987758363076E-8
19189,4.713435099415569E-9
19187,1.8303465427302858E-8
01013,9.164044476331025E-8
19181,2.5316453154884255E-8
01015,7.0657307441083614E-6
01017,4.0920232776032325E-7
19185,5.250743500040832E-9
01019,1.9887729418175138E-6
19183,2.1004780988871573E-8
01009,3.910753435618637E-6
19191,1.0821760303147092E-8
01003,2.328140474392908E-7
19193,3.290125486185535E-8
01001,3.594437663278847E-7
19195,3.4875652621027876E-9
01007,2.401210383717061E-7
19197,6.576768331836748E-9
01005,1.3109770136677535E-7
01031,1.5253547556975773E-7
01033,5.806218648152214E-6
21091,4.965860814074281E-6
21093,9.836913313716416E-5
21095,2.667204655046919E-6
21097,1.2863420740166698E-6
21099,3.9179253504554193E-5
19169,4.3137524432175644E-8
19167,8.522010925788421E-9
19165,5.8034773259928395E-9
01039,1.2370188296167248E-7
19163,2.0223463000471836E-7
19161,4.493795747534179E-9
01035,4.8930707324557964E-8
01037,1.427886206100437E-7
01021,4.329040323817333E-7
21081,1.4903069638374681E-6
21085,3.7909975495187976E-5
21083,4.993621662014897E-6
21089,5.336983253212135E-7
32003,1.820813769236445E-7
21087,2.1682089517955115E-5
32005,4.541736798370562E-9
19177,9.975155825103206E-9
19179,3.2796912753816625E-8
32001,2.9674403265725414E-9
19173,3.8027670714851235E-9
01029,7.514975371473048E-7
19175,7.106184741859847E-9
01027,2.8539878799134316E-7
01025,1.0108003573800195E-7
32007,6.030712970127989E-9
19171,1.1756777082136175E-8
01023,6.474257713520852E-8
32009,1.2321895216848005E-10
21107,3.823436136903842E-5
21109,2.1118166818360174E-6
21101,1.3492619443780394E-5
21103,1.5022747392862547E-6
21105,4.902015281644291E-7
21119,9.614523040194163E-7
21117,6.479833007034619E-6
21111,1.5247630129698207E-4
25025,1.1307445945352003E-7
21115,6.307794721854173E-7
25027,1.3307584722979286E-7
21113,6.411940263330871E-6
25021,1.0807923409110154E-7
25023,7.68329349270872E-8
19093,2.758543842628462E-9
19091,4.446595838766985E-9
19097,1.8557285830941085E-8
19095,1.2791288108648093E-8
25017,2.4606035030351474E-7
19099,2.4154898966046116E-8
25015,2.7632937589272778E-8
25019,1.5210399822007943E-9
25013,8.313424116626704E-8
25011,1.2842565319486608E-8
19081,5.324773713485116E-9
19083,9.802062210298816E-9
19085,6.0357384017756065E-9
19087,2.707050886058495E-8
25003,2.5710636704094262E-8
19089,4.8051846716565165E-9
25005,9.118815370898908E-8
25007,2.470442318697843E-9
25009,1.162302637398599E-7
25001,3.540571600637838E-8
21143,3.0016433690759004E-6
21145,7.10957067092835E-6
21147,1.5757112528045338E-5
21149,8.014673430329465E-6
21141,9.398288262457523E-5
21155,1.739087915818948E-5
21153,6.198237516300414E-7
21159,2.226983946255198E-7
21157,8.791119278329678E-6
21151,1.0259357933330793E-5
21125,1.6945401169852737E-5
21127,2.7904799154243245E-7
21121,5.8228321594631464E-6
21123,1.6703286445342386E-5
21129,7.363453461521043E-7
21137,1.2323881617133657E-5
21135,3.3538163486469615E-7
21133,1.3901225751661227E-6
21131,1.1120992062542634E-6
21139,1.59839231258417E-6
26165,1.6672633671105235E-8
26163,2.548809905289288E-6
16083,8.589725647400944E-9
26161,4.527827065569046E-7
16081,8.520431566254575E-10
16087,1.2678346789135007E-9
16085,1.0054684600150365E-9
26155,6.507451035607558E-8
26157,3.9923256899226656E-8
16071,5.753070760589122E-10
26151,2.8816693823460375E-8
16073,1.3986894848590703E-9
26153,2.859655347122736E-9
16075,2.649889328771871E-9
16077,1.050300876727545E-9
16079,1.7501339374705088E-9
26159,1.2603413575109311E-7
26141,5.230251650535936E-9
16061,4.760504253860082E-10
26145,1.6237933428385323E-7
26143,1.3550125636914397E-8
16069,4.752063118446031E-9
16067,2.7036567474108336E-9
16065,3.851703356373929E-9
16063,5.407415918150922E-10
26149,1.558601259009027E-7
26147,1.3100504645626868E-7
16051,2.669934770462665E-9
26131,1.6037363522023239E-9
26133,1.4187866806378102E-8
26135,4.5546954551840466E-9
16057,4.436329726752163E-9
16059,1.0434364582326004E-9
16053,2.452070101674202E-9
16055,1.378569988778069E-8
26137,1.05071426834301E-8
26139,2.431630299174029E-7
16043,1.6576671430154106E-9
16041,1.5919059067698532E-9
16047,1.890559704893395E-9
16045,1.985932799234128E-9
26123,3.499006791479361E-8
26121,1.444053909309326E-7
26129,1.1302578042333E-8
26127,1.9163773178214752E-8
26125,1.1813800142213364E-6
16049,2.037988895491041E-9
16031,2.8714726424180652E-9
16033,1.424048491232099E-10
16035,1.1683153432767909E-9
16037,5.803554831265082E-10
26111,5.7230474126979565E-8
26113,7.854307785567512E-9
26119,4.623463609473711E-9
26115,2.401032187306036E-7
26117,5.11537729156515E-8
16039,3.832275002212786E-9
16025,1.3232823340495682E-10
16023,3.8908073412924685E-10
16021,1.2215944353862426E-9
26101,1.3388488568747079E-8
26105,1.749478903096726E-8
26103,1.6620620145022994E-8
26109,9.647307554877429E-9
26107,2.895318414382676E-8
16029,1.036494230660421E-9
16027,1.7183513400908516E-8
16013,2.5399697066667335E-9
16015,8.766021826213518E-10
16011,5.819122869824593E-9
16017,4.6678874560448735E-9
16019,1.1579023904743356E-8
36105,1.9040254258350047E-8
36103,2.7453156310722814E-7
36109,3.1169584434575204E-8
36107,1.7028053533953856E-8
36101,4.159750631437626E-8
36117,2.8211424339214838E-8
36119,1.9872909366223145E-7
36113,1.1592690190114851E-8
36115,1.1094337791401754E-8
36111,3.849978054119218E-8
36123,8.855570426836648E-9
36121,1.945254819010783E-8
24035,1.976081687776198E-8
24037,4.9233960376227296E-8
24039,1.2122205117309855E-8
24031,5.48267682519419E-7
24033,4.721820476834763E-7
24047,2.0670357977599864E-8
24041,1.685545056373774E-8
24045,3.937618461702444E-8
24043,9.263837419197423E-8
