uid,region,name,population,latitude,longitude
01001,Alabama,Autauga,43671,32.5364,-86.6445
01003,Alabama,Baldwin,140415,30.6592,-87.7461
01005,Alabama,Barbour,29038,31.8707,-85.4055
01007,Alabama,Bibb,20826,33.0159,-87.1271
01009,Alabama,Blount,51024,33.9774,-86.5672
01011,Alabama,Bullock,11714,32.1018,-85.7173
01013,Alabama,Butler,21399,31.7517,-86.682
01015,Alabama,Calhoun,112249,33.7717,-85.8225
01017,Alabama,Chambers,36583,32.9179,-85.3918
01019,Alabama,Cherokee,23988,34.0695,-85.6542
01021,Alabama,Chilton,39593,32.8541,-86.7266
01023,Alabama,Choctaw,15922,31.991,-88.2489
01025,Alabama,Clarke,27867,31.6855,-87.8186
01027,Alabama,Clay,14254,33.2678,-85.8621
01029,Alabama,Cleburne,14123,33.672,-85.5161
01031,Alabama,Coffee,43615,31.4022,-85.9892
01033,Alabama,Colbert,54984,34.7031,-87.8015
01035,Alabama,Conecuh,14089,31.4283,-86.992
01037,Alabama,Coosa,12202,32.9314,-86.2435
01039,Alabama,Covington,37631,31.244,-86.4487
01041,Alabama,Crenshaw,13665,31.7328,-86.3192
01043,Alabama,Cullman,77483,34.1319,-86.8693
01045,Alabama,Dale,49129,31.4307,-85.6095
01047,Alabama,Dallas,46365,32.3335,-87.1144
01049,Alabama,De Kalb,64452,34.4609,-85.804
01051,Alabama,Elmore,65874,32.5972,-86.1427
01053,Alabama,Escambia,38440,31.1217,-87.1684
01055,Alabama,Etowah,103459,34.0476,-86.0344
01057,Alabama,Fayette,18495,33.7322,-87.752
01059,Alabama,Franklin,31223,34.442,-87.8428
01061,Alabama,Geneva,25764,31.0909,-85.8243
01063,Alabama,Greene,9974,32.8445,-87.9642
01065,Alabama,Hale,17185,32.7528,-87.6231
01067,Alabama,Henry,16310,31.517,-85.24
01069,Alabama,Houston,88787,31.1582,-85.2964
01071,Alabama,Jackson,53926,34.7635,-85.9774
01073,Alabama,Jefferson,662047,33.5534,-86.8965
01075,Alabama,Lamar,15904,33.7871,-88.0874
01077,Alabama,Lauderdale,87966,34.9041,-87.651
01079,Alabama,Lawrence,34803,34.5298,-87.3219
01081,Alabama,Lee,115092,32.6041,-85.353
01083,Alabama,Limestone,65676,34.8102,-86.9814
01085,Alabama,Lowndes,13473,32.1479,-86.6506
01087,Alabama,Macon,24105,32.387,-85.6929
01089,Alabama,Madison,276700,34.7642,-86.5511
01091,Alabama,Marengo,22539,32.2476,-87.7911
01093,Alabama,Marion,31214,34.1382,-87.8816
01095,Alabama,Marshall,82231,34.3096,-86.3217
01097,Alabama,Mobile,399843,30.6846,-88.1966
01099,Alabama,Monroe,24324,31.5803,-87.3833
01101,Alabama,Montgomery,223510,32.2037,-86.2038
01103,Alabama,Morgan,111064,34.4545,-86.8464
01105,Alabama,Perry,11861,32.639,-87.2938
01107,Alabama,Pickens,20949,33.2968,-88.0969
01109,Alabama,Pike,29605,31.7987,-85.942
01111,Alabama,Randolph,22380,33.2965,-85.4641
01113,Alabama,Russell,49756,32.2898,-85.187
01115,Alabama,St. Clair,64742,33.713,-86.3157
01117,Alabama,Shelby,143293,33.2629,-86.6781
01119,Alabama,Sumter,14798,32.5975,-88.2001
01121,Alabama,Talladega,80321,33.3693,-86.1758
01123,Alabama,Tallapoosa,41475,32.8634,-85.7996
01125,Alabama,Tuscaloosa,164875,33.2902,-87.5229
01127,Alabama,Walker,70713,33.7916,-87.3011
01129,Alabama,Washington,18097,31.407,-88.2021
01131,Alabama,Wilcox,13183,31.9903,-87.3022
01133,Alabama,Winston,24843,34.1559,-87.3641
02013,Alaska,Aleutians East,2697,55.2437,-161.9507
02016,Alaska,Aleutians West,5465,51.9594,178.3388
02020,Alaska,Anchorage,260283,61.1775,-149.2744
02050,Alaska,Bethel,16006,60.9289,-160.1533
02060,Alaska,Bristol Bay,1258,58.7314,-156.9866
02068,Alaska,Denali,1893,63.6827,-150.0267
02070,Alaska,Dillingham,4922,59.8248,-158.6022
02090,Alaska,Fairbanks North Star,82840,64.6908,-146.5999
02100,Alaska,Haines,2392,59.0999,-135.5781
02110,Alaska,Juneau,30711,58.3727,-134.1788
02122,Alaska,Kenai Peninsula,49691,60.3664,-152.322
02130,Alaska,Ketchikan Gateway,14070,55.4499,-131.1067
02150,Alaska,Kodiak Island,13913,57.5536,-153.6309
