uid,usModel,usData,mexicoModel,mexicoData,canadaModel,canadaData
U05139,1121,1139,0,0,0,0
U05141,2145,2158,0,0,0,0
U05143,10161,10231,3,0,1,0
U05145,7088,7136,1,0,0,0
U05147,876,880,0,0,0,0
U05149,3320,3345,0,0,0,0
U06001,221253,224279,2081,19,660,8
U06003,217,218,0,0,0,0
U06005,3527,3535,1,0,0,0
U06007,7456,7487,8,6,4,0
U06009,6527,6532,2,0,1,0
U06011,1384,1386,0,0,0,0
U06013,185113,186828,1112,35,368,24
U06015,513,521,0,0,0,0
U06017,32280,32368,29,0,11,0
U06019,21409,21625,121,31,29,6
U06021,3000,3006,0,0,0,0
U06023,1053,1062,1,0,0,0
U06025,374,2564,2638,459,0,0
U06027,569,570,0,0,0,0
U06029,14445,14622,86,0,13,0
U06031,8522,8549,8,0,2,0
U06033,4292,4293,1,11,1,0
U06035,1003,1012,0,0,0,0
U06037,242942,277376,32332,722,3227,404
U06039,12718,12749,10,6,3,0
U06041,47655,47829,73,9,26,0
U06043,1824,1828,0,0,0,0
U06045,2201,2213,1,0,0,0
U06047,18251,18318,26,0,7,0
U06049,558,563,0,0,0,0
U06051,1065,1068,0,0,0,0
U06053,17851,17960,52,0,13,16
U06055,12969,13007,9,0,4,0
U06057,11152,11175,5,6,2,0
U06059,211764,221968,9594,202,668,94
U06061,46645,46807,64,0,25,15
U06063,1092,1098,0,0,0,0
U06065,161824,173015,10789,57,217,50
U06067,81662,82717,601,26,215,5
U06069,11180,11194,4,0,1,0
U06071,197250,201812,4029,118,376,0
U06073,25689,39417,15987,2532,93,55
U06075,95070,95882,472,12,158,29
U06077,49740,50091,177,8,58,17
U06079,10966,11024,22,0,4,0
U06081,146455,147568,684,42,212,18
U06083,10394,10467,41,0,6,13
U06085,98343,100052,1124,19,334,18
U06087,32804,32934,57,0,16,0
U06089,4760,4776,4,6,2,3
U06091,590,591,0,0,0,0
U06093,1033,1037,0,0,0,2
U06095,74712,75096,178,0,63,7
U06097,40118,40317,108,15,42,42
U06099,35375,35602,103,0,31,7
U06101,13259,13286,6,0,2,5
U06103,4887,4898,1,0,1,0
U06105,729,733,0,0,0,0
U06107,15289,15386,42,0,9,0
U06109,3355,3363,1,0,0,0
U06111,80788,81736,706,29,79,0
U06113,24536,24584,24,25,9,0
U06115,9566,9584,3,0,1,0
U08001,107878,108249,194,11,45,0
U08003,881,886,0,0,0,0
U08005,129135,129685,332,8,65,42
U08007,465,466,0,0,0,0
U08009,112,114,0,0,0,0
U08011,635,640,0,0,0,0
U08013,31775,31955,54,15,12,0
U08015,503,508,0,0,0,0
U08017,121,123,0,0,0,0
U08019,3119,3128,0,0,0,0
U08021,1112,1119,0,0,0,0
U08023,310,314,0,0,0,0
U08025,523,524,0,0,0,0
U08027,399,400,0,0,0,0
U08029,2380,2390,1,0,0,0
U08031,101253,101749,320,46,62,9
U08033,344,344,0,0,0,0
U08035,65683,65890,81,22,10,13
U08037,3783,3789,1,19,0,0
U08039,7541,7571,1,0,0,0
U08041,11919,12080,47,0,5,7
U08043,3256,3280,2,0,0,0
U08045,5929,5954,2,0,0,0
U08047,1777,1779,0,0,0,0
U08049,883,887,0,0,0,0
U08051,346,350,0,0,0,0
U08053,61,63,0,0,0,0
U08055,443,446,0,0,0,0
U08057,55,55,0,0,0,0
U08059,148205,148958,525,12,79,10
U08061,105,109,0,0,0,0
U08063,239,238,0,0,0,0
U08065,2060,2065,0,0,0,0
U08067,1192,1203,1,0,0,0
U08069,20922,21058,24,22,10,0
U08071,573,577,0,0,0,0
U08073,246,248,0,0,0,0
U08075,844,848,0,0,0,0
U08077,2289,2304,2,0,0,0
U08079,65,66,0,0,0,0
U08081,1745,1753,0,0,0,0
U08083,1490,1492,0,0,0,4
U08085,2169,2181,1,0,0,0
U08087,1235,1246,0,0,0,0
U08089,1303,1312,0,0,0,0
U08091,492,495,0,0,0,0
U08093,4934,4949,1,0,0,0
U08095,218,220,0,0,0,0
U08097,833,835,0,0,0,0
U08099,432,437,0,0,0,0
U08101,5918,5988,8,0,0,0
U08103,308,313,0,0,0,0
U08105,1138,1144,0,0,0,0
U08107,564,567,0,0,0,0
U08109,781,780,0,3,0,0
U08111,72,73,0,0,0,0
U08113,201,207,0,0,0,0
U08115,247,251,0,0,0,0
U08117,899,904,0,0,0,2
U08119,4712,4733,1,0,0,0
U08121,616,617,0,0,0,0
U08123,28272,28420,21,0,8,3
U08125,294,296,0,0,0,0
U09001,82809,83338,81,6,290,36
U09003,52394,52803,49,19,221,7
U09005,42276,42382,8,0,36,12
U09007,38938,39026,7,0,27,17
U09009,97210,97824,88,0,337,10
U09011,22128,22226,6,0,27,6
U09013,44497,44583,7,0,31,21
U09015,23163,23207,3,0,13,0
U10001,12269,12293,2,0,4,15
U10003,35094,35275,20,7,45,0
U10005,15995,16045,3,0,6,0
U11001,69638,69914,45,0,87,7
U12001,6870,6938,3,0,1,0
U12003,4695,4697,0,0,0,14
U12005,3204,3243,1,0,0,0
U12007,4792,4811,0,0,0,0
U12009,15622,15751,16,7,4,9
U12011,174949,176399,1334,63,117,44
U12013,1937,1948,0,0,0,0
U12015,12771,12846,8,0,1,0
U12017,8383,8439,2,0,0,0
U12019,40663,40775,9,0,3,0
U12021,7811,7855,11,12,1,22
U12023,5724,5751,0,0,0,0
U12027,3354,3363,0,0,0,0
U12029,1679,1683,0,0,0,0
U12031,23770,23958,27,6,11,0
U12033,13003,13100,8,0,2,7
U12035,6969,6998,1,0,0,0
U12037,444,451,0,0,0,0
U12039,9018,9051,1,0,0,0
U12041,3389,3397,0,0,0,0
U12043,1938,1939,0,2,0,0
U12045,1463,1476,0,0,0,0
U12047,1694,1706,0,0,0,0
U12049,2977,2970,0,15,0,0
U12051,4382,4397,1,0,0,0
U12053,14292,14366,4,0,1,0
U12055,3057,3076,1,0,0,0
U12057,50322,50589,139,28,21,36
U12059,3605,3626,0,0,0,0
U12061,5649,5671,2,12,0,0
U12063,4293,4320,0,0,0,0
U12065,3078,3094,0,0,0,0
U12067,904,908,0,0,0,0
U12069,29471,29610,12,0,3,2
U12071,20305,20460,45,7,3,5
U12073,5877,5929,2,0,1,0
U12075,5857,5874,0,0,0,2
U12077,1214,1221,0,0,0,0
U12079,1988,2005,0,0,0,0
U12081,28641,28790,25,7,3,0
U12083,13129,13216,6,0,2,9
U12085,15934,15995,6,19,1,0
U12086,72912,73979,1065,139,63,27
