uid,population,commuters,ratio
05125,83529,24788,0.296759209376
05127,10996,1282,0.116587850127
05129,8261,1034,0.12516644474
05131,115071,6347,0.0551572507408
05133,15757,1739,0.110363647903
05135,17119,2189,0.127869618552
05137,11499,1058,0.0920080006957
05139,45629,1139,0.0249621950952
05141,16192,2158,0.1332756917
05143,157715,10231,0.0648701772184
05145,67165,7136,0.106245812551
05147,8741,880,0.100674979979
05149,21139,3345,0.158238327262
06001,1443741,224306,0.155364431709
06003,1208,218,0.180463576159
06005,35100,3535,0.100712250712
06007,203171,7493,0.0368802634234
06009,40554,6532,0.161069191695
06011,18804,1386,0.0737077217613
06013,948816,186887,0.196968643025
06015,27507,521,0.0189406332933
06017,156299,32368,0.207090256496
06019,799407,21662,0.0270975860857
06021,26453,3006,0.11363550448
06023,126518,1062,0.00839406250494
06025,142361,3023,0.0212347482808
06027,17945,570,0.0317637224854
06029,661645,14622,0.0220994642142
06031,129461,8549,0.0660353311036
06033,58309,4304,0.0738136479789
06035,33828,1012,0.0299160458792
06037,9519338,278502,0.0292564461941
06039,123109,12755,0.103607372329
06041,247289,47838,0.193449769298
06043,17130,1828,0.10671336836
06045,86265,2213,0.0256535095346
06047,210554,18318,0.0869990596237
06049,9449,563,0.0595830246587
06051,12853,1068,0.0830934412199
06053,401762,17976,0.0447429074925
06055,124279,13007,0.104659677017
06057,92033,11181,0.121489031108
06059,2846289,222264,0.0780890485822
06061,248399,46822,0.188495122766
06063,20824,1098,0.0527276219746
06065,1545387,173122,0.112025013799
06067,1223499,82748,0.0676322579749
06069,53234,11194,0.210279144907
06071,1709434,201930,0.118126818584
06073,2813833,42004,0.0149276804985
06075,776733,95923,0.123495461117
06077,563598,50116,0.0889215362723
06079,246681,11024,0.0446892950815
06081,707161,147628,0.208761512583
06083,399347,10480,0.0262428414386
06085,1682585,100089,0.0594852563169
06087,255602,32934,0.128848757052
06089,163256,4785,0.0293097956584
06091,3555,591,0.166244725738
06093,44301,1039,0.0234531951875
06095,394542,75103,0.190354892508
06097,458614,40374,0.0880348179515
06099,446997,35609,0.0796627270429
06101,78930,13291,0.168389712403
06103,56039,4898,0.0874034154785
06105,13022,733,0.0562893564737
06107,368021,15386,0.0418073968605
06109,54501,3363,0.0617052898112
06111,753197,81765,0.108557256601
06113,168660,24609,0.145908929207
06115,60219,9584,0.159152426975
08001,363857,108260,0.29753447096
08003,14966,886,0.0592008552719
08005,487967,129735,0.265868388641
08007,9898,466,0.0470802182259
08009,4517,114,0.0252379898162
08011,5998,640,0.106702234078
08013,291288,31970,0.109753920519
08015,16242,508,0.0312769363379
08017,2231,123,0.0551322277006
08019,9322,3128,0.335550311092
08021,8400,1119,0.133214285714
08023,3663,314,0.0857220857221
08025,5518,524,0.0949619427329
08027,3503,400,0.114187838995
08029,27834,2390,0.0858662067974
08031,554636,101804,0.183551013638
08033,1844,344,0.186550976139
08035,175766,65925,0.375072539627
08037,41659,3808,0.0914088192227
08039,19872,7571,0.380988325282
08041,516929,12087,0.0233823213633
08043,46145,3280,0.071080290389
08045,43791,5954,0.13596401087
08047,4757,1779,0.37397519445
08049,12442,887,0.0712907892622
08051,13956,350,0.0250788191459
08053,790,63,0.079746835443
08055,7862,446,0.0567285677945
08057,1577,55,0.0348763474952
08059,527056,148980,0.282664460702
08061,1622,109,0.0672009864365
08063,8011,238,0.0297091499189
08065,7812,2065,0.264336917563
08067,43941,1203,0.0273776199904
08069,251494,21080,0.0838190970759
08071,15207,577,0.0379430525416
08073,6087,248,0.0407425661245
08075,20504,848,0.0413577838471
08077,116255,2304,0.01981850243
08079,831,66,0.0794223826715
08081,13184,1753,0.132964199029
08083,23830,1496,0.0627780109106
08085,33432,2181,0.0652368987796
08087,27171,1246,0.0458577159471
08089,20311,1312,0.0645955393629
08091,3742,495,0.132282202031
08093,14523,4949,0.340769813399
08095,4480,220,0.0491071428571
08097,14872,835,0.0561457772996
08099,14483,437,0.0301733066354
08101,141472,5988,0.0423263967428
08103,5986,313,0.0522886735717
08105,12413,1144,0.0921614436478
08107,19690,567,0.0287963433215
08109,5917,783,0.132330572925
08111,558,73,0.13082437276
08113,6594,207,0.0313921747043
08115,2747,251,0.0913724062614
08117,23548,906,0.038474605062
08119,20555,4733,0.230260277305
08121,4926,617,0.125253755583
08123,180936,28423,0.157088694345
08125,9841,296,0.0300782440809
09001,882567,83380,0.0944744138405
09003,857183,52829,0.0616309469507
09005,182193,42394,0.2326873151
09007,155071,39043,0.25177499339
09009,824008,97834,0.118729429811
09011,259088,22232,0.0858086827642
