uid,usFluxModel,usFluxData,canadaFluxModel,canadaFluxData
12099,11,213,15,21
26001,0,3,50,0
26063,0,6,53,0
36085,29,19,138,0
38015,0,6,132,0
41005,0,5,947,0
26017,0,7,63,4
39041,0,21,23,0
38105,0,4,37,0
36069,0,0,258,0
26093,0,25,154,10
53047,0,0,201,0
04019,0,101,0,52
39113,6,61,79,0
38067,0,0,175,1
29189,107,96,111,23
41053,0,0,32,7
33007,0,17,276,0
36083,0,30,24,0
39151,0,56,229,4
13135,44,164,43,9
26163,473,196,40867,228
36013,0,58,399,0
27135,0,0,86,5
36037,0,4,206,5
34029,23,71,117,2
39017,3,54,53,0
53009,0,21,1351,9
48085,0,109,8,40
34013,144,72,392,28
34017,88,47,277,5
08059,1,37,66,10
32003,0,161,9,67
53065,0,20,92,3
30101,0,0,17,20
08031,0,58,46,9
27123,32,49,214,16
