uid,usColor,usOpacity,mexicoColor,mexicoOpacity,canadaColor,canadaOpacity
U02180,darkgreen,0.00620963548963,darkorange,0.0,darkorange,0.0968283614195
U02185,darkorange,0.0,darkorange,0.0,darkorange,0.0
U02188,darkorange,0.0,darkorange,0.0,darkorange,0.0
U02201,darkgreen,0.026547912452,darkorange,0.0,darkorange,0.213180599223
U02220,darkgreen,0.0175692032363,darkorange,0.0,darkorange,0.347126044695
U02232,darkgreen,0.0077627634975,darkorange,0.0,darkorange,0.290485084258
U02240,darkgreen,0.00208502074903,darkorange,0.0,darkorange,0.153469321856
U02261,darkgreen,0.00187511267522,darkgreen,0.153469321856,darkorange,0.153469321856
U02270,darkgreen,0.00681568328114,darkorange,0.0,darkorange,0.0
U02280,darkgreen,0.0149148238679,darkorange,0.0,darkorange,0.290485084258
U02282,darkorange,0.0,darkorange,0.0,darkorange,0.0
U02290,darkgreen,0.00261117503146,darkorange,0.0,darkorange,0.153469321856
U04001,darkorange,0.0,darkorange,0.334971095075,darkgreen,0.418485215601
U04003,darkgreen,0.132825041863,darkorange,0.326679925186,darkorange,0.0
U04005,darkgreen,0.000838423273466,darkorange,0.321656854181,darkorange,0.0
U04007,darkgreen,0.000768606048132,darkorange,0.306938643712,darkorange,0.0
U04009,darkgreen,0.00232522419666,darkorange,0.496660069788,darkorange,0.0
U04011,darkgreen,0.00198150551878,darkorange,0.0968283614195,darkorange,0.0
U04012,darkgreen,0.000470086131223,darkorange,0.0968283614195,darkorange,0.0
U04013,darkgreen,0.031443955716,darkorange,0.479386545777,darkgreen,0.128000131342
U04015,darkgreen,0.000543665734632,darkorange,0.116352237803,darkorange,0.153469321856
U04017,darkgreen,0.00107607798571,darkorange,0.306938643712,darkorange,0.0
U04019,darkgreen,0.0270368449441,darkorange,0.285373326321,darkgreen,0.360968429118
U04021,darkgreen,0.00250639095001,darkorange,0.542589956992,darkorange,0.153469321856
U04023,darkgreen,0.249879438063,darkorange,0.186250404507,darkorange,0.0
U04025,darkgreen,0.0011135263871,darkorange,0.508148221975,darkorange,0.0968283614195
U04027,darkgreen,0.159139598387,darkorange,0.347829793271,darkorange,0.0
U05001,darkgreen,0.00175717784607,darkorange,0.0,darkorange,0.0
U05003,darkgreen,0.00115929127439,darkorange,0.0,darkorange,0.0
U05005,darkgreen,0.00171184479461,darkorange,0.0,darkorange,0.0
U05007,darkgreen,0.000833255812987,darkgreen,0.141314372236,darkorange,0.0968283614195
U05009,darkgreen,0.000932850190011,darkorange,0.0,darkorange,0.0
