uid,percentPoverty,medianIncome
12003,13.6,39070
12005,12.7,35547
12007,16.5,32889
12009,9.2,40673
12011,9.8,42690
12013,21.1,27027
12015,9.0,36087
12017,12.3,31358
12019,6.9,48988
12021,8.9,47792
12023,16.2,31293
12027,19.4,29950
12029,21.2,26372
12031,10.5,41326
12033,14.8,34355
12035,8.8,40435
12037,16.3,27746
12039,18.7,30650
12041,16.4,30708
12043,15.5,30379
12045,18.6,30014
12047,24.2,26032
12049,22.2,29693
12051,19.5,33012
12053,10.9,32963
12055,14.2,29864
12057,11.6,40987
12059,20.6,27831
12061,9.4,40063
12063,17.1,29700
12065,17.7,32924
12067,20.6,30008
12069,10.4,37354
12071,9.4,39262
12073,12.1,38791
12075,17.5,27724
12077,20.7,29274
12079,19.7,26987
12081,9.4,38732
12083,13.6,32532
12085,8.7,43625
12086,17.4,33228
12087,9.6,42447
12089,8.4,46814
12091,9.4,41706
12093,16.7,29896
12095,10.9,42656
12097,11.8,38309
12099,9.5,42008
12101,10.8,34233
12103,9.8,37179
12105,13.2,35438
12107,19.1,27839
12109,7.3,52244
12111,12.5,36172
12113,9.9,42626
12115,7.3,42265
12117,7.4,50122
12119,14.9,31730
12121,16.3,30044
12123,17.8,30702
12125,19.9,33779
12127,11.1,35278
12129,12.2,37761
12131,14.9,32368
12133,18.3,28503
13001,16.4,30384
13003,21.9,27171
13005,18.2,28055
13007,23.5,29118
13009,17.0,33916
13011,12.2,38833
13013,9.5,44961
13015,9.5,44315
13017,19.1,28013
13019,17.3,30379
13021,17.2,35142
13023,15.3,34492
13025,16.4,31359
13027,22.4,26829
13029,9.8,48921
13031,18.6,30512
13033,21.0,28200
13035,12.9,38850
13037,27.1,24792
13039,9.8,42320
13043,22.2,26298
13045,12.2,39354
13047,9.6,40685
13049,19.2,28509
13051,14.8,37669
13053,12.4,39205
13055,14.3,30960
13057,5.4,62119
13059,17.5,29996
13061,28.6,22295
13063,11.9,42108
13065,21.6,27259
13067,7.1,57156
13069,19.8,30440
13071,19.4,28615
13073,6.4,57066
13075,18.8,28186
13077,8.1,54113
13079,14.7,37180
13081,23.8,26928
13083,11.8,35742
13085,9.5,48455
13087,21.1,28800
13089,11.0,47744
13091,18.8,28168
13093,22.6,28615
13095,21.0,30850
13097,8.3,50377
13099,24.3,26098
13101,20.7,26834
13103,9.3,47497
13105,15.3,29830
13107,23.1,25215
13109,22.5,26259
13111,14.0,31033
13113,3.8,73388
13115,13.3,36003
13117,4.4,73008
13119,13.9,32906
13121,13.8,46547
13123,13.2,34813
13125,14.1,30740
13127,14.0,38822
13129,11.1,39195
13131,19.0,29007
13133,17.3,33086
13135,5.6,61996
13137,11.2,36905
13139,10.5,45091
13141,26.1,22925
13143,14.7,32973
13145,8.9,49714
13147,13.1,33835
13149,14.8,33766
13151,5.3,58397
13153,10.1,44794
13155,18.1,30499
13157,11.9,40287
13159,13.8,39891
13161,17.5,28595
13163,20.2,26818
13165,23.2,24566
13167,22.8,24792
13169,9.8,43717
13171,14.9,35890
13173,19.6,29231
13175,17.0,32327
13177,9.4,49138
13179,15.3,33764
13181,16.2,32021
13183,19.5,30399
13185,16.8,32575
13187,12.5,39683
13189,16.8,32482
13191,19.4,29713
13193,24.9,24942
13195,12.4,36964
13197,19.4,29182
13199,16.7,31890
13201,19.4,28149
13205,23.0,26961
13207,11.9,42734
13209,20.4,29765
13211,12.0,40263
13213,11.3,36992
13215,16.1,34529
13217,10.4,45180
13219,6.5,56658
13221,12.0,36216
13223,5.8,53859
13225,18.8,34359
13227,9.9,42832
13229,17.6,30926
13231,10.2,44125
13233,13.8,33006
13235,17.7,31835
13237,13.6,37034
13239,22.4,25563
13241,11.7,34534
13243,25.0,22999
13245,18.7,32534
13247,8.5,52636
13249,17.9,31894
13251,18.5,29478
13253,22.0,27686
13255,14.6,36032
13257,14.5,30797
13259,22.6,25313
13261,20.3,30906
13263,18.3,27596
13265,22.1,24386
13267,24.1,28452
13269,22.5,26107
13271,24.5,25650
13273,23.4,27267
13275,17.2,31305
13277,18.3,32693
13279,21.7,27189
13281,12.3,32808
13283,24.4,25003
13285,13.8,36409
13287,23.6,26085
13289,18.2,30820
13291,13.0,32699
13293,15.3,31146
13295,12.1,33466
13297,10.3,46123
13299,20.0,28494
