uid,region,name,population,latitude,longitude,commuters
C2444,Quebec,Coaticook,16595,45.1336856,-71.8039462,2373
C2445,Quebec,Memphremagog,41871,45.2285619,-72.2066235,5988
C2446,Quebec,Brome-Missisquoi,46165,45.1333,-72.8,6602
C2447,Quebec,La Haute-Yamaska,79175,45.4,-72.733333,11322
C2448,Quebec,Acton,15167,45.5893025,-72.5239499,2169
C2449,Quebec,Drummond,87808,45.8614852,-72.5173998,12557
C2450,Quebec,Nicolet-Yamaska,23496,46.1511344,-72.612084,3360
C2451,Quebec,Maskinonge,23401,46.316667,-72.933333,3346
C2452,Quebec,D'Autray,38347,46.1720679,-73.2616025,5484
C2453,Quebec,Le Bas-Richelieu,50066,45.966667,-73,7159
C2454,Quebec,Les Maskoutains,78917,45.608058,-72.8944642,11285
C2455,Quebec,Rouville,29980,45.433333,-73.05,4287
C2456,Quebec,Le Haut-Richelieu,100753,45.2260631,-73.1815104,14408
C2457,Quebec,La Vallee-du-Richelieu,119993,45.596337,-73.2000611,17159
C2458,Quebec,Champlain,311838,46.4409094,-72.3450988,44593
C2459,Quebec,Lajemmerais,100263,45.6402054,-73.3628835,14338
C2460,Quebec,L'Assomption,103977,45.8166667,-73.4333333,14869
C2461,Quebec,Joliette,54167,46.0232219,-73.439239,7746
C2462,Quebec,Matawinie,43177,46.8005382,-74.0465474,6174
C2463,Quebec,Montcalm,38740,45.9,-73.666667,5540
C2464,Quebec,Les Moulins,110087,45.7557789,-73.6181046,15742
C2465,Quebec,Laval,343005,45.583333,-73.75,49050
C2466,Quebec,Communaute-Urbaine-de-Montreal,1812723,45.4699445,-73.7852913,259219
C2467,Quebec,Roussillon,138172,45.3700543,-73.6303305,19759
C2468,Quebec,Les Jardins-de-Napierville,22820,45.128676,-73.5596403,3263
C2469,Quebec,Le Haut-Saint-Laurent,21851,45.057683,-74.1281342,3125
C2470,Quebec,Beauharnois-Salaberry,59137,45.2564956,-73.9089456,8457
C2471,Quebec,Vaudreuil-Soulanges,102100,45.3834123,-74.2591416,14600
C2472,Quebec,Deux-Montagnes,81417,45.5418051,-73.8932108,11643
C2473,Quebec,Therese-De Blainville,130514,45.6485491,-73.8151147,18664
C2474,Quebec,Mirabel,27330,45.6637535,-74.0019645,3908
C2475,Quebec,La Riviere-du-Nord,90419,45.8133165,-74.0147676,12930
C2476,Quebec,Argenteuil,28931,45.711351,-74.3925274,4137
C2477,Quebec,Les Pays-d'en-Haut,30866,45.9135909,-74.1719811,4414
C2478,Quebec,Les Laurentides,38433,46.157259,-74.5177098,5496
C2479,Quebec,Antoine-Labelle,33456,46.967219,-75.2639682,4784
C2480,Quebec,Papineau,20367,45.883333,-75.05,2912
C2481,Quebec,Communaute-Urbaine-de-l'Outaouais,226696,45.4765446,-75.7012723,32418
C2482,Quebec,Les Collines-de-l'Outaouais,35188,45.6761286,-75.8762498,5032
C2483,Quebec,La Vallee-de-la-Gatineau,18730,46.8584413,-76.2818259,2678
C2484,Quebec,Pontiac,14565,45.542346,-76.109052,2083
C2485,Quebec,Temiscamingue,17504,47.55,-79.233333,2503
C2486,Quebec,Rouyn-Noranda,39621,48.233333,-79.016667,5666
C2487,Quebec,Abitibi-Ouest,21984,48.7626471,-79.0469034,3144
C2488,Quebec,Abitibi,24613,48.5706148,-77.9494546,3520
C2489,Quebec,Vallee-de-l'Or,42375,48.2538915,-76.573617,6060
C2490,Quebec,Le Haut-Saint-Maurice,15862,48.0478949,-73.7732917,2268
C2491,Quebec,Le Domaine-du-Roy,32839,48.6509865,-73.4157338,4696
C2492,Quebec,Maria-Chapdelaine,26900,48.983333,-72.283333,3847
C2493,Quebec,Lac-Saint-Jean-Est,51760,48.4740397,-71.7487833,7402
C2494,Quebec,Le Fjord-du-Saguenay,166780,48.717509,-70.7311947,23850
C2495,Quebec,La Haute-Cote-Nord,12894,49.3413579,-69.5231812,1844
C2496,Quebec,Manicouagan,33620,49.216667,-68.15,4808
C2497,Quebec,Sept-Rivieres--Caniapiscau,38931,52.3498864,-67.9418643,5567
C2498,Quebec,Minganie--Basse-Cote-Nord,12321,49.8258507,-61.6341609,1762
C2499,Quebec,Nord-du-Quebec,38575,52.9399159,-73.5491361,5516
C3501,Ontario,Stormont Dundas and Glengarry United Counties,109522,45.166667,-74.95,15662
C3502,Ontario,Prescott and Russell United Counties,76446,45.4610101,-75.1070652,10932
C3506,Ontario,Ottawa Division,774072,45.2484615,-75.8353706,110692
C3507,Ontario,Leeds and Grenville United Counties,96606,44.6529659,-75.9327001,13815
C3509,Ontario,Lanark County,62495,45.0083777,-76.3589238,8937
C3510,Ontario,Frontenac County,138606,44.579703,-76.5653577,19821
C3511,Ontario,Lennox and Addington County,39461,44.6667,-77.1667,5643
C3512,Ontario,Hastings County,125915,44.7072743,-77.6815168,18006
C3513,Ontario,Prince Edward Division,24901,44,-77.25,3561
C3514,Ontario,Northumberland County,77497,43.9291805,-78.1108279,11082
C3515,Ontario,Peterborough County,125856,44.4598873,-78.172116,17997
C3516,Ontario,Kawartha Lakes Division,69179,44.5337469,-78.9006484,9893
C3518,Ontario,Durham Regional Municipality,506901,43.9368383,-78.9288242,72487
C3519,Ontario,York Regional Municipality,729254,43.9884612,-79.4703885,104283
C3520,Ontario,Toronto Division,2481494,43.6689775,-79.2902133,354854
C3521,Ontario,Peel Regional Municipality,988948,43.6766398,-79.7848422,141420
C3522,Ontario,Dufferin County,51013,44.0527524,-80.1875065,7295
C3523,Ontario,Wellington County,187313,43.75,-80.4,26786
C3524,Ontario,Halton Regional Municipality,375229,43.4667,-79.8667,53658
C3525,Ontario,Hamilton Division,490268,43.25,-79.8667,70108
C3526,Ontario,Niagara Regional Municipality,410574,43.05,-79.3,58712
C3528,Ontario,Haldimand-Norfolk Regional Municipality,104670,42.7967232,-80.4136271,14968
C3529,Ontario,Brant County,118485,43.1167,-80.3667,16943
C3530,Ontario,Waterloo Regional Municipality,438515,43.4619,-80.5202,62708
C3531,Ontario,Perth County,73675,43.518746,-81.0754657,10536
C3532,Ontario,Oxford County,99270,43.184007,-80.7214417,14196
C3534,Ontario,Elgin County,81553,42.6645873,-80.9871074,11662
C3536,Ontario,Chatham-Kent Division,107709,42.1177987,-82.0407137,15402
C3537,Ontario,Essex County,374975,42.1667,-82.7833,53621
C3538,Ontario,Lambton County,126971,43.0527085,-82.0407137,18157
C3539,Ontario,Middlesex County,403185,42.9310419,-81.4278984,57655
C3540,Ontario,Huron County,59701,43.6416566,-81.6911559,8537
C3541,Ontario,Bruce County,63892,44.6174991,-81.3662622,9137
C3542,Ontario,Grey County,89073,44.4659957,-80.6326916,12737
C3543,Ontario,Simcoe County,377050,44.4716525,-79.8296743,53918
C3544,Ontario,Muskoka District Municipality,53106,45.1667,-79.3333,7594
C3546,Ontario,Haliburton County,15085,45.176198,-78.549065,2157
C3547,Ontario,Renfrew County,95138,45.6383081,-77.1674026,13605
C3548,Ontario,Nipissing District,82910,46.1348941,-78.9481361,11856
C3549,Ontario,Parry Sound District,39665,45.7,-79.833333,5672
C3551,Ontario,Manitoulin District,12679,45.7667,-82.2,1813
C3552,Ontario,Sudbury District,22894,47.4718117,-81.8170577,3274
C3553,Ontario,Greater Sudbury Division,155268,46.5513927,-81.0354982,22203
C3554,Ontario,Timiskaming District,34442,47.8308027,-80.3194903,4925
C3556,Ontario,Cochrane District,85247,50.4700387,-83.0158522,12190
C3557,Ontario,Algoma District,118567,47.6459165,-84.7951524,16955
C3558,Ontario,Thunder Bay District,150860,49.3456625,-87.8656401,21573
C3559,Ontario,Rainy River District,22109,48.8499198,-92.6370411,3162
C3560,Ontario,Kenora District,61802,54.0731818,-88.3266666,8838
C4601,Manitoba,Division No. 1,16432,49.7099236,-95.7962759,2350
C4602,Manitoba,Division No. 2,50869,49.433333,-96.85,7274
C4603,Manitoba,Division No. 3,42184,49.2717523,-97.6972846,6032
C4604,Manitoba,Division No. 4,9942,49.1848962,-98.9011939,1422
C4605,Manitoba,Division No. 5,13848,49.266667,-100.375,1980
C4606,Manitoba,Division No. 6,10110,49.7512441,-100.9085575,1446
C4607,Manitoba,Division No. 7,57148,49.7567877,-99.9362934,8172
C4608,Manitoba,Division No. 8,14603,50.086111,-98.904167,2088
C4609,Manitoba,Division No. 9,23322,49.9755629,-98.2055528,3335
C4610,Manitoba,Division No. 10,9464,49.6936586,-97.5055406,1353
C4611,Manitoba,Division No. 11,621451,49.85,-97.208333,88867
C4612,Manitoba,Division No. 12,19251,49.9166011,-96.543017,2753
C4613,Manitoba,Division No. 13,42183,50.2307896,-96.821851,6032
C4614,Manitoba,Division No. 14,17589,50.1932571,-97.4322673,2515
C4615,Manitoba,Division No. 15,21914,50.395278,-100.368889,3134
C4616,Manitoba,Division No. 16,10341,51.0610857,-101.2064523,1479
C4617,Manitoba,Division No. 17,22899,51.0892086,-99.9744763,3275
C4618,Manitoba,Division No. 18,22593,50.9233717,-97.7357319,3231
C4619,Manitoba,Division No. 19,15805,51.833333,-98,2260
C4620,Manitoba,Division No. 20,11013,51.9948374,-101.2394272,1575
C4621,Manitoba,Division No. 21,22556,53.9885518,-100.3474494,3226
C4622,Manitoba,Division No. 22,35077,54.6257096,-96.2183508,5016
C4623,Manitoba,Division No. 23,8989,57.4541661,-96.9211176,1285
C4701,Saskatchewan,Division No. 1,30238,49.5098991,-102.4627226,4324
C4702,Saskatchewan,Division No. 2,21635,49.67,-103.86,3094
C4703,Saskatchewan,Division No. 3,14839,49.6961607,-106.259009,2122
C4704,Saskatchewan,Division No. 4,11714,49.903611,-109.479722,1675
C4705,Saskatchewan,Division No. 5,32492,50.5108774,-102.4594149,4646
C4706,Saskatchewan,Division No. 6,219250,50.6228913,-104.3851074,31353
C4707,Saskatchewan,Division No. 7,46982,50.5060167,-106.4996903,6718
C4708,Saskatchewan,Division No. 8,30720,50.8429093,-108.7364265,4393
C4709,Saskatchewan,Division No. 9,36895,51.7160144,-102.3005389,5276
C4710,Saskatchewan,Division No. 10,19365,51.65,-103.53,2769
C4711,Saskatchewan,Division No. 11,237629,51.7778129,-106.009897,33981
C4712,Saskatchewan,Division No. 12,23697,51.8888622,-107.6221723,3389
C4713,Saskatchewan,Division No. 13,24054,51.972331,-109.2704383,3440
C4714,Saskatchewan,Division No. 14,39476,53.034634,-102.9103338,5645
C4715,Saskatchewan,Division No. 15,80668,53.2,-105.75,11536
C4716,Saskatchewan,Division No. 16,37663,53.1935331,-107.1431596,5386
C4717,Saskatchewan,Division No. 17,39587,53.8081202,-108.9390153,5661
C4718,Saskatchewan,Division No. 18,32029,56.6889485,-105.404472,4580
C4801,Alberta,Division No. 1,67402,49.9377332,-110.9336125,9638
C4802,Alberta,Division No. 2,133913,49.76,-112.26,19150
C4803,Alberta,Division No. 3,37580,49.3840055,-113.6692467,5374
C4804,Alberta,Division No. 4,11300,51.1255094,-111.063257,1616
C4805,Alberta,Division No. 5,47606,51.04,-113.4,6808
C4806,Alberta,Division No. 6,1021060,51.0463129,-114.0534407,146012
C4807,Alberta,Division No. 7,40407,52.6465354,-111.4482567,5778
C4808,Alberta,Division No. 8,153049,52.266667,-113.8,21886
C4809,Alberta,Division No. 9,19573,52.3241323,-115.5611493,2799
C4810,Alberta,Division No. 10,83061,53.3648741,-111.4604638,11878
