uid,U01OLD,U04OLD,U05OLD,U06OLD,U08OLD,U09OLD,U10OLD,U11OLD,U12OLD,U13OLD,U16OLD,U17OLD,U18OLD,U19OLD,U20OLD,U21OLD,U22OLD,U23OLD,U24OLD,U25OLD,U26OLD,U27OLD,U28OLD,U29OLD,U30OLD,U31OLD,U32OLD,U33OLD,U34OLD,U35OLD,U36OLD,U37OLD,U38OLD,U39OLD,U40OLD,U41OLD,U42OLD,U44OLD,U45OLD,U46OLD,U47OLD,U48OLD,U49OLD,U50OLD,U51OLD,U53OLD,U54OLD,U55OLD,U56OLD
U44,3.0,4.0,1.0,19.0,3.0,16171.0,22.0,11.0,24.0,11.0,0.0,35.0,15.0,1.0,2.0,5.0,3.0,102.0,112.0,60001.0,59.0,5.0,0.0,5.0,0.0,1.0,1.0,578.0,566.0,1.0,2972.0,46.0,0.0,82.0,2.0,0.0,340.0,91272.0,12.0,0.0,8.0,15.0,1.0,67.0,71.0,2.0,10.0,9.0,0.0
U45,196.0,2.0,0.0,11.0,0.0,0.0,5.0,14.0,530.0,35035.0,0.0,21.0,16.0,0.0,0.0,145.0,1.0,0.0,81.0,1.0,19.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,13.0,0.0,41.0,66729.0,0.0,124.0,0.0,0.0,66.0,0.0,395044.0,0.0,1367.0,8.0,0.0,0.0,455.0,0.0,69.0,0.0,0.0
U46,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4265.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3705.0,0.0,5.0,104.0,2189.0,0.0,0.0,0.0,0.0,0.0,0.0,1395.0,0.0,0.0,0.0,0.0,0.0,0.0,47158.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1020.0
U47,11542.0,3.0,5787.0,21.0,0.0,1.0,1.0,3.0,51.0,12653.0,0.0,874.0,1147.0,5.0,16.0,38589.0,146.0,0.0,17.0,2.0,55.0,2.0,8742.0,2447.0,0.0,3.0,1.0,0.0,3.0,0.0,25.0,14026.0,0.0,422.0,42.0,0.0,35.0,0.0,1383.0,0.0,584224.0,90.0,0.0,0.0,8741.0,1.0,255.0,15.0,0.0
U48,2559.0,1884.0,9254.0,975.0,1614.0,57.0,18.0,18.0,2039.0,1958.0,17.0,2310.0,926.0,684.0,3226.0,821.0,26569.0,9.0,151.0,95.0,497.0,361.0,3509.0,4087.0,9.0,606.0,80.0,11.0,178.0,9824.0,374.0,470.0,14.0,767.0,33676.0,29.0,324.0,15.0,371.0,63.0,2601.0,1818430.0,108.0,3.0,212.0,70.0,71.0,417.0,33.0
U49,1.0,2122.0,3.0,2483.0,7268.0,0.0,0.0,0.0,2.0,3.0,6980.0,31.0,3.0,6.0,12.0,1.0,3.0,0.0,0.0,0.0,8.0,19.0,0.0,15.0,660.0,33.0,4164.0,0.0,0.0,573.0,5.0,0.0,1.0,5.0,16.0,224.0,2.0,0.0,0.0,23.0,5.0,89.0,141394.0,0.0,1.0,152.0,0.0,5.0,3649.0
U50,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,1165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8231.0,10.0,0.0,5955.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,50546.0,0.0,0.0,0.0,0.0,0.0
U51,59.0,34.0,14.0,173.0,20.0,366.0,2950.0,87876.0,224.0,193.0,2.0,238.0,152.0,14.0,10.0,5381.0,28.0,27.0,146176.0,351.0,346.0,31.0,14.0,46.0,1.0,7.0,9.0,43.0,5267.0,6.0,3555.0,44507.0,1.0,1051.0,13.0,7.0,16497.0,66.0,375.0,1.0,10314.0,135.0,9.0,19.0,1437262.0,20.0,28675.0,66.0,0.0
U53,16.0,454.0,27.0,15760.0,512.0,10.0,3.0,3.0,39.0,22.0,10505.0,270.0,59.0,82.0,96.0,13.0,28.0,0.0,22.0,21.0,125.0,250.0,6.0,134.0,2121.0,83.0,1655.0,1.0,38.0,123.0,75.0,17.0,54.0,83.0,115.0,74799.0,58.0,3.0,7.0,55.0,35.0,429.0,1517.0,0.0,10.0,387651.0,1.0,156.0,212.0
U54,0.0,0.0,0.0,0.0,0.0,0.0,6.0,55.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,8113.0,0.0,0.0,15372.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,10.0,238.0,0.0,20772.0,0.0,0.0,9637.0,0.0,4.0,0.0,118.0,0.0,0.0,0.0,17289.0,0.0,152506.0,0.0,0.0
U55,24.0,7.0,20.0,48.0,7.0,14.0,6.0,6.0,33.0,39.0,0.0,83595.0,1740.0,6238.0,28.0,124.0,4.0,1.0,54.0,21.0,24383.0,29888.0,3.0,216.0,0.0,30.0,3.0,2.0,52.0,1.0,162.0,45.0,6.0,875.0,10.0,2.0,194.0,3.0,16.0,7.0,93.0,35.0,2.0,1.0,53.0,6.0,28.0,550590.0,0.0
U56,0.0,0.0,0.0,0.0,2727.0,0.0,0.0,0.0,0.0,0.0,1146.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,653.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1054.0,0.0,0.0,2013.0,0.0,0.0,0.0,0.0,0.0,9792.0
