uid,CDATA,COLD,CNEW,MDATA,MOLD,MNEW
U05045,0,1.0,0.0,0,2.0,0.0
U05047,0,0.0,0.0,0,0.0,0.0
U05049,0,0.0,0.0,0,0.0,0.0
U05051,0,0.0,0.0,0,1.0,0.0
U05053,0,0.0,0.0,0,0.0,0.0
U05055,0,0.0,0.0,0,0.0,0.0
U05057,0,0.0,0.0,0,0.0,0.0
U05059,0,0.0,0.0,0,0.0,0.0
U05061,0,0.0,0.0,11,0.0,0.0
U05063,0,0.0,0.0,0,0.0,0.0
U05065,0,0.0,0.0,0,0.0,0.0
U05067,0,0.0,0.0,0,0.0,0.0
U05069,9,0.0,0.0,0,1.0,0.0
U05071,0,0.0,0.0,0,0.0,0.0
U05073,7,0.0,0.0,0,0.0,0.0
U05075,0,0.0,0.0,0,0.0,0.0
U05077,0,0.0,0.0,0,0.0,0.0
U05079,0,0.0,0.0,0,0.0,0.0
U05081,0,0.0,0.0,0,0.0,0.0
U05083,0,0.0,0.0,0,0.0,0.0
U05085,0,0.0,0.0,0,1.0,0.0
U05087,0,0.0,0.0,0,0.0,0.0
U05089,0,0.0,0.0,0,0.0,0.0
U05091,0,0.0,0.0,0,1.0,0.0
U05093,0,0.0,0.0,0,0.0,0.0
U05095,0,0.0,0.0,0,0.0,0.0
U05097,0,0.0,0.0,0,0.0,0.0
U05099,0,0.0,0.0,0,0.0,0.0
U05101,0,0.0,0.0,0,0.0,0.0
U05103,0,0.0,0.0,0,0.0,0.0
U05105,0,0.0,0.0,0,0.0,0.0
U05107,0,0.0,0.0,0,0.0,0.0
U05109,0,0.0,0.0,0,0.0,0.0
U05111,0,0.0,0.0,0,0.0,0.0
U05113,0,0.0,0.0,6,0.0,0.0
U05115,2,0.0,0.0,0,0.0,0.0
U05117,0,0.0,0.0,0,0.0,0.0
U05119,0,2.0,0.0,0,6.0,0.0
U05121,0,0.0,0.0,0,0.0,0.0
U05123,0,0.0,0.0,0,0.0,0.0
U05125,0,1.0,0.0,0,4.0,0.0
U05127,0,0.0,0.0,0,0.0,0.0
U05129,0,0.0,0.0,0,0.0,0.0
U05131,0,0.0,0.0,0,2.0,0.0
U05133,0,0.0,0.0,0,0.0,0.0
U05135,0,0.0,0.0,0,0.0,0.0
U05137,0,0.0,0.0,0,0.0,0.0
U05139,0,0.0,0.0,0,0.0,0.0
U05141,0,0.0,0.0,0,0.0,0.0
U05143,0,1.0,0.0,0,3.0,0.0
U05145,0,0.0,0.0,0,1.0,0.0
U05147,0,0.0,0.0,0,0.0,0.0
U05149,0,0.0,0.0,0,0.0,0.0
U06001,8,660.0,11.0,19,2081.0,138.0
U06003,0,0.0,0.0,0,0.0,0.0
U06005,0,0.0,0.0,0,1.0,0.0
U06007,0,4.0,0.0,6,8.0,1.0
U06009,0,1.0,0.0,0,2.0,0.0
U06011,0,0.0,0.0,0,0.0,0.0
U06013,24,368.0,6.0,35,1112.0,74.0
U06015,0,0.0,0.0,0,0.0,0.0
U06017,0,11.0,0.0,0,29.0,2.0
U06019,6,29.0,1.0,31,121.0,8.0
U06021,0,0.0,0.0,0,0.0,0.0
U06023,0,0.0,0.0,0,1.0,0.0
U06025,0,0.0,0.0,459,2638.0,645.0
U06027,0,0.0,0.0,0,0.0,0.0
U06029,0,13.0,0.0,0,86.0,5.0
U06031,0,2.0,0.0,0,8.0,1.0
U06033,0,1.0,0.0,11,1.0,0.0
U06035,0,0.0,0.0,0,0.0,0.0
U06037,404,3227.0,68.0,722,32332.0,2031.0
U06039,0,3.0,0.0,6,10.0,1.0
U06041,0,26.0,0.0,9,73.0,5.0
U06043,0,0.0,0.0,0,0.0,0.0
U06045,0,0.0,0.0,0,1.0,0.0
U06047,0,7.0,0.0,0,26.0,2.0
U06049,0,0.0,0.0,0,0.0,0.0
U06051,0,0.0,0.0,0,0.0,0.0
U06053,16,13.0,0.0,0,52.0,4.0
U06055,0,4.0,0.0,0,9.0,1.0
U06057,0,2.0,0.0,6,5.0,0.0
U06059,94,668.0,15.0,202,9594.0,578.0
U06061,15,25.0,0.0,0,64.0,4.0
U06063,0,0.0,0.0,0,0.0,0.0
U06065,50,217.0,5.0,57,10789.0,597.0
U06067,5,215.0,4.0,26,601.0,40.0
U06069,0,1.0,0.0,0,4.0,0.0
U06071,0,376.0,8.0,118,4029.0,244.0
U06073,55,93.0,2.0,2532,15987.0,997.0
U06075,29,158.0,3.0,12,472.0,32.0
U06077,17,58.0,1.0,8,177.0,12.0
U06079,0,4.0,0.0,0,22.0,1.0
U06081,18,212.0,4.0,42,684.0,46.0
U06083,13,6.0,0.0,0,41.0,3.0
U06085,18,334.0,6.0,19,1124.0,75.0
U06087,0,16.0,0.0,0,57.0,4.0
U06089,3,2.0,0.0,6,4.0,0.0
U06091,0,0.0,0.0,0,0.0,0.0
U06093,2,0.0,0.0,0,0.0,0.0
U06095,7,63.0,1.0,0,178.0,12.0
U06097,42,42.0,1.0,15,108.0,7.0
U06099,7,31.0,1.0,0,103.0,7.0
U06101,5,2.0,0.0,0,6.0,0.0
U06103,0,1.0,0.0,0,1.0,0.0
U06105,0,0.0,0.0,0,0.0,0.0
U06107,0,9.0,0.0,0,42.0,3.0
U06109,0,0.0,0.0,0,1.0,0.0
U06111,0,79.0,2.0,29,706.0,44.0
U06113,0,9.0,0.0,25,24.0,2.0
U06115,0,1.0,0.0,0,3.0,0.0
U08001,0,45.0,1.0,11,194.0,10.0
U08003,0,0.0,0.0,0,0.0,0.0
U08005,42,65.0,1.0,8,332.0,17.0
U08007,0,0.0,0.0,0,0.0,0.0
U08009,0,0.0,0.0,0,0.0,0.0
U08011,0,0.0,0.0,0,0.0,0.0
U08013,0,12.0,0.0,15,54.0,3.0
U08015,0,0.0,0.0,0,0.0,0.0
U08017,0,0.0,0.0,0,0.0,0.0
U08019,0,0.0,0.0,0,0.0,0.0
U08021,0,0.0,0.0,0,0.0,0.0
U08023,0,0.0,0.0,0,0.0,0.0
U08025,0,0.0,0.0,0,0.0,0.0
U08027,0,0.0,0.0,0,0.0,0.0
U08029,0,0.0,0.0,0,1.0,0.0
U08031,9,62.0,1.0,46,320.0,16.0
U08033,0,0.0,0.0,0,0.0,0.0
U08035,13,10.0,0.0,22,81.0,4.0
U08037,0,0.0,0.0,19,1.0,0.0
U08039,0,0.0,0.0,0,1.0,0.0
U08041,7,5.0,0.0,0,47.0,2.0
U08043,0,0.0,0.0,0,2.0,0.0
U08045,0,0.0,0.0,0,2.0,0.0
U08047,0,0.0,0.0,0,0.0,0.0
U08049,0,0.0,0.0,0,0.0,0.0
U08051,0,0.0,0.0,0,0.0,0.0
U08053,0,0.0,0.0,0,0.0,0.0
U08055,0,0.0,0.0,0,0.0,0.0
U08057,0,0.0,0.0,0,0.0,0.0
U08059,10,79.0,1.0,12,525.0,27.0
U08061,0,0.0,0.0,0,0.0,0.0
U08063,0,0.0,0.0,0,0.0,0.0
U08065,0,0.0,0.0,0,0.0,0.0
U08067,0,0.0,0.0,0,1.0,0.0
U08069,0,10.0,0.0,22,24.0,1.0
U08071,0,0.0,0.0,0,0.0,0.0
U08073,0,0.0,0.0,0,0.0,0.0
U08075,0,0.0,0.0,0,0.0,0.0
U08077,0,0.0,0.0,0,2.0,0.0
U08079,0,0.0,0.0,0,0.0,0.0
U08081,0,0.0,0.0,0,0.0,0.0
U08083,4,0.0,0.0,0,0.0,0.0
U08085,0,0.0,0.0,0,1.0,0.0
U08087,0,0.0,0.0,0,0.0,0.0
U08089,0,0.0,0.0,0,0.0,0.0
U08091,0,0.0,0.0,0,0.0,0.0
U08093,0,0.0,0.0,0,1.0,0.0
U08095,0,0.0,0.0,0,0.0,0.0
U08097,0,0.0,0.0,0,0.0,0.0
U08099,0,0.0,0.0,0,0.0,0.0
U08101,0,0.0,0.0,0,8.0,0.0
U08103,0,0.0,0.0,0,0.0,0.0
U08105,0,0.0,0.0,0,0.0,0.0
U08107,0,0.0,0.0,0,0.0,0.0
U08109,0,0.0,0.0,3,0.0,0.0
U08111,0,0.0,0.0,0,0.0,0.0
U08113,0,0.0,0.0,0,0.0,0.0
U08115,0,0.0,0.0,0,0.0,0.0
U08117,2,0.0,0.0,0,0.0,0.0
U08119,0,0.0,0.0,0,1.0,0.0
U08121,0,0.0,0.0,0,0.0,0.0
U08123,3,8.0,0.0,0,21.0,1.0
U08125,0,0.0,0.0,0,0.0,0.0
U09001,36,290.0,4.0,6,81.0,6.0
U09003,7,221.0,3.0,19,49.0,3.0
U09005,12,36.0,1.0,0,8.0,1.0
U09007,17,27.0,0.0,0,7.0,0.0
U09009,10,337.0,5.0,0,88.0,6.0
U09011,6,27.0,0.0,0,6.0,0.0
U09013,21,31.0,0.0,0,7.0,0.0
U09015,0,13.0,0.0,0,3.0,0.0
U10001,15,4.0,0.0,0,2.0,0.0
U10003,0,45.0,1.0,7,20.0,1.0
U10005,0,6.0,0.0,0,3.0,0.0
U11001,7,87.0,1.0,0,45.0,3.0
U12001,0,1.0,0.0,0,3.0,0.0
U12003,14,0.0,0.0,0,0.0,0.0
U12005,0,0.0,0.0,0,1.0,0.0
U12007,0,0.0,0.0,0,0.0,0.0
U12009,9,4.0,0.0,7,16.0,1.0
U12011,44,117.0,2.0,63,1334.0,69.0
U12013,0,0.0,0.0,0,0.0,0.0
U12015,0,1.0,0.0,0,8.0,0.0
U12017,0,0.0,0.0,0,2.0,0.0
U12019,0,3.0,0.0,0,9.0,1.0
U12021,22,1.0,0.0,12,11.0,1.0
U12023,0,0.0,0.0,0,0.0,0.0
U12027,0,0.0,0.0,0,0.0,0.0
U12029,0,0.0,0.0,0,0.0,0.0
U12031,0,11.0,0.0,6,27.0,2.0
U12033,7,2.0,0.0,0,8.0,0.0
U12035,0,0.0,0.0,0,1.0,0.0
U12037,0,0.0,0.0,0,0.0,0.0
U12039,0,0.0,0.0,0,1.0,0.0
U12041,0,0.0,0.0,0,0.0,0.0
U12043,0,0.0,0.0,2,0.0,0.0
U12045,0,0.0,0.0,0,0.0,0.0
U12047,0,0.0,0.0,0,0.0,0.0
U12049,0,0.0,0.0,15,0.0,0.0
U12051,0,0.0,0.0,0,1.0,0.0
U12053,0,1.0,0.0,0,4.0,0.0
U12055,0,0.0,0.0,0,1.0,0.0
U12057,36,21.0,0.0,28,139.0,8.0
U12059,0,0.0,0.0,0,0.0,0.0
U12061,0,0.0,0.0,12,2.0,0.0
U12063,0,0.0,0.0,0,0.0,0.0
U12065,0,0.0,0.0,0,0.0,0.0
U12067,0,0.0,0.0,0,0.0,0.0
U12069,2,3.0,0.0,0,12.0,1.0
U12071,5,3.0,0.0,7,45.0,2.0
U12073,0,1.0,0.0,0,2.0,0.0
U12075,2,0.0,0.0,0,0.0,0.0
U12077,0,0.0,0.0,0,0.0,0.0
U12079,0,0.0,0.0,0,0.0,0.0
U12081,0,3.0,0.0,7,25.0,1.0
U12083,9,2.0,0.0,0,6.0,0.0
U12085,0,1.0,0.0,19,6.0,0.0
U12086,27,63.0,1.0,139,1065.0,54.0
U12087,10,0.0,0.0,33,1.0,0.0
U12089,0,0.0,0.0,0,1.0,0.0
U12091,0,1.0,0.0,0,2.0,0.0
U12093,0,0.0,0.0,0,0.0,0.0
U12095,56,27.0,0.0,20,116.0,7.0
U12097,0,3.0,0.0,0,15.0,1.0
U12099,21,26.0,0.0,32,214.0,11.0
U12101,0,9.0,0.0,4,50.0,3.0
U12103,14,22.0,0.0,13,154.0,8.0
U12105,0,7.0,0.0,0,38.0,2.0
U12107,0,0.0,0.0,0,1.0,0.0
U12109,0,2.0,0.0,24,4.0,0.0
U12111,18,2.0,0.0,0,13.0,1.0
U12113,6,1.0,0.0,5,7.0,0.0
U12115,19,2.0,0.0,27,23.0,1.0
U12117,11,17.0,0.0,0,65.0,4.0
U12119,0,0.0,0.0,0,1.0,0.0
U12121,0,0.0,0.0,0,0.0,0.0
U12123,0,0.0,0.0,0,0.0,0.0
U12125,0,0.0,0.0,0,0.0,0.0
U12127,52,8.0,0.0,0,28.0,2.0
U12129,0,0.0,0.0,0,0.0,0.0
U12131,0,0.0,0.0,0,0.0,0.0
U12133,0,0.0,0.0,0,0.0,0.0
U13001,0,0.0,0.0,0,0.0,0.0
U13003,0,0.0,0.0,0,0.0,0.0
U13005,0,0.0,0.0,0,0.0,0.0
U13007,0,0.0,0.0,0,0.0,0.0
U13009,0,0.0,0.0,0,0.0,0.0
U13011,0,0.0,0.0,0,0.0,0.0
U13013,0,0.0,0.0,0,1.0,0.0
U13015,0,1.0,0.0,0,1.0,0.0
U13017,0,0.0,0.0,0,0.0,0.0
U13019,0,0.0,0.0,0,0.0,0.0
U13021,0,1.0,0.0,0,2.0,0.0
U13023,0,0.0,0.0,0,0.0,0.0
U13025,0,0.0,0.0,0,0.0,0.0
U13027,0,0.0,0.0,0,0.0,0.0
U13029,0,0.0,0.0,0,0.0,0.0
U13031,0,0.0,0.0,0,0.0,0.0
U13033,0,0.0,0.0,0,0.0,0.0
U13035,0,0.0,0.0,0,0.0,0.0
U13037,0,0.0,0.0,0,0.0,0.0
U13039,0,0.0,0.0,0,0.0,0.0
U13043,0,0.0,0.0,0,0.0,0.0
U13045,0,1.0,0.0,0,2.0,0.0
U13047,8,1.0,0.0,0,1.0,0.0
U13049,0,0.0,0.0,0,0.0,0.0
U13051,0,1.0,0.0,0,2.0,0.0
U13053,0,0.0,0.0,0,0.0,0.0
U13055,0,0.0,0.0,0,0.0,0.0
U13057,6,5.0,0.0,0,8.0,1.0
U13059,0,1.0,0.0,0,1.0,0.0
U13061,0,0.0,0.0,0,0.0,0.0
U13063,0,11.0,0.0,0,20.0,1.0
U13065,0,0.0,0.0,0,0.0,0.0
U13067,54,59.0,1.0,19,106.0,7.0
U13069,0,0.0,0.0,0,0.0,0.0
U13071,0,0.0,0.0,0,0.0,0.0
U13073,0,2.0,0.0,0,3.0,0.0
U13075,0,0.0,0.0,0,0.0,0.0
U13077,0,1.0,0.0,0,2.0,0.0
U13079,0,0.0,0.0,0,0.0,0.0
U13081,0,0.0,0.0,0,0.0,0.0
U13083,0,0.0,0.0,0,0.0,0.0
U13085,0,0.0,0.0,0,0.0,0.0
U13087,0,0.0,0.0,0,0.0,0.0
U13089,68,85.0,1.0,66,152.0,10.0
U13091,0,0.0,0.0,0,0.0,0.0
U13093,2,0.0,0.0,0,0.0,0.0
U13095,0,0.0,0.0,0,0.0,0.0
U13097,0,2.0,0.0,0,3.0,0.0
U13099,0,0.0,0.0,0,0.0,0.0
U13101,0,0.0,0.0,0,0.0,0.0
U13103,0,0.0,0.0,0,1.0,0.0
U13105,0,0.0,0.0,0,0.0,0.0
U13107,0,0.0,0.0,0,0.0,0.0
U13109,0,0.0,0.0,0,0.0,0.0
U13111,10,0.0,0.0,0,0.0,0.0
U13113,0,2.0,0.0,0,3.0,0.0
U13115,0,0.0,0.0,3,1.0,0.0
U13117,0,2.0,0.0,0,4.0,0.0
U13119,0,0.0,0.0,0,0.0,0.0
U13121,48,64.0,1.0,3,117.0,8.0
U13123,0,0.0,0.0,5,0.0,0.0
U13125,0,0.0,0.0,0,0.0,0.0
U13127,0,0.0,0.0,0,0.0,0.0
U13129,0,0.0,0.0,0,0.0,0.0
U13131,0,0.0,0.0,0,0.0,0.0
U13133,0,0.0,0.0,0,0.0,0.0
U13135,9,58.0,1.0,10,99.0,7.0
U13137,0,0.0,0.0,0,0.0,0.0
U13139,0,2.0,0.0,17,3.0,0.0
U13141,0,0.0,0.0,0,0.0,0.0
U13143,0,0.0,0.0,0,0.0,0.0
U13145,0,0.0,0.0,0,0.0,0.0
U13147,0,0.0,0.0,0,0.0,0.0
U13149,0,0.0,0.0,0,0.0,0.0
U13151,0,3.0,0.0,0,6.0,0.0
U13153,0,1.0,0.0,0,2.0,0.0
U13155,0,0.0,0.0,0,0.0,0.0
U13157,0,0.0,0.0,0,1.0,0.0
U13159,0,0.0,0.0,0,0.0,0.0
U13161,0,0.0,0.0,0,0.0,0.0
U13163,0,0.0,0.0,0,0.0,0.0
U13165,0,0.0,0.0,0,0.0,0.0
U13167,0,0.0,0.0,0,0.0,0.0
U13169,0,0.0,0.0,0,0.0,0.0
U13171,0,0.0,0.0,0,0.0,0.0
U13173,0,0.0,0.0,0,0.0,0.0
U13175,0,0.0,0.0,0,0.0,0.0
U13177,0,0.0,0.0,0,0.0,0.0
U13179,0,0.0,0.0,0,0.0,0.0
U13181,0,0.0,0.0,0,0.0,0.0
U13183,0,0.0,0.0,0,0.0,0.0
U13185,0,0.0,0.0,0,0.0,0.0
U13187,0,0.0,0.0,8,0.0,0.0
U13189,0,0.0,0.0,0,0.0,0.0
U13191,0,0.0,0.0,0,0.0,0.0
U13193,0,0.0,0.0,0,0.0,0.0
U13195,0,0.0,0.0,0,0.0,0.0
U13197,0,0.0,0.0,0,0.0,0.0
U13199,0,0.0,0.0,0,0.0,0.0
U13201,0,0.0,0.0,0,0.0,0.0
U13205,0,0.0,0.0,0,0.0,0.0
U13207,0,0.0,0.0,0,0.0,0.0
U13209,0,0.0,0.0,0,0.0,0.0
U13211,0,0.0,0.0,0,0.0,0.0
U13213,0,0.0,0.0,0,0.0,0.0
U13215,0,1.0,0.0,0,3.0,0.0
U13217,0,1.0,0.0,0,1.0,0.0
U13219,0,0.0,0.0,0,0.0,0.0
U13221,0,0.0,0.0,0,0.0,0.0
U13223,0,2.0,0.0,0,3.0,0.0
U13225,0,0.0,0.0,0,0.0,0.0
U13227,0,0.0,0.0,3,0.0,0.0
U13229,0,0.0,0.0,0,0.0,0.0
U13231,0,0.0,0.0,0,0.0,0.0
U13233,0,0.0,0.0,0,0.0,0.0
U13235,0,0.0,0.0,0,0.0,0.0
U13237,0,0.0,0.0,0,0.0,0.0
U13239,0,0.0,0.0,0,0.0,0.0
U13241,0,0.0,0.0,0,0.0,0.0
U13243,0,0.0,0.0,0,0.0,0.0
U13245,0,2.0,0.0,0,4.0,0.0
U13247,31,1.0,0.0,0,2.0,0.0
U13249,0,0.0,0.0,0,0.0,0.0
U13251,0,0.0,0.0,0,0.0,0.0
U13253,0,0.0,0.0,0,0.0,0.0
U13255,0,0.0,0.0,0,1.0,0.0
U13257,0,0.0,0.0,0,0.0,0.0
U13259,0,0.0,0.0,0,0.0,0.0
U13261,0,0.0,0.0,0,0.0,0.0
U13263,0,0.0,0.0,0,0.0,0.0
U13265,0,0.0,0.0,0,0.0,0.0
U13267,0,0.0,0.0,0,0.0,0.0
U13269,0,0.0,0.0,0,0.0,0.0
U13271,0,0.0,0.0,0,0.0,0.0
U13273,0,0.0,0.0,0,0.0,0.0
U13275,0,0.0,0.0,0,0.0,0.0
U13277,0,0.0,0.0,0,0.0,0.0
U13279,0,0.0,0.0,0,0.0,0.0
U13281,0,0.0,0.0,0,0.0,0.0
U13283,0,0.0,0.0,0,0.0,0.0
U13285,0,0.0,0.0,0,0.0,0.0
U13287,0,0.0,0.0,0,0.0,0.0
U13289,0,0.0,0.0,0,0.0,0.0
U13291,0,0.0,0.0,0,0.0,0.0
U13293,0,0.0,0.0,0,0.0,0.0
U13295,0,1.0,0.0,0,1.0,0.0
U13297,5,1.0,0.0,0,1.0,0.0
U13299,0,0.0,0.0,0,0.0,0.0
U13301,0,0.0,0.0,0,0.0,0.0
U13303,0,0.0,0.0,0,0.0,0.0
U13305,0,0.0,0.0,0,0.0,0.0
U13307,0,0.0,0.0,0,0.0,0.0
U13309,0,0.0,0.0,0,0.0,0.0
U13311,0,0.0,0.0,0,0.0,0.0
U13313,0,0.0,0.0,0,1.0,0.0
U13315,0,0.0,0.0,0,0.0,0.0
U13317,0,0.0,0.0,0,0.0,0.0
U13319,0,0.0,0.0,0,0.0,0.0
U13321,0,0.0,0.0,0,0.0,0.0
U16001,0,27.0,0.0,0,10.0,1.0
U16003,0,0.0,0.0,0,0.0,0.0
U16005,5,2.0,0.0,0,1.0,0.0
U16007,0,0.0,0.0,0,0.0,0.0
U16009,0,1.0,0.0,0,0.0,0.0
U16011,0,3.0,0.0,0,1.0,0.0
U16013,0,0.0,0.0,0,0.0,0.0
U16015,0,0.0,0.0,0,0.0,0.0
U16017,0,51.0,1.0,0,0.0,0.0
U16019,0,5.0,0.0,0,1.0,0.0
U16021,3,8.0,0.0,0,0.0,0.0
U16023,0,0.0,0.0,0,0.0,0.0
U16025,3,0.0,0.0,0,0.0,0.0
U16027,0,27.0,0.0,0,8.0,1.0
U16029,0,0.0,0.0,0,0.0,0.0
U16031,0,0.0,0.0,0,0.0,0.0
U16033,0,0.0,0.0,0,0.0,0.0
U16035,0,0.0,0.0,0,0.0,0.0
U16037,0,0.0,0.0,0,0.0,0.0
U16039,0,1.0,0.0,0,0.0,0.0
U16041,0,0.0,0.0,0,0.0,0.0
U16043,0,1.0,0.0,0,0.0,0.0
U16045,0,1.0,0.0,0,0.0,0.0
U16047,0,0.0,0.0,0,0.0,0.0
U16049,0,1.0,0.0,0,0.0,0.0
U16051,0,2.0,0.0,0,0.0,0.0
U16053,0,0.0,0.0,0,0.0,0.0
U16055,4,253.0,4.0,0,3.0,0.0
U16057,0,12.0,0.0,0,0.0,0.0
U16059,0,0.0,0.0,0,0.0,0.0
U16061,0,0.0,0.0,0,0.0,0.0
U16063,0,0.0,0.0,0,0.0,0.0
U16065,21,1.0,0.0,0,0.0,0.0
U16067,0,0.0,0.0,0,0.0,0.0
U16069,0,5.0,0.0,0,0.0,0.0
U16071,4,0.0,0.0,0,0.0,0.0
