uid,name,region,population,latitude,longitude
17085,Jo Daviess,IL,22678,42.362391,-90.211471
17087,Johnson,IL,12582,37.460815,-88.882962
17089,Kane,IL,515269,41.939594,-88.42804
17091,Kankakee,IL,113449,41.139494,-87.861125
17093,Kendall,IL,114736,41.58814,-88.430626
17095,Knox,IL,52919,40.930941,-90.213761
17097,Lake,IL,703462,42.326444,-87.436118
17099,La Salle,IL,113924,41.343341,-88.885931
17101,Lawrence,IL,16833,38.718954,-87.730221
17103,Lee,IL,36031,41.747442,-89.299351
17105,Livingston,IL,38950,40.894376,-88.552852
17107,Logan,IL,30305,40.12907,-89.365308
17109,McDonough,IL,32612,40.455789,-90.677579
17111,McHenry,IL,308760,42.324298,-88.452245
17113,McLean,IL,169572,40.494559,-88.844539
17115,Macon,IL,110768,39.860237,-88.961529
17117,Macoupin,IL,47765,39.2659,-89.926344
17119,Madison,IL,269282,38.827082,-89.900195
17121,Marion,IL,39437,38.648396,-88.920221
17123,Marshall,IL,12640,41.031119,-89.342371
17125,Mason,IL,14666,40.236993,-89.913575
17127,Massac,IL,15429,37.216119,-88.705658
17129,Menard,IL,12705,40.022569,-89.794133
17131,Mercer,IL,16434,41.204791,-90.741433
17133,Monroe,IL,32957,38.277983,-90.179078
17135,Montgomery,IL,30104,39.228092,-89.478007
17137,Morgan,IL,35547,39.716806,-90.202277
17139,Moultrie,IL,14846,39.636896,-88.625726
17141,Ogle,IL,53497,42.041884,-89.320176
17143,Peoria,IL,186494,40.785999,-89.767358
17145,Perry,IL,22350,38.084385,-89.368487
17147,Piatt,IL,16729,40.009056,-88.592328
17149,Pike,IL,16430,39.625106,-90.889034
17151,Pope,IL,4470,37.417169,-88.542374
17153,Pulaski,IL,6161,37.215615,-89.127755
17155,Putnam,IL,6006,41.19894,-89.298386
17157,Randolph,IL,33476,38.056515,-89.82121
17159,Richland,IL,16233,38.71155,-88.085698
17161,Rock Island,IL,147546,41.468404,-90.572203
17163,St. Clair,IL,270056,38.470198,-89.928546
17165,Saline,IL,24913,37.751653,-88.545031
17167,Sangamon,IL,197465,39.756378,-89.662311
17169,Schuyler,IL,7544,40.156905,-90.613464
17171,Scott,IL,5355,39.63698,-90.477759
17173,Shelby,IL,22363,39.384926,-88.798862
17175,Stark,IL,5994,41.096908,-89.797411
17177,Stephenson,IL,47711,42.349726,-89.665994
17179,Tazewell,IL,135394,40.508074,-89.51626
17181,Union,IL,17808,37.475104,-89.252875
17183,Vermilion,IL,81625,40.18674,-87.726772
17185,Wabash,IL,11947,38.445821,-87.839167
17187,Warren,IL,17707,40.850441,-90.620223
17189,Washington,IL,14716,38.353141,-89.417187
17191,Wayne,IL,16760,38.431948,-88.432129
17193,White,IL,14665,38.087372,-88.178585
17195,Whiteside,IL,58498,41.750571,-89.910957
17197,Will,IL,677560,41.448474,-87.978456
17199,Williamson,IL,66357,37.730353,-88.930018
17201,Winnebago,IL,295266,42.337396,-89.161205
17203,Woodford,IL,38664,40.789596,-89.210301
18001,Adams,IN,34387,40.745733,-84.936131
18003,Allen,IN,355329,41.091855,-85.07223
18005,Bartholomew,IN,76794,39.205843,-85.897999
18007,Benton,IN,8854,40.608253,-87.315479
18009,Blackford,IN,12766,40.472672,-85.32373
18011,Boone,IN,56640,40.050892,-86.469014
18013,Brown,IN,15242,39.192585,-86.23941
18015,Carroll,IN,20155,40.58498,-86.565141
18017,Cass,IN,38966,40.753799,-86.355169
18019,Clark,IN,110232,38.476217,-85.711122
18021,Clay,IN,26890,39.393951,-87.115837
18023,Clinton,IN,33224,40.305944,-86.477567
18025,Crawford,IN,10713,38.289433,-86.440871
18027,Daviess,IN,31648,38.696155,-87.076988
18029,Dearborn,IN,50047,39.151491,-84.97346
18031,Decatur,IN,25740,39.30598,-85.499831
18033,DeKalb,IN,42223,41.401189,-85.000185
18035,Delaware,IN,117671,40.227165,-85.398856
18037,Dubois,IN,41889,38.373344,-86.873385
18039,Elkhart,IN,197559,41.600693,-85.863986
18041,Fayette,IN,24277,39.639655,-85.185032
18043,Floyd,IN,74578,38.317937,-85.911474
18045,Fountain,IN,17240,40.121282,-87.234806
18047,Franklin,IN,23087,39.409762,-85.066964
18049,Fulton,IN,20836,41.050384,-86.265006
18051,Gibson,IN,33503,38.317413,-87.580566
18053,Grant,IN,70061,40.515758,-85.654946
18055,Greene,IN,33165,39.0486,-87.005245
18057,Hamilton,IN,274569,40.04987,-86.020586
18059,Hancock,IN,70002,39.822604,-85.772904
18061,Harrison,IN,39364,38.18644,-86.103681
18063,Hendricks,IN,145448,39.768749,-86.510287
18065,Henry,IN,49462,39.929576,-85.397338
18067,Howard,IN,82752,40.483537,-86.114118
18069,Huntington,IN,37124,40.826394,-85.478598
18071,Jackson,IN,42376,38.911957,-86.042516
18073,Jasper,IN,33478,41.017688,-87.118814
18075,Jay,IN,21253,40.434972,-85.00338
18077,Jefferson,IN,32428,38.783604,-85.44009
18079,Jennings,IN,28525,38.996234,-85.628111
18081,Johnson,IN,139654,39.495986,-86.0946
18083,Knox,IN,38440,38.688663,-87.420182
18085,Kosciusko,IN,77358,41.244293,-85.861575
18087,LaGrange,IN,37128,41.642468,-85.426302
18089,Lake,IN,496005,41.472239,-87.374337
18091,LaPorte,IN,111467,41.549011,-86.744729
18093,Lawrence,IN,46134,38.839815,-86.48782
18095,Madison,IN,131636,40.166203,-85.722454
18097,Marion,IN,903393,39.782976,-86.135794
18099,Marshall,IN,47051,41.325003,-86.269036
18101,Martin,IN,10334,38.705322,-86.801847
18103,Miami,IN,36903,40.772881,-86.044259
18105,Monroe,IN,137974,39.160751,-86.523325
18107,Montgomery,IN,38124,40.040296,-86.892715
18109,Morgan,IN,68894,39.482646,-86.447457
18111,Newton,IN,14244,40.962399,-87.402172
18113,Noble,IN,47536,41.400794,-85.41785
18115,Ohio,IN,6128,38.940527,-84.964299
18117,Orange,IN,19840,38.547381,-86.489257
18119,Owen,IN,21575,39.317339,-86.838845
18121,Parke,IN,17339,39.77425,-87.19695
18123,Perry,IN,19338,38.081436,-86.62654
18125,Pike,IN,12845,38.397898,-87.232532
18127,Porter,IN,164343,41.509922,-87.071308
18129,Posey,IN,25910,38.027614,-87.868653
18131,Pulaski,IN,13402,41.045272,-86.692538
18133,Putnam,IN,37963,39.665545,-86.853325
18135,Randolph,IN,26171,40.164414,-85.005004
18137,Ripley,IN,28818,39.10023,-85.260541
18139,Rush,IN,17392,39.622312,-85.466527
18141,St. Joseph,IN,266931,41.617699,-86.288159
18143,Scott,IN,24181,38.679431,-85.751898
18145,Shelby,IN,44436,39.524135,-85.792174
18147,Spencer,IN,20952,38.009789,-87.010645
18149,Starke,IN,23363,41.28322,-86.64757
18151,Steuben,IN,34185,41.643437,-85.002467
18153,Sullivan,IN,21475,39.089225,-87.415843
18155,Switzerland,IN,10613,38.825846,-85.029679
18157,Tippecanoe,IN,172780,40.38926,-86.893943
18159,Tipton,IN,15936,40.310229,-86.056207
18161,Union,IN,7516,39.623111,-84.925152
18163,Vanderburgh,IN,179703,38.02007,-87.586166
18165,Vermillion,IN,16212,39.854045,-87.462071
18167,Vigo,IN,107848,39.429143,-87.390375
18169,Wabash,IN,32888,40.843717,-85.795175
18171,Warren,IN,8508,40.352658,-87.375847
18173,Warrick,IN,59689,38.097764,-87.272023
18175,Washington,IN,28262,38.600613,-86.104751
18177,Wayne,IN,68917,39.863091,-85.006735
18179,Wells,IN,27636,40.735273,-85.212974
18181,White,IN,24643,40.75095,-86.864293
18183,Whitley,IN,33292,41.136426,-85.501892
19001,Adair,IA,7682,41.328528,-94.478164
19003,Adams,IA,4029,41.021656,-94.696906
19005,Allamakee,IA,14330,43.274964,-91.382751
19007,Appanoose,IA,12887,40.744683,-92.870345
19009,Audubon,IA,6119,41.679178,-94.904312
19011,Benton,IA,26076,42.092547,-92.05763
19013,Black Hawk,IA,131090,42.472888,-92.306059
19015,Boone,IA,26306,42.038601,-93.939138
19017,Bremer,IA,24276,42.78089,-92.327586
19019,Buchanan,IA,20958,42.470328,-91.838666
19021,Buena Vista,IA,20260,42.741522,-95.141433
19023,Butler,IA,14867,42.734708,-92.780066
19025,Calhoun,IA,9670,42.38617,-94.643683
19027,Carroll,IA,20816,42.039492,-94.867647
19029,Cass,IA,13956,41.333824,-94.933302
19031,Cedar,IA,18499,41.772355,-91.13219
19033,Cerro Gordo,IA,44151,43.075171,-93.251266
19035,Cherokee,IA,12072,42.742738,-95.633262
19037,Chickasaw,IA,12439,43.059741,-92.31721
19039,Clarke,IA,9286,41.029191,-93.784096
19041,Clay,IA,16667,43.079822,-95.149726
19043,Clayton,IA,18129,42.840998,-91.323511
19045,Clinton,IA,49116,41.898073,-90.534243
19047,Crawford,IA,17096,42.043119,-95.38909
19049,Dallas,IA,66135,41.685321,-94.040707
19051,Davis,IA,8753,40.748089,-92.410345
19053,Decatur,IA,8457,40.736379,-93.78458
19055,Delaware,IA,17764,42.473003,-91.359443
19057,Des Moines,IA,40325,40.915339,-91.186925
19059,Dickinson,IA,16667,43.389611,-95.196057
19061,Dubuque,IA,93653,42.463481,-90.878771
19063,Emmet,IA,10302,43.377984,-94.66937
19065,Fayette,IA,20880,42.86445,-91.839373
19067,Floyd,IA,16303,43.052741,-92.787367
19069,Franklin,IA,10680,42.736549,-93.271425
19071,Fremont,IA,7441,40.743726,-95.599516
19073,Greene,IA,9336,42.042494,-94.388703
19075,Grundy,IA,12453,42.403323,-92.790261
19077,Guthrie,IA,10954,41.683573,-94.501272
19079,Hamilton,IA,15673,42.390768,-93.709198
19081,Hancock,IA,11341,43.075411,-93.743697
19083,Hardin,IA,17534,42.389955,-93.241081
19085,Harrison,IA,14928,41.688584,-95.827149
19087,Henry,IA,20145,40.985864,-91.54427
19089,Howard,IA,9566,43.365313,-92.321908
19091,Humboldt,IA,9815,42.782221,-94.202775
19093,Ida,IA,7089,42.39186,-95.507421
19095,Iowa,IA,16355,41.683918,-92.059123
19097,Jackson,IA,19848,42.164281,-90.574597
19099,Jasper,IA,36842,41.685686,-93.052971
19101,Jefferson,IA,16843,41.00688,-91.967137
19103,Johnson,IA,130882,41.668737,-91.588812
19105,Jones,IA,20638,42.125118,-91.116914
19107,Keokuk,IA,10511,41.331182,-92.167721
19109,Kossuth,IA,15543,43.212478,-94.213983
19111,Lee,IA,35862,40.647588,-91.477157
19113,Linn,IA,211226,42.077951,-91.597674
19115,Louisa,IA,11387,41.218211,-91.256994
19117,Lucas,IA,8898,41.033344,-93.331467
19119,Lyon,IA,11581,43.38358,-96.207201
