uid,region1Model,region1Data,region2Model,region2Data
53041,0,3,0,0
53043,0,0,0,0
53045,0,5,0,0
53047,0,9,0,0
53049,0,3,0,2
53051,0,4,0,0
53053,43,350,129,0
53055,0,12,0,0
53057,0,18,0,0
53059,0,6,0,0
53061,50,156,115,0
53063,0,47,1,0
53065,0,23,0,0
53067,0,100,5,1
53069,0,10,0,0
53071,0,26,0,0
53073,0,29,0,2
53075,0,14,0,0
53077,0,30,0,31
56001,0,11,0,0
56003,0,4,0,2
56007,0,1,0,0
56009,0,0,0,0
56013,0,27,0,0
56015,0,0,0,0
56017,0,0,0,0
56019,0,0,0,0
56021,0,23,0,0
56023,0,0,0,0
56025,0,25,0,0
56029,0,21,0,0
56031,0,12,0,0
56035,0,0,0,0
56037,0,0,0,0
56039,0,64,0,0
56043,0,0,0,0
