source+dest,flux
0101701043,51
0101701049,5
0101701051,5
0101701073,60
0101701077,6
0101701081,1907
0101701087,3
0101701101,40
0101701109,11
0101701111,462
0101701113,38
0101701121,7
0101701123,39
0101701125,3
0101712099,16
0101713015,20
0101713045,7
0101713053,26
0101713057,11
0101713063,8
0101713067,9
0101713077,41
0101713089,13
0101713113,6
0101713121,32
0101713135,7
0101713145,77
0101713149,31
0101713199,22
0101713215,228
0101713237,17
0101713269,6
0101713285,2934
0101721021,6
0101737081,4
0101742037,5
0101742101,7
0101901015,716
0101901019,4645
0101901025,1
0101901039,11
0101901047,1
0101901049,1067
0101901051,9
0101901055,506
0101901071,14
0101901073,31
0101901077,8
0101901095,35
0101901115,7
0101901121,8
0101905119,9
0101912031,7
0101913015,66
0101913021,10
0101913045,18
0101913055,503
0101913057,9
0101913063,30
0101913067,111
0101913073,5
0101913089,4
0101913115,1774
0101913117,18
0101913121,76
0101913129,59
0101913209,2
0101913213,19
0101913223,9
0101913233,99
0101913295,24
0101913313,14
0101918097,19
0101922075,9
0101947037,9
0101947041,5
0101947065,34
0101947131,11
0101949035,2
0102101001,408
0102101003,10
0102101005,21
0102101007,149
0102101009,15
0102101011,5
0102101013,7
0102101015,25
0102101017,8
0102101021,8115
0102101025,1
0102101035,10
0102101037,8
0102101043,16
0102101047,376
0102101051,191
0102101055,12
0102101063,3
0102101067,6
0102101073,2552
0102101075,16
0102101081,38
0102101083,8
0102101087,4
0102101089,2
0102101097,26
0102101101,1055
0102101103,3
0102101105,9
0102101115,14
0102101117,3747
0102101121,18
0102101123,28
0102101125,73
0102101133,5
0102104019,18
0102112031,6
0102112073,4
0102113047,4
0102113063,3
0102113067,16
0102113121,23
0102113153,1
0102117031,9
0102127053,2
0102128033,24
0102128089,5
0102128121,2
0102137119,2
0102137151,6
0102142003,11
0102145057,1
0102147037,11
0102147157,2
0102148113,9
0102301003,5
0102301013,3
0102301015,0
0102301023,3472
0102301025,163
0102301073,44
0102301077,13
0102301089,10
0102301091,162
0102301097,83
0102301099,26
0102301101,10
0102301103,3
0102301105,6
0102301117,12
0102301119,203
0102301125,12
0102301129,176
0102301131,44
0102305069,2
0102306073,10
0102313033,9
0102313121,9
0102313245,3
0102322013,32
0102322033,2
0102322045,2
0102322057,2
0102322067,8
0102322073,1
0102322075,7
0102322101,7
0102322109,4
0102326163,2
0102328001,4
0102328019,27
0102328023,71
0102328049,16
0102328061,2
0102328067,12
0102328075,472
0102328123,55
0102328153,133
0102329031,2
0102337119,11
0102342091,16
0102347157,10
0102348113,1
0102348201,3
0102501001,4
0102501003,15
0102501007,5
0102501021,2
0102501023,126
0102501025,7705
0102501035,15
0102501047,22
0102501053,17
0102501073,6
0102501083,13
0102501087,4
0102501091,223
0102501097,345
0102501099,302
