uid,U01DATA,U01OLD,U01NEW,U02DATA,U02OLD,U02NEW,U04DATA,U04OLD,U04NEW,U05DATA,U05OLD,U05NEW,U06DATA,U06OLD,U06NEW,U08DATA,U08OLD,U08NEW,U09DATA,U09OLD,U09NEW,U10DATA,U10OLD,U10NEW,U11DATA,U11OLD,U11NEW,U12DATA,U12OLD,U12NEW,U13DATA,U13OLD,U13NEW,U16DATA,U16OLD,U16NEW,U17DATA,U17OLD,U17NEW,U18DATA,U18OLD,U18NEW,U19DATA,U19OLD,U19NEW,U20DATA,U20OLD,U20NEW,U21DATA,U21OLD,U21NEW,U22DATA,U22OLD,U22NEW,U23DATA,U23OLD,U23NEW,U24DATA,U24OLD,U24NEW,U25DATA,U25OLD,U25NEW,U26DATA,U26OLD,U26NEW,U27DATA,U27OLD,U27NEW,U28DATA,U28OLD,U28NEW,U29DATA,U29OLD,U29NEW,U30DATA,U30OLD,U30NEW,U31DATA,U31OLD,U31NEW,U32DATA,U32OLD,U32NEW,U33DATA,U33OLD,U33NEW,U34DATA,U34OLD,U34NEW,U35DATA,U35OLD,U35NEW,U36DATA,U36OLD,U36NEW,U37DATA,U37OLD,U37NEW,U38DATA,U38OLD,U38NEW,U39DATA,U39OLD,U39NEW,U40DATA,U40OLD,U40NEW,U41DATA,U41OLD,U41NEW,U42DATA,U42OLD,U42NEW,U44DATA,U44OLD,U44NEW,U45DATA,U45OLD,U45NEW,U46DATA,U46OLD,U46NEW,U47DATA,U47OLD,U47NEW,U48DATA,U48OLD,U48NEW,U49DATA,U49OLD,U49NEW,U50DATA,U50OLD,U50NEW,U51DATA,U51OLD,U51NEW,U53DATA,U53OLD,U53NEW,U54DATA,U54OLD,U54NEW,U55DATA,U55OLD,U55NEW,U56DATA,U56OLD,U56NEW,CDATA,COLD,CNEW,MDATA,MOLD,MNEW
U32,42,0.0,0.0,102,0.0,0.0,2191,1422.0,1427.0,38,0.0,0.0,7126,20261.0,20297.0,198,18.0,21.0,48,0.0,0.0,0,0.0,0.0,16,0.0,0.0,250,0.0,1.0,86,0.0,0.0,133,1898.0,1901.0,233,3.0,6.0,71,0.0,1.0,7,0.0,1.0,58,2.0,2.0,139,0.0,0.0,84,0.0,0.0,89,0.0,0.0,26,0.0,0.0,16,0.0,0.0,108,0.0,2.0,101,1.0,3.0,12,0.0,0.0,111,2.0,2.0,30,0.0,1.0,18,1.0,2.0,33377,22058.0,22060.0,25,0.0,0.0,181,0.0,0.0,143,9.0,9.0,166,0.0,1.0,60,0.0,0.0,41,0.0,0.0,127,0.0,1.0,67,3.0,4.0,151,155.0,160.0,113,0.0,0.0,0,0.0,0.0,36,0.0,0.0,14,0.0,0.0,105,0.0,1.0,381,21.0,38.0,819,1387.0,1390.0,0,0.0,0.0,73,0.0,0.0,255,26.0,31.0,13,0.0,0.0,22,0.0,1.0,27,0.0,0.0,79,26.0,0.0,24,142.0,9.0
U33,16,0.0,2.0,4,0.0,0.0,65,2.0,2.0,0,0.0,0.0,213,2.0,13.0,68,0.0,0.0,687,1269.0,1285.0,52,11.0,16.0,40,5.0,9.0,226,13.0,14.0,96,7.0,8.0,8,0.0,0.0,110,19.0,27.0,45,6.0,10.0,2,0.0,0.0,8,0.0,0.0,112,2.0,3.0,33,0.0,0.0,5528,20224.0,20348.0,159,54.0,84.0,81490,65679.0,65738.0,131,27.0,47.0,22,2.0,2.0,6,0.0,0.0,28,2.0,2.0,9,0.0,0.0,22,0.0,0.0,18,0.0,1.0,112399,108087.0,108156.0,254,348.0,419.0,9,0.0,0.0,821,1966.0,2112.0,97,10.0,15.0,0,0.0,0.0,86,31.0,55.0,6,0.0,0.0,10,0.0,0.0,181,181.0,259.0,250,880.0,883.0,41,1.0,4.0,10,0.0,0.0,82,3.0,6.0,204,7.0,10.0,27,0.0,0.0,8235,11981.0,12081.0,94,31.0,46.0,43,0.0,2.0,18,0.0,2.0,15,2.0,7.0,7,0.0,0.0,46,871.0,14.0,18,53.0,3.0
U34,39,71.0,105.0,19,0.0,1.0,122,28.0,68.0,48,11.0,19.0,1210,164.0,400.0,155,40.0,55.0,3171,5028.0,5031.0,8029,8138.0,8140.0,595,310.0,310.0,1177,376.0,498.0,517,205.0,308.0,0,0.0,3.0,760,450.0,622.0,155,213.0,346.0,10,21.0,33.0,64,21.0,31.0,142,101.0,172.0,107,40.0,56.0,133,216.0,256.0,1466,4180.0,4181.0,1155,3134.0,3138.0,383,698.0,1014.0,151,70.0,94.0,71,9.0,18.0,141,86.0,113.0,40,0.0,0.0,72,14.0,20.0,59,10.0,25.0,105,425.0,428.0,1270606,1169574.0,1170201.0,8,6.0,12.0,335434,416252.0,416557.0,511,743.0,1068.0,21,0.0,1.0,535,1150.0,1647.0,75,30.0,32.0,20,3.0,21.0,117184,125420.0,125495.0,142,667.0,668.0,225,200.0,306.0,9,1.0,3.0,259,153.0,238.0,708,232.0,302.0,34,16.0,25.0,113,184.0,185.0,1290,1954.0,2029.0,107,20.0,56.0,36,214.0,287.0,82,131.0,192.0,13,0.0,0.0,257,3119.0,46.0,93,1047.0,71.0
U35,42,0.0,0.0,44,0.0,0.0,3510,3175.0,3954.0,30,0.0,1.0,724,203.0,306.0,1976,6081.0,6723.0,12,0.0,0.0,15,0.0,0.0,76,0.0,0.0,105,0.0,0.0,59,0.0,0.0,38,0.0,3.0,123,2.0,6.0,75,0.0,0.0,35,0.0,1.0,228,24.0,42.0,26,0.0,0.0,83,0.0,1.0,0,0.0,0.0,47,0.0,0.0,18,0.0,0.0,42,0.0,1.0,30,1.0,1.0,7,0.0,0.0,177,2.0,4.0,31,0.0,0.0,103,4.0,5.0,159,62.0,91.0,7,0.0,0.0,66,0.0,0.0,91772,84495.0,85623.0,144,0.0,0.0,88,0.0,0.0,11,0.0,0.0,71,0.0,0.0,148,90.0,121.0,65,0.0,0.0,50,0.0,0.0,13,0.0,0.0,22,0.0,0.0,16,0.0,0.0,97,1.0,1.0,15353,8662.0,15891.0,279,149.0,200.0,0,0.0,0.0,85,0.0,0.0,77,0.0,1.0,13,0.0,0.0,16,0.0,0.0,63,9.0,12.0,46,7.0,0.0,292,13148.0,3017.0
U36,94,566.0,733.0,59,8.0,18.0,215,166.0,347.0,129,211.0,280.0,2493,828.0,1826.0,371,239.0,316.0,41163,207142.0,207559.0,290,2727.0,2745.0,1054,902.0,908.0,2753,1779.0,2271.0,950,1334.0,1826.0,30,24.0,64.0,1306,2178.0,2946.0,324,1384.0,1959.0,145,258.0,355.0,118,175.0,225.0,400,908.0,1317.0,265,336.0,432.0,215,1181.0,1314.0,1096,10648.0,10786.0,6049,35982.0,36206.0,916,3378.0,5122.0,351,456.0,589.0,41,232.0,311.0,347,566.0,740.0,22,24.0,37.0,210,103.0,125.0,239,53.0,122.0,350,3172.0,3291.0,125686,331801.0,332818.0,171,81.0,112.0,2688658,2112121.0,2155663.0,882,3284.0,4740.0,43,27.0,38.0,1587,5473.0,9568.0,95,220.0,275.0,117,72.0,162.0,13758,64940.0,71852.0,461,4364.0,4381.0,542,1030.0,1476.0,3,33.0,42.0,346,1000.0,1385.0,1142,1353.0,1693.0,133,99.0,147.0,4938,13744.0,14984.0,1397,7255.0,7717.0,270,147.0,332.0,100,1115.0,1470.0,469,845.0,1134.0,53,18.0,22.0,791,70324.0,5273.0,165,4276.0,301.0
U37,608,81.0,81.0,24,0.0,0.0,165,2.0,5.0,226,0.0,1.0,976,10.0,37.0,204,0.0,0.0,249,23.0,24.0,136,74.0,74.0,593,155.0,155.0,2314,120.0,130.0,5695,4394.0,4396.0,0,0.0,0.0,926,46.0,51.0,324,43.0,44.0,119,0.0,0.0,148,0.0,1.0,368,382.0,382.0,187,2.0,3.0,112,0.0,0.0,948,1035.0,1035.0,433,15.0,24.0,424,61.0,63.0,250,2.0,3.0,173,0.0,0.0,472,6.0,7.0,30,0.0,0.0,63,0.0,1.0,133,0.0,2.0,19,2.0,2.0,824,222.0,223.0,54,0.0,0.0,1425,241.0,243.0,936047,903386.0,903540.0,23,0.0,0.0,819,453.0,453.0,220,2.0,2.0,80,0.0,0.0,1329,692.0,693.0,103,3.0,4.0,25730,43908.0,43920.0,21,0.0,0.0,2234,8503.0,8504.0,1327,16.0,22.0,81,0.0,1.0,23,0.0,0.0,20568,39053.0,39058.0,142,0.0,2.0,319,743.0,745.0,241,3.0,5.0,14,0.0,0.0,121,166.0,1.0,157,188.0,9.0
U38,13,0.0,0.0,17,0.0,0.0,75,0.0,0.0,10,0.0,0.0,83,0.0,0.0,41,2.0,8.0,0,0.0,0.0,0,0.0,0.0,21,0.0,0.0,56,0.0,0.0,9,0.0,0.0,8,0.0,0.0,72,15.0,18.0,10,0.0,0.0,34,17.0,26.0,15,1.0,1.0,18,0.0,0.0,17,0.0,0.0,0,0.0,0.0,15,0.0,0.0,0,0.0,0.0,23,1.0,1.0,9856,6983.0,7470.0,16,0.0,0.0,32,1.0,3.0,408,293.0,335.0,54,11.0,18.0,21,0.0,0.0,0,0.0,0.0,7,0.0,0.0,56,0.0,0.0,13,0.0,0.0,27,0.0,0.0,30435,31412.0,32435.0,32,0.0,0.0,18,0.0,0.0,6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,16,0.0,0.0,715,1606.0,1734.0,18,0.0,0.0,91,0.0,0.0,65,0.0,0.0,0,0.0,0.0,9,0.0,0.0,16,0.0,0.0,0,0.0,0.0,108,20.0,31.0,122,7.0,16.0,21,1888.0,52.0,7,1.0,0.0
U39,196,43.0,53.0,106,0.0,0.0,256,14.0,23.0,248,4.0,6.0,989,47.0,126.0,186,6.0,10.0,194,59.0,70.0,42,35.0,42.0,234,52.0,74.0,1282,77.0,93.0,778,122.0,156.0,22,0.0,0.0,2438,1948.0,2216.0,15267,32770.0,33185.0,311,20.0,26.0,119,8.0,10.0,32370,58226.0,58379.0,144,7.0,11.0,86,2.0,2.0,503,514.0,707.0,499,64.0,83.0,13502,41758.0,45370.0,345,25.0,34.0,148,3.0,4.0,576,105.0,118.0,37,0.0,0.0,228,4.0,7.0,116,3.0,7.0,88,7.0,7.0,639,269.0,347.0,9,1.0,2.0,1280,1347.0,1860.0,791,304.0,359.0,22,0.0,0.0,1313117,1225505.0,1232013.0,148,8.0,11.0,60,0.0,1.0,13400,25417.0,26851.0,67,7.0,11.0,304,74.0,90.0,28,0.0,0.0,709,545.0,588.0,890,69.0,87.0,124,3.0,5.0,2,1.0,1.0,827,556.0,720.0,198,3.0,11.0,31693,27531.0,27727.0,561,280.0,351.0,14,0.0,0.0,206,14206.0,203.0,136,434.0,27.0
U40,158,16.0,18.0,98,0.0,0.0,349,7.0,9.0,17787,13872.0,13872.0,694,8.0,16.0,497,104.0,105.0,37,0.0,0.0,20,0.0,0.0,34,0.0,0.0,249,2.0,8.0,262,11.0,12.0,7,0.0,0.0,420,91.0,99.0,208,11.0,12.0,215,29.0,29.0,5867,7323.0,7324.0,126,5.0,5.0,600,144.0,146.0,6,0.0,0.0,99,0.0,0.0,63,0.0,0.0,170,9.0,9.0,133,10.0,12.0,128,33.0,33.0,3613,3588.0,3588.0,53,0.0,0.0,315,70.0,70.0,28,1.0,2.0,0,0.0,0.0,71,0.0,0.0,166,27.0,27.0,155,0.0,2.0,166,0.0,1.0,55,0.0,0.0,311,10.0,12.0,318461,321271.0,321312.0,59,0.0,0.0,146,1.0,3.0,7,0.0,0.0,101,0.0,0.0,64,1.0,1.0,398,69.0,72.0,12856,17362.0,17367.0,106,2.0,2.0,8,0.0,0.0,159,0.0,0.0,120,0.0,0.0,4,0.0,0.0,173,7.0,8.0,151,0.0,0.0,75,17.0,0.0,23,152.0,7.0
U41,12,2.0,5.0,464,3.0,7.0,440,145.0,199.0,50,5.0,10.0,3953,6351.0,8992.0,252,111.0,154.0,39,0.0,3.0,5,0.0,0.0,79,0.0,1.0,175,1.0,11.0,101,3.0,11.0,2041,2673.0,3153.0,204,65.0,100.0,115,9.0,14.0,24,13.0,26.0,23,19.0,36.0,7,3.0,4.0,80,3.0,10.0,43,0.0,0.0,34,0.0,8.0,61,0.0,4.0,110,21.0,39.0,78,45.0,79.0,25,0.0,1.0,132,31.0,48.0,123,245.0,406.0,162,14.0,25.0,332,554.0,839.0,31,0.0,0.0,84,0.0,5.0,57,30.0,45.0,124,10.0,29.0,69,0.0,3.0,14,6.0,11.0,167,14.0,26.0,40,22.0,36.0,328176,268474.0,268606.0,68,4.0,11.0,5,0.0,0.0,33,0.0,0.0,0,6.0,8.0,50,7.0,12.0,366,126.0,200.0,231,281.0,419.0,0,0.0,0.0,68,0.0,3.0,20751,74563.0,74895.0,10,0.0,0.0,76,22.0,43.0,31,30.0,41.0,83,4524.0,77.0,78,412.0,25.0
