res,work,total,male,female
2455065,2466075,20,20,0
2488065,2488065,35,15,20
1001259,1001274,20,25,0
2480085,3506008,45,15,30
5901012,5901022,30,15,20
2427028,2429120,65,40,25
4702078,4702078,65,35,35
2494005,2494050,20,15,0
2446070,2446075,35,10,25
2446075,2466025,110,65,45
2453052,2466075,45,40,0
2453050,2466025,35,20,10
2495025,2495032,25,20,0
2433017,2449025,20,10,10
4802022,4802022,2350,1160,1190
1215006,1218001,40,30,15
2499810,2499810,170,75,95
5949802,5949802,80,50,35
3519028,3543042,85,55,30
1215002,1216006,120,80,50
4712022,4711027,35,30,10
4706070,4706091,35,25,10
1215001,1218001,30,20,10
2480135,2480027,30,25,10
1211014,1211014,765,395,370
4716054,4716054,90,45,40
1211011,1307022,70,30,40
2480130,2480130,50,20,20
1215008,1215008,65,30,35
1211012,1211014,45,25,20
3526032,3530010,30,0,25
4710029,4710029,40,20,20
4617060,4617060,180,85,90
3526037,3526057,160,105,55
4808032,4808032,25,20,10
4808031,4816037,40,40,0
4808036,4808036,25,0,20
4808034,4808034,120,55,70
3507021,3510010,800,420,375
5953042,5953042,110,95,15
4704009,4704011,25,25,0
4803021,4803022,35,10,25
4623064,4623064,215,105,110
4623065,4623065,30,15,15
4623067,4623067,110,60,50
4704006,4704006,25,10,20
4623062,4623062,30,15,15
4712050,4712059,20,25,0
4602032,4611040,225,140,85
4707036,4707039,95,35,60
4707072,4707072,25,15,10
5923035,5923047,25,25,0
4707071,4707054,40,10,30
4811066,4811068,25,10,25
4811065,4813036,25,0,25
2484055,3506008,55,20,30
4707034,4707039,25,15,15
2484050,3506008,50,0,50
2468020,2468055,75,45,30
2468025,2468055,65,35,30
4811069,4811069,175,75,100
3546024,3546024,1255,590,670
2485050,2485090,25,20,10
2471050,2471133,30,15,20
2485055,2485055,25,10,20
2471055,2471083,95,35,60
2487045,2488080,35,35,0
2478070,2478102,140,55,85
2480005,3502008,25,10,20
5953044,5953048,30,25,0
2478075,2478102,205,110,95
4707039,4806016,20,15,0
4812040,4812040,40,10,25
5939007,5939011,30,15,15
3560010,3560090,25,15,15
3557008,3557061,200,110,85
2410070,2410070,180,75,105
3557001,3557061,30,30,0
2410075,2410075,30,0,20
3557004,3557061,30,20,10
2452040,2466025,50,30,20
2452045,2466025,30,25,10
4819049,4819054,45,0,45
2487904,2487060,25,0,25
1103038,1103025,45,10,30
4715011,4715012,50,30,20
4715017,4715017,25,20,10
2478102,2479035,30,15,20
2478100,2478102,30,30,0
1103031,1103031,55,40,10
5951043,5951043,2220,1060,1155
4715019,4715019,30,10,20
1103032,1103034,25,15,10
1103035,1103035,45,20,20
1103034,1103034,80,40,40
1103036,1103034,40,15,20
5901048,5901048,255,150,110
5947804,5947804,120,50,70
5909822,5909020,60,20,40
5909823,5909020,20,0,20
2487040,2487040,60,50,15
3507014,3510010,35,15,15
3507017,3507017,135,55,85
2431095,2431087,105,45,60
4711003,4706074,60,15,50
5947807,5947807,45,20,25
4711039,4711053,25,10,15
5933884,5933054,20,10,15
4816850,4816037,20,10,10
4801006,4816037,50,55,0
4711031,4711066,30,0,30
2434090,2434090,315,195,120
4706058,4706058,40,15,30
4711034,4711034,35,10,30
2434097,2434128,25,20,10
4711036,4711036,60,25,35
4711056,4711076,20,20,0
2499005,2499005,1495,880,615
4710003,4710004,60,0,60
4703018,4703022,20,0,20
4703019,4703019,55,20,30
1302034,1302037,415,200,220
5907053,5907053,190,65,125
1302037,1302042,35,30,10
2439045,2439062,65,25,40
1302031,1302037,115,55,65
4815035,4815035,4620,2400,2215
3512001,3514021,20,10,10
3512002,3513020,20,0,20
1306020,1307052,25,10,15
4702073,4702073,20,15,0
1302039,1302037,285,110,180
1306025,1307045,50,35,15
5941009,5941014,110,80,30
