res,work,total,male,female
2448028,2466075,35,20,15
2461035,2466075,25,25,0
2419037,2424020,25,15,10
2466025,6001009,30,0,30
1001485,1001542,830,550,280
2431105,2431087,55,35,20
2473010,2475020,50,15,35
2449048,2466025,40,30,10
2489010,2489015,170,75,90
5929803,5929803,105,55,45
2489015,2489015,675,280,395
2449040,2449057,400,235,170
4812808,4812808,190,90,100
2450013,2439155,20,10,10
5949803,5949803,90,40,50
4812802,4812014,50,25,25
2454065,2466025,30,20,10
4812804,4812804,20,10,15
2454060,2466025,20,15,10
1005030,1005030,35,0,35
2428055,2429075,65,40,25
3512020,3520005,35,15,20
1306006,1306007,40,20,20
2428050,2429075,55,45,10
1005035,1005018,30,10,10
1306003,1307022,30,25,0
5933037,5933037,70,10,55
4718065,4718090,90,50,35
5955040,5955042,95,65,30
2466115,2471083,25,10,15
1306008,1307045,25,20,10
2466110,2466130,40,10,30
2426063,2426063,260,120,140
2484030,3506008,25,20,0
5933035,5933042,90,25,65
6208047,6208047,130,65,70
2423010,2425025,25,25,0
2422010,2423060,150,60,95
2444060,2444037,50,30,15
4712830,4712830,30,15,15
2412080,2412080,20,10,10
4712833,4716029,40,15,20
1305028,1307029,55,10,45
2480060,3506008,30,20,15
2432033,2439155,20,20,0
2445025,2445070,80,35,40
1305022,1305034,45,10,30
1305023,1305026,35,25,10
4717066,4717066,80,25,55
1305021,1307022,25,20,0
1305026,1307022,55,25,25
1305024,1305024,35,35,10
4705067,4705074,160,85,80
4705066,4705066,30,15,20
4705064,4705064,25,15,10
4705063,4705074,30,20,10
2436028,2466025,70,30,40
2439135,2439135,20,15,10
1309044,1309044,85,25,60
2436020,2438010,45,30,10
3549077,3549077,40,20,20
2408060,2408055,415,225,185
3549071,3549071,55,20,35
3532018,3539036,645,340,305
2408065,2408065,30,30,0
3539047,3539047,75,20,55
2490912,2490030,85,50,30
3539041,3540010,90,65,20
3532012,3539036,290,135,150
4706048,4706051,205,80,130
4706049,4706051,85,15,65
5935010,5937024,45,30,10
4706045,4706051,45,25,20
4706047,4706051,20,10,15
4706042,4706047,70,25,45
4706043,4706047,20,20,0
3548094,3548094,80,25,55
5905023,5905023,525,165,365
4713049,4807002,40,20,15
2465005,3521005,40,25,15
4813016,4813016,40,25,15
1203001,1203006,40,20,20
1203004,1209034,30,10,25
1203006,1205004,30,20,15
2470060,2470060,245,140,110
4817064,4817064,110,45,70
4615069,4615093,35,15,15
5919809,5919033,20,10,15
4817062,4819068,115,40,80
5919807,5919807,105,40,65
4615064,4615064,100,35,70
2407090,2407085,25,15,10
4615060,4615062,105,60,45
2407095,2407095,30,10,25
4615062,4615062,230,135,90
2447040,2447025,70,35,35
4713042,4713042,300,155,145
2440010,2443025,35,0,35
1315011,1315015,90,60,25
2440017,2440047,25,15,10
2447047,2454065,20,15,10
2493065,2494070,25,25,0
2419117,2425025,20,10,10
2493060,2493060,40,25,15
5909064,5909052,135,85,60
4615036,4615038,160,70,85
4713041,4713042,35,10,20
5903004,5903013,45,20,20
2471133,2471133,820,340,480
5909062,5915075,50,15,35
5915803,5915803,75,35,45
3556070,3556070,110,40,80
2479050,2479050,35,15,15
4806029,4806034,35,15,25
5915806,5915055,35,10,30
3556077,3556095,25,20,0
1102046,1102075,70,25,45
2481010,3506008,1220,660,560
2488050,2488055,215,125,85
2481015,3506008,19465,10110,9355
2455015,2466025,30,0,30
2488055,2499060,45,45,0
5915062,5915062,340,140,200
5915065,5931006,30,25,0
2451020,2451020,345,215,135
2469010,2470045,40,30,15
2451025,2451060,20,25,0
4708026,4708026,65,35,30
5947030,5947030,160,65,90
4616063,4616052,40,15,25
4815037,4815033,30,15,20
5947032,5947806,20,10,10
5927018,5927018,260,170,90
5919021,5921010,65,20,40
4701043,4701049,60,30,30
2494050,2499060,45,45,0
2494055,2494070,155,100,55
2490007,2490912,155,130,15
2437050,2451015,30,10,20
2437055,2466025,95,25,65
4716002,4716029,40,20,20
4810012,4810011,40,25,20
4716009,4716009,50,20,30
4716008,4716008,40,15,25
2473035,2475028,30,25,10
4712016,4712016,85,40,45
4622052,4622051,65,25,35
4712012,4712012,40,20,20
4712011,4712011,30,15,15
1212019,1212019,60,30,25
2473030,2475015,25,10,20
5921018,5923008,80,50,25
1212011,1214002,45,20,25
4622051,4622051,255,110,140
1212014,1212016,170,130,40
1212016,1212016,280,190,85
5921010,5921020,30,10,20
4817843,4817093,20,15,0
4707024,4708004,25,20,10
4707027,4708004,25,10,15
4707026,4708004,40,25,15
4707021,4708004,90,35,50
4817845,4817845,160,80,75
4618067,4618067,95,45,50
4709062,4709066,20,15,10
4817039,4819038,60,25,35
4707029,4707029,20,0,20
3557028,3557028,420,195,225
2468050,2468055,260,115,140
5929005,5929028,310,255,60
4806024,4806024,95,35,60
2468055,2468055,1090,570,525
3546015,3546024,305,125,180
4713091,4713094,20,15,10
3546018,3546024,145,45,110
4807021,4807021,50,20,25
4806022,4806022,70,30,45
2480070,2481015,25,15,10
2406055,2406055,40,25,15
2478040,2478028,70,30,45
4612052,4613047,85,45,40
2406050,2406050,100,40,60
2478047,2478102,575,275,300
4612056,4613047,90,60,25
2480078,3506008,25,15,15
4612058,4611040,100,45,50
4810008,4810011,40,15,30
3552013,3553005,450,255,195
2412072,2466025,35,15,20
5907028,5907047,20,20,10
2485100,2485100,20,15,10
2495050,2496020,35,15,20
5935018,5935802,75,25,55
2485020,2485037,30,10,20
2471083,4815035,20,15,10
4817031,4817031,825,390,435
2485025,2486033,20,15,10
4812811,4812811,135,55,70
2410005,2410005,50,35,10
3552028,3553005,35,30,10
3557035,3557061,40,30,10
3557038,3557073,25,0,25
3557039,3557039,60,10,55
4616038,4616052,35,25,10
2442095,2443025,80,20,60
5941013,5953046,45,45,0
3519070,3543014,150,105,45
2442098,2449057,50,40,15
4806028,4809002,25,20,0
1103041,1103049,30,15,15
1103042,1103049,45,20,30
1103044,1103042,80,45,40
1103046,1103048,20,0,20
1103048,1103049,40,10,35
1103049,1103059,40,15,20
2452095,2466025,35,25,10
4714092,4714092,50,25,25
3515008,3515014,40,20,20
4715028,4715032,30,15,15
4715029,4711066,35,15,20
4623037,4623037,100,50,55
4623034,4623034,555,345,215
5917034,5931006,25,0,25
2430080,2430095,40,30,15
1307052,1308005,30,20,10
3515005,3520005,50,50,0
2429085,2429100,55,45,0
2478130,2479035,30,20,15
2430085,2430095,55,35,25
2458015,2474005,20,20,0
5931006,5931807,25,15,10
2458010,2467050,30,10,20
4711041,4711041,45,25,25
4711042,4711053,25,10,10
4711044,4711044,60,25,35
1010009,1010009,105,40,65
1010008,1010008,65,25,45
4711048,4711048,45,25,20
2431040,2432040,25,20,0
1010005,1010005,85,15,70
1010004,1010004,30,10,20
1010003,1010003,30,15,20
1010002,1010005,25,10,15
4709075,4714001,50,25,30
1005011,1005018,115,55,60
1008029,1008026,50,25,25
1008024,1008024,60,30,30
1008025,1008025,75,45,30
1008026,1008026,25,10,15
1008020,1008020,40,10,30
1008021,1008021,145,45,100
1008022,1008022,35,20,15
1008023,1008020,25,10,10
4607057,4607062,495,220,275
3530035,3531040,40,15,30
4703048,4703048,25,15,0
4607053,4607062,180,95,80
2428070,2428070,50,10,40
2489912,2489005,20,0,15
4812014,4816037,30,25,0
4703042,4703044,35,25,10
1005015,1005018,100,55,50
4703044,4703044,100,45,55
4708042,4708044,30,10,20
1103058,1103059,290,145,150
4708046,4708046,20,10,20
4708044,4708044,135,65,70
2439030,2439062,240,125,115
1004021,1004019,120,50,75
1004022,1004022,95,55,40
2439035,2439062,55,40,20
4705094,4709012,25,10,20
4606037,4615038,35,0,35
4717045,4717045,120,35,85
3520005,5931020,30,25,10
3510020,3520005,25,10,15
1313042,1313042,155,110,45
1313041,1313042,205,140,70
2405010,2405010,20,15,10
2401008,2401020,100,45,55
5933012,5933006,205,95,115
2441045,2443025,80,55,30
2441040,2443025,40,25,20
4623047,4623047,205,100,105
4617034,4617036,70,15,55
2476055,3502010,55,40,15
2409070,2409075,140,70,75
2409075,2410045,205,140,70
2476050,3502010,20,20,0
4810002,4810002,165,45,120
2417005,2417010,100,45,50
2413030,2413035,55,30,25
2439105,2439105,40,20,20
2445035,2445070,35,20,15
1001126,1001519,25,10,15
2413035,2413095,20,15,10
1001124,1001559,50,15,40
2445030,2446075,70,25,45
6001006,6001006,40,15,25
6001007,6001006,30,15,15
2418020,2418020,45,15,25
2489005,2499060,50,25,25
3557096,3557096,570,320,245
1001304,1001519,105,65,40
2418025,2418050,30,15,15
2448038,2454080,20,10,15
3531011,3540040,65,20,50
1001308,1001308,40,20,20
2484082,3547076,30,15,15
2466035,2476020,40,10,30
3531016,3539036,195,90,100
4819038,4819074,80,65,15
2431130,2431130,50,20,40
1001490,1001519,25,15,10
2431135,2431140,25,25,0
4601039,4611040,25,10,15
1001494,1001542,20,20,0
2449030,2449070,40,0,35
2449035,2495045,25,25,0
2450005,2450005,70,40,30
3515037,3520005,40,15,20
1001365,1001379,70,45,25
4715031,4715034,115,40,75
2454010,2466025,45,30,15
2454015,2459005,20,10,10
2428060,2428050,55,10,45
1306011,1307045,65,45,25
1005009,1005004,125,45,80
1005008,1005008,55,30,25
1306014,1307045,125,65,60
1005005,1005005,50,20,25
1005004,1005018,110,55,50
4718070,4718070,320,145,175
2466100,3520005,25,10,15
4714845,4714840,45,25,10
1005003,1005003,40,25,10
2488060,2488060,75,35,40
2423005,2499060,25,15,10
2444071,2445035,55,40,10
4803006,4803006,35,15,20
2432023,2439062,25,10,15
4718090,4718803,45,10,30
4718100,4718100,50,25,30
1001277,1001274,70,55,15
1001274,1001274,40,15,20
4717052,4717805,25,0,15
4717055,4717055,40,30,15
4717054,4717054,20,10,15
1001270,1001274,60,55,15
4717056,4717058,65,15,50
4705074,4709012,150,65,80
2454125,2454125,30,20,15
4705077,4709012,120,30,90
2454120,2466025,30,10,15
2436050,2438010,25,25,0
4705078,4709012,90,20,75
1009048,1009048,25,0,30
2436055,2466025,60,25,35
2461027,2466025,50,10,40
3549060,3549060,480,190,295
2408073,2408073,100,45,50
3549066,3549066,145,55,95
2461020,2461025,105,55,55
3532002,3539036,75,40,35
5933820,5933015,25,10,15
3532004,3539036,275,180,100
3547046,3547056,85,60,30
4706078,4706027,70,35,40
3547043,3547064,35,10,25
4706071,4706074,40,15,25
1207004,1207016,20,0,15
4706073,4706074,40,10,30
4706072,4706027,40,25,15
1207001,1209034,235,170,60
4706074,4706074,180,55,120
3547048,3547064,40,30,10
3554048,3554052,30,15,15
4718824,4718824,105,40,65
3543031,3543064,105,40,70
4806017,4806017,85,45,40
4615078,4615078,65,30,35
4817076,4819074,65,20,50
2407080,2407085,40,20,15
4615073,4615075,135,60,75
4817078,4817078,435,195,240
2469050,2469050,20,10,10
2407085,2409075,30,20,10
2469055,2470045,125,90,35
4615075,4615075,600,255,340
4705049,4705052,25,10,15
4706014,4706014,115,60,50
2492070,2492022,45,20,25
2493075,2493080,40,15,20
2497025,2497025,60,35,25
2493070,2493070,30,15,20
2477015,2477045,70,50,25
2497020,2497020,2255,1325,930
1315038,1315038,135,60,80
4619045,4619053,25,10,15
5909052,5917034,20,10,0
5903039,5903039,120,55,60
4615091,4615093,60,20,45
5915070,5915075,1295,405,895
4615093,4617092,40,25,20
5903032,5903032,125,50,75
5955014,5955034,70,40,30
2451035,2451035,75,70,0
2451030,2451020,30,25,10
4617053,4617055,80,40,40
3526043,4811061,25,0,25
2481005,3506008,1085,565,515
4617050,4617055,20,15,10
2455023,2466025,105,65,35
3531025,3540040,65,20,45
1101039,1101039,135,95,40
1101038,1101036,100,45,55
1101036,1102075,20,0,10
1101034,1101036,145,65,80
1101032,1102075,50,10,40
1101031,1101036,140,70,75
4617057,4617060,180,70,110
3521024,3543042,30,15,10
1315031,1315032,100,40,60
2427060,2431087,30,20,15
4601046,4611040,25,10,10
2427065,2429075,25,10,20
2471110,2471133,20,10,15
3501050,3506008,270,135,135
2494040,2494070,455,230,220
5919035,5919035,30,20,10
2494045,2494070,430,265,165
5929011,5929028,145,135,10
4716013,4716013,20,10,15
5943815,5943806,35,20,20
2497802,2497802,145,55,85
4716016,4716016,65,15,50
2471115,2471133,60,40,20
4716014,4716041,25,10,20
2497806,2497806,90,40,55
2437065,2466025,120,70,50
2497808,2497808,70,25,45
2437060,2466025,20,15,0
4712069,4712072,20,10,15
4811013,4816037,35,20,15
4702016,4702016,35,15,20
3556066,3556073,30,25,10
3560049,3560049,150,75,75
4811011,4811061,105,50,50
5925817,5925817,30,10,20
5907049,5907049,115,60,65
1202006,1209034,35,15,20
1202004,1209034,30,25,0
5921007,5925034,25,15,10
1202001,1203001,30,10,25
4707032,4707039,25,0,25
1315040,1315040,30,30,0
4803022,4806016,45,35,10
4707031,4707031,100,45,50
2471140,2471133,45,15,30
4707037,4707039,80,50,35
1312019,1313027,25,10,15
1312016,1312019,40,15,25
4707038,4707039,335,170,170
1312014,1312021,20,20,0
1312011,1312011,20,0,20
4807019,4807036,20,0,20
4816859,4816859,40,15,25
5925010,5925042,50,20,25
3526047,3530013,20,0,25
5933817,5933817,30,15,15
4807011,4807026,45,25,25
4816852,4816037,20,10,10
4807012,4807012,210,100,110
4807014,4807014,240,125,120
4807016,4807016,35,20,15
2485015,2485025,85,40,50
2479080,2479090,20,25,0
5907051,5907041,530,245,285
2499130,2499130,160,70,90
2479085,2479090,145,70,75
2485010,2485010,105,70,35
2471090,2471083,140,45,90
4815033,4815033,2380,1185,1190
2480045,3506008,30,0,30
2412065,2412072,180,75,100
2484010,3506008,85,55,25
4706810,4706810,70,30,35
2412060,2412072,160,45,115
3552001,3553005,145,60,90
2484015,3547056,30,25,0
2490030,2490030,150,100,55
2491030,2491030,60,20,35
2498055,2498055,115,45,70
2491035,2492022,30,30,0
4616024,4616032,165,80,85
2402005,2403005,90,35,55
5925018,5925054,20,20,0
4712026,4711066,110,45,60
2410035,2466025,20,0,25
2410030,2410045,730,320,410
2452085,2466025,70,55,15
2421030,2424020,20,15,0
2452080,2466025,25,15,10
2457068,2466075,25,25,0
2498050,2498050,55,35,20
3515014,5917034,25,20,0
1307045,1308001,20,10,15
3515013,3521005,30,30,0
4712020,4711027,65,30,30
3515019,3515044,20,15,10
4803802,4803802,530,240,290
4716056,4716061,40,0,40
4623022,4623022,505,290,215
4803801,4803801,215,85,135
2437080,2466025,30,30,0
5933006,5933042,50,15,30
2438065,2438070,25,10,20
3510045,3511035,95,20,75
2438060,2438010,50,35,15
3544042,3549048,30,15,10
2431055,2431087,105,35,75
5941026,5941026,35,25,10
2431050,2430095,50,45,10
3507052,3509021,25,20,0
2437025,2437065,85,25,60
4716053,4716053,40,20,20
2430050,2430085,35,30,10
4818816,4818816,60,25,30
2430055,2430072,40,30,10
2435027,2436055,110,55,50
2483035,3506008,65,30,35
4711077,4711077,55,25,30
4711076,4711079,30,20,15
1010010,1010010,45,20,30
1010011,1010011,80,30,50
1010012,1010012,130,55,80
2435020,2435050,25,0,20
4706816,4706816,40,20,20
1008011,1008011,80,35,45
4819815,4819815,35,15,15
4808038,4811801,25,10,15
4703058,4703058,160,85,80
1004033,1004033,50,30,25
4812002,4816037,20,15,0
4607047,4607062,45,45,0
4812004,4816037,20,15,0
4607041,4607068,25,20,10
4819068,4819068,1210,545,665
5939045,5939045,490,250,240
4812009,4812018,25,0,25
4817021,4817021,1020,515,505
3543023,3544018,20,10,10
4703054,4703054,40,0,40
5939043,5939045,230,120,105
3523050,3543007,60,50,15
1314021,1314022,110,45,60
1004037,1004037,35,25,15
5941041,5941041,170,100,65
6204009,6204009,335,140,190
3554094,3556027,40,30,10
4613032,4613047,45,35,10
3541069,3541069,830,380,445
4613037,4613047,55,20,35
4709067,4709072,25,10,15
3515003,3521010,20,10,10
4709066,4709066,95,15,80
2413005,2413070,65,35,25
4613056,4619045,25,20,10
2414050,2414050,65,30,30
4709065,4709065,20,15,0
2441035,2443025,30,0,25
2409060,2410045,25,15,10
2409065,2410045,20,10,15
2476043,3502010,35,35,0
2442045,2447005,20,15,10
3541043,3542059,335,120,220
2442040,2443025,30,20,10
2439130,2450005,20,15,0
2417015,2417015,80,45,35
2445020,2445020,30,25,10
6204001,6204001,150,75,80
2417010,2417070,35,10,25
2441070,2443025,80,30,50
2448005,2442055,55,30,20
2462015,2466025,70,50,20
4621033,4621033,55,35,20
1001469,1001519,95,15,75
2449020,2449057,80,35,45
4812828,4812828,35,15,15
1001464,1001519,75,45,30
2431122,2431122,320,115,200
2449025,2449057,150,110,45
1001461,1010032,25,25,0
2450030,2450072,45,25,20
1006017,1006019,85,80,0
5953019,5953019,275,140,135
2450035,2450072,20,15,10
4801012,4801014,55,10,45
2454005,2466025,30,10,20
4701049,4701049,235,110,125
2439005,2439062,25,20,10
4711096,4715008,65,20,45
1005018,1209034,25,15,10
1004016,1004019,150,85,65
1004011,1004019,30,0,25
4711092,4711092,45,0,40
1004013,1004019,60,20,40
2434030,2434128,25,10,10
1005012,1005018,540,280,260
2466130,3506008,40,35,10
1005010,1005018,170,80,85
2428075,2428075,65,50,20
1004019,1209034,25,0,25
1004018,1004019,200,100,105
1005014,1005014,80,60,25
2434038,2434128,105,50,50
4717047,4717047,50,20,30
2480095,2481020,25,10,15
2426048,2426055,20,15,10
4717041,4717041,150,55,90
4810036,4812016,70,55,20
3518039,3543052,80,20,55
5933880,5933880,145,80,60
4705007,4705004,40,0,40
2426040,2426040,130,45,85
4717048,4717048,110,75,30
2480090,2481015,20,15,10
2497035,2497035,1465,1000,465
1001203,1001298,20,0,20
4712072,4712046,45,20,30
4710041,4711066,30,0,25
4713031,4713031,25,20,0
4705041,4705052,55,30,25
4705043,4705052,20,0,20
4801018,4802031,65,25,45
4705047,4705052,55,35,20
2436040,2451020,50,55,0
4705048,4709012,25,10,15
2436045,2437065,70,40,30
4710046,4710047,180,50,130
2466005,2466075,30,15,10
4601043,4612056,25,0,25
2461050,2466025,75,70,0
3538040,3540010,85,65,20
4711006,4711008,30,0,25
3538043,3539047,25,25,0
2408045,2408055,260,110,150
3539060,3540025,20,15,10
3549095,3548034,25,0,25
2408040,2408055,70,30,40
4817819,4817031,45,25,25
3547033,3547075,20,15,10
3547030,3548001,135,130,0
3547037,3547037,100,25,75
3547035,3547076,50,40,10
5925014,5925034,35,30,10
1207012,1209034,90,75,20
5925019,5925019,300,115,190
1207011,1209034,110,75,35
1207016,1209034,120,85,35
5915001,5931020,35,15,20
4808039,4811801,35,20,15
1001517,1001542,605,305,300
2490802,2490802,230,115,120
2490804,2490804,270,155,120
1001512,1001519,95,55,45
1001511,1001519,720,380,340
4718021,4718021,90,45,40
5915007,5947012,25,10,10
3543021,3543042,1480,580,900
1001519,4806016,30,15,15
1007028,1008069,30,20,10
3551026,3551026,280,125,155
3551024,3551094,20,25,0
2499812,2499812,270,125,140
5909048,5915025,20,20,0
3551021,3551026,115,50,70
2477022,2478102,75,25,55
2470040,2470045,205,100,105
5915004,5947012,25,10,20
2469045,2471083,30,30,0
2470045,2471133,55,10,45
2444045,2445070,30,30,0
2492065,2492065,20,0,15
2493040,2494070,455,260,200
2498020,2498020,85,40,45
2493045,2494070,20,20,0
2498025,2498025,115,40,75
4619054,4619054,65,30,35
5915002,5915075,35,15,20
4619056,4619056,155,65,95
4619050,4619050,230,110,120
4619051,4619051,110,60,50
4619052,4619052,90,45,50
4619053,4619053,85,30,55
5903023,5903039,45,10,30
4619059,4619059,560,275,285
5933019,5933042,30,20,10
2451040,2451040,75,50,20
2451045,2451050,25,0,20
2441050,2443030,25,15,15
2455030,2466025,65,25,35
2455037,2466075,30,20,10
3510010,3530016,30,0,30
2427055,2427055,60,20,40
1002031,1002031,25,0,15
1001136,1001519,40,30,0
1101028,1102075,25,0,15
1101029,1101036,60,25,35
6208081,6208081,185,75,105
1002030,1002030,20,10,10
1101024,1102075,25,20,0
2414035,2414035,280,170,110
1101026,1101018,25,0,20
1101021,1102075,25,15,15
1101022,1101024,45,25,20
1210008,1310032,20,0,15
4706067,4706067,35,25,15
4713096,4716029,35,20,15
3515044,3521005,30,30,0
2494100,2494100,80,45,35
2450802,2450802,80,35,45
2432080,2433100,25,15,10
5919049,5919051,60,50,10
3501042,3506008,665,355,315
5919043,5919051,35,25,10
5919046,5921007,30,20,15
3514024,3521005,25,20,10
5943806,5943806,45,25,25
2462037,2466085,35,25,10
3514020,3521005,30,25,0
1307013,1307052,40,30,10
5943802,5943802,55,25,35
4706092,4706092,105,40,65
2423802,2423802,315,160,150
2437070,2466025,125,90,40
3511015,3520005,60,55,10
5933008,5933035,40,25,15
2437075,2466025,50,50,10
4712078,4716029,235,85,145
4712079,4716029,1005,425,580
4706097,4706097,30,15,15
4702006,4702006,30,10,15
4702001,4701024,45,15,35
4702002,4702002,25,10,15
4713068,4716029,35,15,25
3556014,3556031,130,75,50
5921030,5921032,35,15,20
5921032,5923008,75,40,35
4811061,6208098,40,40,10
5921034,5923035,30,30,0
1312023,1313006,25,25,0
4807006,4807006,45,10,30
1311026,1311030,30,0,30
4807004,4807006,40,35,10
1311024,1311030,20,15,10
1311023,1311030,30,10,20
1312009,1312016,25,15,15
1311021,1311023,30,15,20
4807001,4807048,55,25,35
1312004,1312008,30,15,10
4803014,4803801,30,0,20
1312006,1312006,345,120,225
1312007,1312007,130,60,70
4803011,5901003,25,25,10
1312001,1312006,155,85,70
1311029,1311030,30,0,30
1311028,1312006,25,10,20
3542045,3543042,20,20,0
3542047,3543031,340,240,100
2446112,2466025,55,30,25
5951051,5951051,120,55,60
4712042,4712046,140,45,90
5951053,5951034,270,150,120
5929026,5929028,195,175,20
5929024,5929028,160,155,10
5929022,5929028,20,20,0
2427050,2429075,25,15,10
4706809,4706809,25,15,10
5919033,5919051,30,10,20
5907014,5907041,85,45,45
4815007,5901017,145,135,10
2473015,2477045,20,10,15
3552031,3553005,20,15,0
2479097,2479097,395,205,195
2480050,3506008,90,25,65
2412055,2412072,280,120,160
2479090,2483095,65,55,10
2480055,3506008,25,20,0
2479105,2479097,25,10,15
2490020,2490020,25,20,10
2499080,2499080,85,50,40
2494070,3506008,25,0,15
2499085,2499879,50,20,25
2456097,2466075,25,20,0
2456090,2466085,35,35,0
2402015,2405032,30,25,10
2402010,2402015,65,40,20
4805802,4805802,435,205,230
3537034,3537064,170,100,70
4616019,4616032,110,50,60
2410020,2410045,60,10,50
2410025,2410045,60,30,35
2456075,2468030,55,40,15
2456070,2476020,25,20,10
2457075,2466025,100,30,65
4805036,4805026,95,40,55
4705018,4705024,25,0,25
3511030,3520005,45,30,15
3558066,3558090,110,100,10
4705019,4705019,25,10,10
3511035,3520005,20,25,0
1103062,1103059,50,10,35
4803019,4803802,35,10,25
4815023,5939011,25,15,0
2433080,2433100,45,25,20
2438055,2438070,20,10,15
2433085,2433100,45,25,20
3507042,3510010,35,15,25
4715844,4715057,20,10,10
3507040,3510010,315,180,125
2431020,2431087,50,20,30
2431025,2431087,25,15,10
4715845,4715845,105,45,60
2458030,3506008,40,15,20
4706061,4706061,45,10,30
6205027,6205027,165,90,80
4714001,4714004,485,255,230
1008006,3520005,40,40,0
3540050,3540063,30,10,20
1008004,1008004,50,20,30
4711069,4711069,35,25,15
1010021,1010021,80,35,45
2435035,2437065,30,0,20
4711060,4711066,50,25,25
2430045,2430105,30,10,15
1010025,1010025,3335,1595,1740
4711067,4711067,65,15,45
2430040,2441027,25,10,15
4711065,4712054,25,15,10
4707066,4712016,45,20,25
4703062,4703062,35,15,20
5943017,5943017,550,385,160
2462802,2462802,210,90,120
4703068,4703071,20,0,15
4607071,4607071,60,25,35
4804006,4804006,20,10,10
4804004,4804011,280,105,175
4607075,4607077,70,20,45
4607077,4607077,185,70,115
5923025,5923025,600,255,350
4812035,4812035,900,440,460
2467050,2473005,40,40,0
2470030,2470030,35,20,10
2467055,2470045,50,20,30
4819071,4819074,105,45,60
4819072,4819074,45,30,15
3523043,3542029,50,25,25
4715848,4715848,30,15,15
5909827,5909020,30,10,15
4715849,4715849,75,30,45
2409055,2410045,20,10,15
4816051,4816051,55,25,30
2409050,2409050,35,20,15
2441020,2441020,60,40,25
2413010,1313039,20,0,10
2414045,2414045,25,20,0
2441027,2441045,20,10,10
5909056,5915840,110,105,10
4715085,4715066,40,25,10
2442055,2447005,35,20,10
1005033,1005018,205,95,105
2442050,2447015,30,25,10
5949028,5951038,45,20,30
1306001,1307022,135,75,60
2417060,2417070,60,40,20
2417065,2417078,30,25,10
2449015,2449015,110,60,50
4819056,4819058,35,10,25
2486005,2486033,215,100,120
3558090,3558090,435,205,230
2448010,2448028,125,85,40
2462060,2478102,45,30,15
4819054,4819058,120,50,75
2462065,2466025,50,45,0
2448015,2448028,70,35,35
2454035,2458030,30,10,15
3530010,3539036,165,90,70
2454030,2466025,85,40,45
6001048,6001048,35,15,25
4621029,4621029,135,65,70
4810044,4810044,80,30,50
4718067,4718067,210,80,130
1001472,1001519,215,95,115
4606015,4607062,35,15,20
2466125,2466125,35,25,0
5923049,5923025,50,35,20
2450023,2450042,55,40,20
2434025,2434128,45,15,30
2439010,2439062,40,20,20
1004001,1004001,235,85,150
1004006,1004019,30,20,10
2439015,2439062,45,35,15
2428005,2429075,100,45,55
3514021,3521005,40,30,10
3518020,3521010,20,20,0
4717032,4810039,20,10,10
4607038,4607068,30,20,10
4717036,4816037,25,20,0
4717034,4717034,70,50,25
3518029,3521010,75,55,25
4717039,4717039,45,30,10
2426055,2426055,370,230,140
4714047,4714051,230,90,140
4714044,4714051,35,15,25
4714043,4714044,245,120,120
4713029,4713029,50,0,45
4714041,4714041,35,10,30
5903056,5905014,45,40,15
4713024,4713024,30,15,20
4713026,4713026,65,40,25
2450128,2453052,115,70,45
4714049,4714051,50,25,25
4701027,4701024,75,15,60
2454100,2454100,115,70,45
4701024,4706027,45,25,25
2454105,2454105,40,40,0
4701022,4701024,265,100,170
4701021,4701024,195,100,95
4705059,4705074,30,15,15
4705056,4705056,20,10,15
4705057,4705074,75,25,50
4705052,4705052,740,335,410
5933802,5933802,50,20,25
5933801,5933801,25,15,10
2485090,2485090,280,125,155
2461040,2466025,90,40,55
2466010,2473005,20,20,0
2461045,2466025,30,20,15
2466015,3521005,30,10,20
2408050,2408055,470,185,285
5903050,5903050,420,165,250
4718812,4718809,45,25,20
2408055,2410045,60,45,15
3547020,3548001,25,30,0
4605027,4605070,25,10,15
1206001,1209034,470,310,165
1206006,1209034,50,50,0
5925005,5925034,105,85,20
1206004,1209034,85,60,20
4709060,4714022,20,0,20
1206008,1209034,25,10,10
1206009,1209034,780,435,340
1001504,1001542,145,110,35
1001505,1001519,430,185,250
1001507,1001542,30,10,15
2469070,2470045,155,65,90
5901040,5901048,155,70,90
3544053,3549032,35,25,10
4810064,4811061,100,60,40
4810066,4811061,60,60,10
3543015,3544018,60,40,15
1001509,1001542,110,80,30
3543017,3543052,50,15,35
4814019,4816037,20,20,0
2477030,2477045,160,55,105
2493055,2494050,25,15,10
2493050,2494070,40,15,25
2477035,2478028,25,10,20
5905037,5905037,155,110,40
2419082,2426030,30,0,25
4817097,4817097,425,255,175
5905032,5905037,35,35,0
5937005,5937014,130,45,90
4817093,4817095,45,15,30
2492050,2492050,20,15,10
2444050,2445035,30,25,10
2492055,2492055,215,135,75
4716058,4716058,265,130,135
2444055,2444055,45,45,0
2497005,2497010,265,155,110
2432045,2466025,20,20,0
5915011,5917034,20,10,10
5945010,5945012,90,30,65
4619065,4619065,85,50,35
1001267,1001270,30,10,25
4619069,4619069,60,30,30
4619068,4619068,65,25,35
5909036,5915034,25,10,15
3552004,3553005,200,110,90
2451050,2451050,125,80,50
2451055,2451015,70,40,30
2488080,2488080,65,35,35
2488085,2488055,170,80,90
1001542,3520005,30,25,10
4819044,4819046,65,30,30
1101019,1101021,20,20,10
