uid,region,name,population,latitude,longitude
M07028,Mexico,Chiapilla,5242,16.56965,-92.72015
M07029,Mexico,Chicoasen,4345,16.96602,-93.10488
M07030,Mexico,Chicomuselo,24994,15.74247,-92.28514
M07031,Mexico,Chilon,77686,17.10463,-92.27292
M07032,Mexico,Escuintla,28064,15.32026,-92.65848
M07033,Mexico,Francisco Leon,5236,17.29823,-93.27377
M07034,Mexico,Frontera Comalapa,52168,15.65914,-92.14152
M07035,Mexico,Frontera Hidalgo,10917,14.77779,-92.1768
M07036,Mexico,La Grandeza,5969,15.50914,-92.22513
M07037,Mexico,Huehuetan,31464,15.02001,-92.38097
M07038,Mexico,Huixtan,18630,16.71076,-92.45292
M07039,Mexico,Huitiupan,20041,17.17241,-92.68543
M07040,Mexico,Huixtla,48476,15.13972,-92.46597
M07041,Mexico,La Independencia,32245,16.253,-92.02263
M07042,Mexico,Ixhuatan,8877,17.29351,-93.00932
M07043,Mexico,Ixtacomitan,9143,17.431,-93.09516
M07044,Mexico,Ixtapa,18533,16.80353,-92.90459
M07045,Mexico,Ixtapangajoya,4707,17.49655,-93.00237
M07046,Mexico,Jiquipilas,34937,16.66743,-93.65017
M07047,Mexico,Jitotol,13076,17.06796,-92.86098
M07048,Mexico,Juarez,19956,17.60516,-93.19599
M07049,Mexico,Larrainzar,16538,16.88436,-92.71348
M07050,Mexico,La Libertad,5288,17.69071,-91.71845
M07051,Mexico,Mapastepec,39055,15.44249,-92.89182
M07052,Mexico,Las Margaritas,87034,16.31606,-91.98152
M07053,Mexico,Mazapa de Madero,7180,15.38776,-92.18791
M07054,Mexico,Mazatan,24079,14.86334,-92.45013
M07055,Mexico,Metapa,4794,14.83696,-92.19124
M07056,Mexico,Mitontic,7602,16.86269,-92.63014
M07057,Mexico,Motozintla,59875,15.36499,-92.24819
M07058,Mexico,Nicolas Ruiz,3135,16.43799,-92.58486
M07059,Mexico,Ocosingo,146696,16.90797,-92.09624
M07060,Mexico,Ocotepec,9271,17.22462,-93.16459
M07061,Mexico,Ocozocoautla de Espinosa,65673,16.76326,-93.37516
M07062,Mexico,Ostuacan,17026,17.40628,-93.33683
M07063,Mexico,Osumacinta,3132,16.94103,-93.09322
M07064,Mexico,Oxchuc,37887,16.78686,-92.34347
M07065,Mexico,Palenque,85464,17.50989,-91.98235
M07066,Mexico,Pantelho,16262,17.0063,-92.46958
M07067,Mexico,Pantepec,8566,17.18851,-93.05016
M07068,Mexico,Pichucalco,29357,17.50933,-93.11849
M07069,Mexico,Pijijiapan,46949,15.68747,-93.20933
M07070,Mexico,El Porvenir,11641,15.45638,-92.2807
M07071,Mexico,Villa Comaltitlan,26706,15.21472,-92.57514
M07072,Mexico,Pueblo Nuevo Solistahuacan,24405,17.15991,-92.89932
M07073,Mexico,Rayon,6870,17.20156,-93.01183
M07074,Mexico,Reforma,34809,17.86459,-93.14655
M07075,Mexico,Las Rosas,21100,16.36327,-92.37096
